# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:40:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b2ea7f543.json
# init = 2 (Default)
# random
#   seed = 957408569
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221940-1-b55b1f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221940-1-64b25c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.229706
# Diagonal elements of inverse mass matrix:
# 0.525594, 0.526063, 0.41524, 0.59019, 0.597164, 0.343312, 0.521, 0.668545, 0.391451, 0.618579, 0.522489, 0.460715, 0.568626, 0.508347, 0.451692, 0.57781, 0.626465, 0.421302, 0.544926, 0.523983, 0.32225, 0.550873, 0.500513, 0.281478, 0.606477, 0.455274, 0.39692, 0.480642, 0.583534, 0.340564, 0.523603, 0.575954, 0.371678, 0.564685, 0.526289, 0.360437, 0.513649, 0.523292, 0.408752, 0.541613, 0.523527, 0.36957, 0.636969, 0.636253, 0.445614, 0.57045, 0.557819, 0.378397, 0.555615, 0.626234, 0.37509, 0.625476, 0.691231, 0.363903, 0.427381, 0.676084, 0.355763, 0.634022, 0.625262, 0.393481, 0.528147, 0.586726, 0.414523, 0.56427, 0.69717, 0.357808, 0.474352, 0.590386, 0.331751, 0.488381, 0.583673, 0.347823, 0.445846, 0.504354, 0.307171, 0.618967, 0.764298, 0.407851, 0.544674, 0.637131, 0.346148, 0.546856, 0.547365, 0.346535, 0.531258, 0.546143, 0.36108, 0.551727, 0.678495, 0.327487, 0.484757, 0.56947, 0.312725, 0.541258, 0.559953, 0.402857, 0.0371779, 0.257025, 0.0358587, 0.439931, 0.0417487, 0.184118, 0.0416583, 0.232867, 0.0371143, 0.181727, 0.035191, 0.224004, 0.035587, 0.188146, 0.0349125, 0.333757, 0.0368905, 0.194371, 0.0393031, 0.130421, 0.0476194, 0.352271, 0.0352046, 0.200137, 0.0412483, 0.218628, 0.0401938, 0.120835, 0.0366855, 0.098753, 0.034758, 0.147018, 0.0337959, 0.498052, 0.0454829, 0.428645, 0.050811, 0.30365, 0.0371879, 0.247257, 0.0443956, 0.172672, 0.0421164, 0.220466, 0.0524783, 0.327298, 0.0324826, 0.397177, 0.0376357, 0.765163, 0.0412961, 0.687777, 0.0533143, 0.296222, 0.0361047, 0.843739, 0.0348474, 0.350169, 0.0450072, 0.826058, 0.0365605, 0.421975, 0.0426817, 0.278851
-3036.18,0.878919,0.229706,4,15,0,3124.62,2.91188,1.84777,5.33381,5.03269,13.1472,1.16451,1.59687,5.73886,7.14238,0.910949,9.58373,9.64627,3.20614,2.01208,2.9591,1.27227,5.00533,6.99041,4.14467,7.84153,10.6165,1.72538,9.35429,2.87021,10.011,2.20594,4.02101,2.52297,2.01253,0.571353,2.58399,4.20365,4.50299,5.36286,4.93055,9.48515,11.0423,1.90211,4.0853,20.2117,8.2461,4.40715,10.505,13.6018,2.59156,3.22362,4.14902,1.30487,4.8169,8.5566,12.1104,6.25397,2.31831,2.10265,8.46058,1.52298,9.19567,18.8999,7.13993,1.44858,0.637255,0.0498005,3.38618,8.01299,0.956464,0.946274,1.33794,0.576315,0.746183,1.94948,0.995921,1.57292,3.29284,0.738482,2.15069,2.64573,0.628994,0.568829,0.50808,0.912718,1.02224,0.862168,3.59238,1.49259,2.18133,1.85929,4.46013,0.692663,1.89339,1.08106,1.57757,0.824018,0.509076,0.436703,0.652417,1.34156,0.517676,0.264762,0.644767,0.301007,0.328721,0.205974,0.292206,0.217399,0.496598,0.368416,0.564493,0.395984,0.496157,0.245344,0.479331,0.366327,0.357082,0.412584,0.301693,0.269143,0.711033,0.491994,0.535508,0.565383,0.412842,0.176711,0.46135,0.43859,0.585422,0.353699,0.371835,0.38047,0.438439,0.687177,0.267446,0.695598,0.61459,0.743378,0.681089,0.747123,0.42379,0.587318,0.393626,0.57637,0.458329,0.734418,0.429929,0.61006,0.624975,0.575841,0.622583,0.713579,0.24906,0.454697,0.379649,0.421152,0.55365,0.777116,0.480644,0.542121,0.371755,0.622969,0.570066,0.594731,0.0438855,0.0480611,0.0877872,0.00339475,0.0566896,0.050648,0.0267053,0.0354785,0.0796123,0.0442663,0.0418806,0.0276458,0.0455145,0.0202383,0.0907396,0.0236125,0.0179421,0.011575,0.0757235,0.0172783,0.0399069,0.0533094,0.0848432,0.0134659,0.033508,0.046173,0.0580064,0.0192892,0.0428232,0.0233318,0.0580986,0.0247992,0.488191,0.314935,0.456398,0.366788,0.466824,0.647864,0.478129,0.612592,0.0449853,0.0372004,0.065473,0.0206205
-3025.05,0.898228,0.229706,4,31,0,3112.87,7.5888,5.18057,13.8241,4.8108,10.7488,1.02577,2.08224,2.41728,7.60751,6.53569,11.8212,3.79858,0.995001,2.60096,4.30169,1.69708,1.55493,1.49208,9.13673,0.635716,6.89768,3.18928,8.01839,4.41254,0.72738,4.37562,5.95352,9.42965,5.51369,2.26807,1.68061,5.42158,3.60666,7.7099,3.98246,8.90945,11.451,4.75491,5.71775,4.76819,5.60088,5.53805,9.9227,6.79558,1.17285,7.21591,2.20471,2.2304,4.58642,3.34072,7.17363,5.23766,5.81286,5.35168,4.28991,6.86584,1.36822,5.86523,17.9089,16.8307,4.28872,3.40673,2.15664,14.7353,2.25425,0.480835,2.53019,0.689932,5.58303,1.22024,1.21872,1.45127,0.928485,2.1037,1.34694,0.940153,0.320334,1.33456,2.74258,0.386375,0.950202,0.955964,0.947493,0.334046,1.06112,0.856682,1.52859,0.293846,0.606288,1.75639,3.15046,1.32032,3.08165,1.11257,0.66064,1.45885,0.516848,0.316956,0.578926,0.316143,0.309298,0.144819,0.184513,0.254135,0.538836,0.300281,0.527347,0.372232,0.528848,0.228348,0.495308,0.361885,0.416205,0.230978,0.379561,0.24187,0.622323,0.385976,0.668534,0.414698,0.44913,0.327585,0.295376,0.287486,0.544138,0.442262,0.428558,0.317652,0.421182,0.676762,0.377764,0.682761,0.644401,0.796005,0.767638,0.7135,0.406656,0.653229,0.442438,0.577133,0.433553,0.693661,0.389429,0.612909,0.565983,0.721236,0.564935,0.746256,0.306815,0.579974,0.26363,0.577491,0.48516,0.634947,0.613466,0.703711,0.417554,0.53253,0.498311,0.614494,0.0619697,0.00628148,0.0433099,0.00109544,0.0463004,0.0591763,0.0478492,0.0323647,0.0545081,0.0464898,0.0302149,0.0506347,0.0375993,0.0779901,0.115263,0.0252064,0.0178123,0.0477857,0.0555035,0.011874,0.0708613,0.0340502,0.0678355,0.0078113,0.0657095,0.0374685,0.0911572,0.00880356,0.0383088,0.0252072,0.0731313,0.0678545,0.490703,0.297151,0.444765,0.320763,0.460163,0.661043,0.489701,0.653532,0.0491337,0.0418062,0.0655331,0.0257056
-3013.71,0.821391,0.229706,4,15,0,3089.23,4.94445,1.32559,1.83692,5.09182,11.2356,1.5374,2.85338,2.74079,5.71498,1.60896,10.4219,1.33433,4.82333,3.10787,4.99419,1.44842,1.18519,2.46351,3.76208,0.981594,7.90985,9.31382,8.91372,3.04753,5.43455,2.45302,14.2641,9.53792,10.0967,1.41467,9.57037,9.54852,6.83057,4.04396,2.77379,10.3737,18.0833,6.09006,6.90951,3.0023,6.79295,4.13672,7.17645,1.25502,0.994953,3.69965,6.50502,2.08129,3.50984,2.83571,12.0225,2.55867,3.63932,10.7993,4.10233,2.60325,4.90716,5.08777,6.44045,7.49154,7.25792,3.287,4.18208,6.1863,1.16317,0.989192,0.424611,0.627684,1.07418,0.765022,0.767368,1.38911,2.0372,0.823195,2.40906,1.54869,0.493384,1.5235,1.8261,0.641612,0.636977,0.60339,0.739878,1.45793,2.59845,1.59788,2.15563,0.290889,0.896949,1.57333,2.95175,1.2319,0.493559,0.834976,3.59622,1.60019,0.548432,0.302859,0.649991,0.320857,0.310483,0.1963,0.309254,0.229619,0.579957,0.379942,0.483126,0.334118,0.463253,0.265201,0.461111,0.345528,0.352906,0.296426,0.329232,0.205196,0.619024,0.386543,0.60498,0.469232,0.451297,0.244677,0.503364,0.360795,0.56311,0.345164,0.497373,0.335396,0.42949,0.677166,0.30072,0.672438,0.62126,0.771918,0.671359,0.717833,0.362558,0.556187,0.452643,0.62627,0.515198,0.717448,0.41339,0.636379,0.60531,0.684183,0.621095,0.789482,0.299673,0.583843,0.352853,0.515526,0.494188,0.709079,0.413567,0.615974,0.399782,0.614781,0.402622,0.620556,0.0220783,0.0199744,0.0492892,0.00670469,0.0682563,0.031782,0.0193863,0.0525485,0.0574849,0.0638711,0.0642301,0.0396121,0.0215487,0.0173505,0.125499,0.0180933,0.0417839,0.019391,0.0496724,0.0053217,0.081303,0.029614,0.0421671,0.0152422,0.0545158,0.0462432,0.083069,0.0232308,0.0371081,0.0400553,0.100005,0.0440483,0.486058,0.302139,0.479804,0.325093,0.465932,0.664326,0.453531,0.649307,0.0480099,0.0335352,0.0666649,0.0256002
-3028.14,0.803497,0.229706,4,15,0,3093.87,2.25768,6.27008,10.8323,1.82372,1.04493,4.20853,2.20594,5.57847,2.40644,5.95355,2.44054,10.3086,2.54944,2.40286,3.34663,4.85203,6.15331,4.27229,1.9046,7.78631,13.6468,2.54598,3.06254,4.12264,2.35406,3.11876,2.5362,1.92265,3.60935,4.27845,2.65988,2.9961,2.85764,11.7747,11.8619,0.591026,3.05262,4.41363,4.51403,12.7822,3.24938,13.7925,1.06899,6.82449,4.99466,8.17067,3.35906,0.800487,4.79585,19.6167,6.63375,10.0624,4.61495,1.4579,1.97707,4.11956,2.98417,5.36871,2.86025,1.99123,2.36398,15.0861,2.09744,1.77892,0.797136,1.14212,3.27025,0.656153,0.575739,1.0815,0.74885,0.743853,0.984903,1.18406,0.987759,0.716672,1.74959,2.23485,2.01364,1.48367,0.839144,1.28813,2.25531,0.606664,0.954105,1.51031,0.40553,1.64166,1.76324,1.10684,1.044,0.387503,2.45922,1.13527,0.686051,1.02029,0.476516,0.394575,0.58376,0.30719,0.258962,0.204944,0.220029,0.164865,0.506764,0.345902,0.590065,0.391166,0.491295,0.213803,0.47954,0.268237,0.456877,0.252189,0.359636,0.31995,0.685646,0.496316,0.584395,0.467048,0.356899,0.273485,0.303241,0.302783,0.54151,0.333736,0.367288,0.327396,0.453638,0.577494,0.345501,0.682963,0.6907,0.750952,0.723634,0.811266,0.460405,0.612688,0.376045,0.597588,0.413859,0.757037,0.443215,0.705111,0.530949,0.703254,0.58296,0.663561,0.290389,0.457499,0.328943,0.521244,0.613661,0.702801,0.611974,0.675666,0.442654,0.632109,0.599656,0.595474,0.0698451,0.0279312,0.0707388,0.00984773,0.0503382,0.0441036,0.0563368,0.0238693,0.0328319,0.0414106,0.0338891,0.0112454,0.0948463,0.0291608,0.0772457,0.0266519,0.0121739,0.044557,0.0574031,0.0164896,0.0239651,0.0461842,0.0866623,0.0117078,0.02944,0.0237141,0.0847857,0.0215514,0.0158366,0.0341544,0.0330564,0.0771299,0.471809,0.314369,0.435994,0.31858,0.487032,0.649229,0.501491,0.656609,0.0411596,0.036402,0.0625147,0.0248116
-3039.1,0.921523,0.229706,4,15,0,3112.36,3.1061,4.88304,14.4307,1.18761,2.13662,6.43549,4.22434,3.48687,3.94283,2.72477,2.20102,5.24768,2.49698,3.52772,3.47016,5.83903,7.12045,4.43748,1.50834,6.75847,9.70683,1.69559,5.90748,2.19117,1.7772,2.90849,2.25095,2.95112,3.71099,4.25194,3.90802,4.65491,2.18922,8.05499,9.46154,0.568268,3.90713,12.6742,5.31494,19.6369,3.91762,3.94715,1.46037,7.84029,2.13698,7.00195,7.06172,1.61616,4.88332,10.9484,8.95848,10.9882,7.1686,0.958792,1.57653,3.66058,1.85448,5.52946,10.6674,4.27601,2.90636,7.30299,2.39712,2.76159,0.625411,0.937287,2.21842,0.7702,0.427282,1.46574,0.973973,0.272553,1.14007,1.16687,1.64049,0.590679,1.81898,1.06116,1.67146,2.20153,0.41017,1.50299,2.69469,0.618845,1.95162,0.635667,0.626015,1.36966,1.21725,0.369134,0.976395,0.464576,2.48739,1.3733,0.487703,0.945777,0.457196,0.37945,0.590731,0.30618,0.261711,0.197567,0.237687,0.213445,0.524965,0.331028,0.562398,0.395403,0.514051,0.16783,0.511038,0.236475,0.417916,0.227242,0.329275,0.319194,0.689906,0.500544,0.589107,0.508971,0.331117,0.276996,0.308812,0.320863,0.497188,0.358086,0.395889,0.396468,0.473283,0.597257,0.321646,0.687816,0.694073,0.740967,0.718738,0.767502,0.429889,0.648768,0.386602,0.590009,0.373941,0.805068,0.398876,0.712672,0.55451,0.728797,0.606457,0.667156,0.288822,0.458739,0.324923,0.465863,0.636466,0.691838,0.603019,0.655511,0.490015,0.630484,0.572581,0.55215,0.0695212,0.0232932,0.0876239,0.00600435,0.0442158,0.0614661,0.0435743,0.0190531,0.0451459,0.0202047,0.0510001,0.0145882,0.112008,0.0271011,0.090086,0.0508528,0.0275743,0.0439604,0.0642683,0.0136504,0.0212718,0.0407166,0.0859695,0.0251662,0.0324172,0.0311654,0.0881689,0.0236258,0.0127975,0.0114295,0.0315301,0.0513818,0.461756,0.304843,0.440617,0.337125,0.492625,0.66274,0.491605,0.637335,0.0456189,0.0324171,0.0677777,0.0255403
-3034.84,0.974293,0.229706,4,15,0,3117.6,1.83122,1.26282,5.87336,4.72824,11.6058,1.47476,4.17898,1.13653,5.66343,9.03143,9.1528,3.24319,7.92617,8.36419,2.11522,1.31783,1.79237,2.15165,2.34422,0.885242,2.00364,22.0203,2.11111,5.83797,11.2349,4.21892,6.20094,16.9738,9.80113,3.36491,10.3653,1.14243,3.6047,1.20726,3.88045,22.6076,16.0192,5.73159,7.5778,5.74567,1.58578,12.1599,11.3243,5.02655,11.6186,6.18646,1.3446,2.68401,3.52857,2.75098,4.98004,1.95677,2.21324,35.0423,1.65762,12.7135,3.71052,7.78455,1.17237,33.4128,1.7758,4.74283,4.7087,5.49962,0.922753,0.731248,1.12337,1.13063,0.776165,0.608291,1.07759,2.72949,1.85105,2.78033,1.38079,0.890956,1.23808,2.4947,1.24844,0.346062,1.59113,0.714355,0.631601,0.414938,0.610551,0.915725,1.66659,0.694644,1.42005,2.73544,1.53052,2.04219,0.454877,1.39717,3.25139,0.924156,0.55598,0.280373,0.631346,0.344589,0.305281,0.208345,0.239433,0.212906,0.558929,0.359657,0.517491,0.378446,0.463127,0.306602,0.44664,0.381341,0.396818,0.347264,0.356633,0.199821,0.65833,0.362989,0.592201,0.426839,0.455186,0.239137,0.499145,0.345748,0.583377,0.327725,0.490114,0.276427,0.415055,0.691845,0.321942,0.642856,0.594875,0.768185,0.729196,0.730552,0.37628,0.559342,0.441876,0.581571,0.518342,0.655944,0.443309,0.607328,0.582226,0.646545,0.594251,0.795377,0.244055,0.617498,0.375359,0.566222,0.47867,0.706703,0.410896,0.630429,0.375951,0.647806,0.410725,0.675738,0.0289651,0.027782,0.0467117,0.0125548,0.0998436,0.0234702,0.0313717,0.0565419,0.0647909,0.0810009,0.0406335,0.0399835,0.0185303,0.0374534,0.110052,0.0113307,0.0209559,0.00619071,0.0491152,0.00480265,0.0976155,0.0195125,0.0324397,0.0069388,0.0661444,0.0541595,0.0899592,0.0238223,0.0406719,0.0244691,0.0991614,0.0478352,0.497129,0.304012,0.471625,0.320765,0.448182,0.661734,0.465944,0.653759,0.0546897,0.0342548,0.0624305,0.0254762
