# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:40:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b2ea7f543.json
# init = 2 (Default)
# random
#   seed = 957408569
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221940-4-b55b1f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221940-4-64b25c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.247977
# Diagonal elements of inverse mass matrix:
# 0.494049, 0.492357, 0.375837, 0.55552, 0.584682, 0.314413, 0.53985, 0.692991, 0.340868, 0.553736, 0.478646, 0.35506, 0.616839, 0.508499, 0.337916, 0.538003, 0.517692, 0.358633, 0.526442, 0.496413, 0.319425, 0.547346, 0.497158, 0.378738, 0.69823, 0.531542, 0.399694, 0.49193, 0.548897, 0.381876, 0.544914, 0.771431, 0.367828, 0.578011, 0.532121, 0.397184, 0.578698, 0.493563, 0.403649, 0.510525, 0.519323, 0.364275, 0.523755, 0.490884, 0.379012, 0.532963, 0.62306, 0.390314, 0.566823, 0.595326, 0.391846, 0.512755, 0.612696, 0.405221, 0.505211, 0.675128, 0.416654, 0.576506, 0.589058, 0.405387, 0.596614, 0.671625, 0.376234, 0.47078, 0.556443, 0.353372, 0.511733, 0.617801, 0.373888, 0.542255, 0.546356, 0.358791, 0.439783, 0.57117, 0.375232, 0.510333, 0.666516, 0.321005, 0.508997, 0.660875, 0.375758, 0.555502, 0.607517, 0.386517, 0.559546, 0.558181, 0.352208, 0.532155, 0.657528, 0.390624, 0.493012, 0.595396, 0.298559, 0.530221, 0.627654, 0.398566, 0.0355367, 0.245475, 0.0323843, 0.42887, 0.047376, 0.196742, 0.0373143, 0.211452, 0.0386095, 0.174877, 0.0349521, 0.208742, 0.0357443, 0.173982, 0.0298426, 0.340728, 0.0386092, 0.164794, 0.0380794, 0.163463, 0.0408733, 0.349758, 0.0383493, 0.177484, 0.0388873, 0.190841, 0.0322573, 0.125483, 0.033455, 0.113524, 0.0311497, 0.169154, 0.0474526, 0.52802, 0.0404153, 0.438008, 0.0473136, 0.27435, 0.0432648, 0.27851, 0.0403426, 0.237083, 0.0459482, 0.242237, 0.0477368, 0.334832, 0.0415825, 0.292261, 0.0375555, 0.991133, 0.045831, 0.947456, 0.0528459, 0.312631, 0.0352058, 0.718028, 0.0367313, 0.31634, 0.0332903, 0.832432, 0.0372911, 0.469113, 0.038339, 0.197395
-3025.35,0.933072,0.247977,4,15,0,3103.16,3.49745,2.17515,9.53464,6.4588,3.21642,6.76965,3.83285,2.40127,9.71606,4.8893,4.88657,8.75877,3.90523,1.89148,5.13914,3.68319,1.31579,6.68517,1.72397,1.68949,5.47203,3.05309,8.29147,1.00867,4.74254,4.27124,0.868919,1.19049,8.94224,4.38933,1.10305,1.38619,2.59969,6.02818,3.95315,3.19411,1.17164,23.334,13.4341,7.97403,5.72436,3.05361,1.37563,11.1414,5.84174,4.88771,3.48933,7.10051,5.71799,21.5655,3.31268,3.41609,3.53257,5.00808,1.43558,3.32251,10.926,11.6834,1.98204,1.24914,9.10465,7.48711,1.8289,1.31826,1.18089,0.584539,0.638957,1.45189,0.927996,0.531108,1.08624,0.881243,2.08547,1.06401,1.15795,0.367291,0.890602,1.83235,0.572398,0.938011,0.509736,1.17579,1.13057,1.21429,2.64645,0.845598,1.13275,0.846873,1.92631,1.08532,1.30392,1.50183,1.81201,1.10765,1.16743,1.144,0.482999,0.371757,0.590677,0.344478,0.327258,0.20816,0.208203,0.172411,0.448592,0.389155,0.593312,0.38324,0.441233,0.235172,0.422856,0.346192,0.364952,0.236937,0.310624,0.262292,0.668806,0.33539,0.589341,0.406031,0.332415,0.20645,0.389418,0.380576,0.497816,0.275116,0.412264,0.348349,0.490101,0.604066,0.341375,0.646608,0.63539,0.746315,0.76109,0.788433,0.484331,0.555533,0.376031,0.594753,0.503036,0.735326,0.494338,0.639133,0.627379,0.738755,0.617207,0.724536,0.275214,0.576616,0.344033,0.592904,0.516709,0.738675,0.50659,0.605236,0.465713,0.696788,0.515776,0.60326,0.0269001,0.024177,0.0679478,0.00891354,0.0373517,0.0455245,0.0307071,0.0391568,0.0670764,0.0553123,0.0306576,0.022007,0.0557308,0.0295027,0.0828057,0.0146744,0.00766905,0.0243084,0.0721688,0.0131723,0.0559809,0.0879948,0.0666265,0.00106453,0.150876,0.0548754,0.103992,0.0141874,0.0364708,0.0280954,0.0719598,0.0483909,0.445509,0.282267,0.439587,0.330446,0.499734,0.674009,0.494555,0.649358,0.054757,0.0437238,0.0658581,0.0201959
-3044.08,0.724701,0.247977,4,15,0,3116.82,4.4373,2.43861,7.62809,5.05342,4.69544,5.24104,4.70227,2.18252,5.96595,1.9551,1.86802,1.79546,2.54505,3.60197,2.93951,3.2699,0.687561,4.96448,0.865039,2.12997,7.98575,4.41369,7.77839,2.91653,4.34637,2.92798,2.30833,4.44817,9.31236,7.26099,0.98517,3.57484,2.43714,2.59326,4.68994,20.1875,3.42808,11.556,11.5319,7.83213,11.7363,4.9862,6.6947,3.19307,3.92416,2.86837,1.74459,2.89969,0.854169,10.6353,2.81136,0.915996,4.00023,3.59328,8.12893,0.953862,5.47622,8.31454,2.40554,2.0111,5.409,7.52688,5.3647,3.70081,0.438252,0.487862,1.96272,1.46754,2.15369,0.688987,1.92079,0.634505,2.72577,0.700771,0.938716,0.403932,1.73414,0.618275,1.43107,1.06351,0.302419,1.66448,1.94596,0.387673,1.40171,2.70564,2.82233,0.649157,2.80192,1.62663,0.744391,0.871472,0.215838,1.70356,2.94442,1.62988,0.591206,0.466056,0.676017,0.312891,0.346975,0.272803,0.274389,0.148206,0.462947,0.335187,0.570418,0.407904,0.448284,0.214091,0.502107,0.328241,0.383134,0.296179,0.405448,0.233729,0.729284,0.426782,0.565029,0.434617,0.377219,0.218271,0.341232,0.377359,0.606721,0.430369,0.505973,0.314326,0.362242,0.507166,0.270872,0.631452,0.606512,0.711411,0.703069,0.825684,0.480827,0.585813,0.393385,0.574854,0.510728,0.76989,0.418495,0.639212,0.612278,0.691523,0.514577,0.750183,0.236498,0.555401,0.36089,0.564722,0.566579,0.741165,0.538006,0.574813,0.364034,0.548684,0.418738,0.629727,0.0465523,0.026778,0.0531112,0.055657,0.0465133,0.015786,0.0225418,0.02611,0.0562255,0.0789999,0.0361965,0.0172421,0.0409881,0.0160195,0.0793972,0.0325462,0.00458784,0.0122987,0.079975,0.0160878,0.0342176,0.017817,0.0740812,0.000661047,0.0562019,0.0405639,0.120762,0.0478277,0.0292447,0.0209465,0.0752893,0.0559466,0.493221,0.332467,0.480077,0.319659,0.467462,0.638882,0.452254,0.648831,0.0393164,0.0286512,0.0676692,0.0315098
-3028.11,0.953965,0.247977,4,15,0,3113.94,5.13197,2.6325,7.71863,4.32483,0.815329,3.82408,11.9189,3.16421,8.97113,4.2058,1.81942,3.27055,4.53693,1.12409,4.47044,0.956128,0.621139,5.94243,0.948423,1.34768,11.2928,1.55701,4.7655,1.58111,5.87943,2.2641,4.17108,2.41564,2.30399,21.6099,7.98493,2.92574,3.96505,2.41895,3.13208,5.4473,1.89405,4.96878,42.848,8.35184,2.97535,3.48746,2.70214,4.83592,2.02278,5.99586,4.10092,5.1417,2.11204,14.6927,5.72012,1.33221,4.18157,2.57515,3.20777,2.56974,12.8582,5.86028,1.08806,3.06922,2.86295,27.5039,2.09909,6.89853,0.541488,0.479958,2.14646,2.50123,1.35418,0.75076,1.72273,0.600632,1.75781,1.40796,0.869923,1.06225,0.902484,0.744468,2.82986,1.16336,0.650937,1.2662,1.02347,0.353392,0.859897,0.507831,1.14941,0.386342,2.06503,2.22369,1.0969,0.672656,3.0195,2.67789,0.905801,1.13215,0.436119,0.377443,0.585683,0.263164,0.258292,0.284677,0.215108,0.1579,0.543562,0.285979,0.559473,0.359365,0.518958,0.225238,0.499714,0.275183,0.380819,0.28977,0.339148,0.177381,0.69132,0.375302,0.582659,0.404049,0.364879,0.313223,0.356409,0.359329,0.580612,0.353425,0.479877,0.355548,0.492295,0.605286,0.330416,0.724879,0.664631,0.699227,0.760464,0.824396,0.404097,0.664507,0.395871,0.589973,0.39641,0.747827,0.390691,0.698751,0.61075,0.684541,0.578653,0.795939,0.259194,0.588384,0.341302,0.594377,0.571696,0.634966,0.49967,0.635888,0.366431,0.591468,0.458868,0.621144,0.0715857,0.0172707,0.0839008,0.0119568,0.0770766,0.0160961,0.0244276,0.0177039,0.052341,0.0495143,0.0446564,0.0506625,0.0846321,0.0269352,0.109596,0.0260662,0.00843086,0.0256891,0.0821989,0.0266807,0.0494862,0.0363139,0.0760391,0.00157343,0.0634254,0.0518108,0.143922,0.00478283,0.052957,0.0551067,0.0612553,0.0233082,0.47182,0.313132,0.452259,0.29399,0.470688,0.652026,0.469492,0.685668,0.0574919,0.0348421,0.0782494,0.0203418
-3030.45,0.812408,0.247977,4,15,0,3108.43,4.63304,3.84223,9.27733,3.35815,0.852235,3.44121,14.7362,3.70395,6.369,3.21684,1.46996,3.76066,4.17044,1.3558,3.37657,0.683807,0.638909,6.91954,1.2409,1.26184,15.4712,2.14595,5.50741,1.39791,5.50439,1.71399,5.34985,2.37268,2.72983,19.967,7.4403,2.61521,4.29547,1.97481,2.8303,5.11527,1.61877,6.59178,34.4964,6.57637,2.68332,2.7733,2.44433,7.3448,2.22074,7.19905,3.80905,5.79681,2.68936,13.6818,5.57905,1.74785,4.56574,2.64487,3.30294,2.59224,10.4238,6.19747,1.41386,2.50397,2.65483,32.7392,2.74448,6.94697,0.541735,0.510515,2.1866,2.43135,1.40401,0.722156,1.3098,0.651988,1.76374,1.68921,0.706785,1.21291,1.0635,0.925932,2.41029,0.922563,0.733273,1.41484,1.14742,0.328382,0.921858,0.40718,1.31288,0.404114,1.76363,1.55075,1.0298,0.722708,3.18155,2.44988,0.915396,1.11425,0.445083,0.372789,0.570231,0.273769,0.252193,0.286362,0.20692,0.15207,0.546459,0.27649,0.573656,0.359461,0.500185,0.234905,0.514987,0.288341,0.382688,0.302728,0.329421,0.184765,0.662537,0.374768,0.594145,0.395136,0.369404,0.315912,0.368005,0.3572,0.578621,0.350723,0.503078,0.363605,0.485815,0.613592,0.339068,0.712003,0.662263,0.70028,0.767149,0.832008,0.40975,0.680609,0.378535,0.603256,0.413522,0.736948,0.384818,0.685239,0.606937,0.671157,0.596352,0.776954,0.28103,0.585185,0.332022,0.603242,0.57323,0.634966,0.50076,0.639083,0.362726,0.600808,0.441592,0.613927,0.0691026,0.0136187,0.0907005,0.0142284,0.0855438,0.0133574,0.0259312,0.0159219,0.0437913,0.0429008,0.0478094,0.0372829,0.0862936,0.0281472,0.100195,0.0264193,0.0103752,0.0261146,0.0742267,0.038281,0.0564332,0.0400472,0.0738329,0.00162177,0.0573662,0.0491229,0.131235,0.00371774,0.0586531,0.0484693,0.0553298,0.0224674,0.467146,0.314335,0.457555,0.296793,0.474409,0.652943,0.467537,0.683214,0.0584449,0.0327222,0.0749076,0.0199926
-3027.7,0.866243,0.247977,4,15,0,3107.4,3.5618,0.66763,8.66191,3.84232,3.96548,1.1858,1.50649,1.87751,9.96001,7.81448,7.47295,3.15857,2.55274,3.4266,5.11309,4.55685,5.19904,13.0963,7.32454,15.644,4.53884,5.80413,4.31947,5.41527,5.69414,1.5342,0.891453,9.09231,4.01216,3.61157,2.25317,4.28706,2.6783,3.46672,1.79873,4.4936,3.98606,3.4275,3.49674,5.37781,3.29146,7.66397,2.54202,4.84555,6.1371,9.95951,6.19233,2.68326,2.35428,41.3694,2.95173,25.2871,2.53032,3.32206,3.12523,5.80042,6.35774,2.80136,6.30039,12.0262,3.45634,3.00919,5.92928,3.14869,1.58068,1.00886,1.91104,0.38535,1.53633,1.23942,1.42061,1.90249,1.61543,0.816602,2.20601,0.66852,0.91381,0.844842,1.17767,0.494785,0.780285,3.74118,1.51511,2.20437,1.59413,1.70289,1.50266,0.461046,1.67938,0.487943,1.56953,1.04389,0.318295,1.13832,1.49723,0.943012,0.611643,0.311218,0.643729,0.394166,0.286752,0.15246,0.269363,0.234997,0.518222,0.41268,0.502518,0.397423,0.481938,0.281747,0.48471,0.312669,0.418324,0.242648,0.357516,0.352023,0.645337,0.475736,0.609558,0.537782,0.497245,0.258088,0.423151,0.309355,0.526897,0.333297,0.382013,0.297788,0.362959,0.64978,0.319935,0.59969,0.670578,0.781366,0.656458,0.714692,0.401539,0.544593,0.431591,0.589292,0.507483,0.677319,0.421133,0.683101,0.536821,0.723319,0.594427,0.638832,0.314553,0.466052,0.337371,0.433745,0.446837,0.713408,0.520873,0.656605,0.453365,0.65135,0.564459,0.648057,0.0253985,0.0390021,0.0363353,0.00614425,0.0426704,0.0661741,0.0741793,0.0503107,0.0802393,0.0427269,0.0658914,0.0132842,0.0105788,0.0409333,0.0941572,0.00423018,0.0448546,0.0340337,0.0480568,0.00914518,0.0401094,0.0582114,0.0530713,0.0284727,0.0559176,0.028504,0.0559754,0.0340396,0.0197374,0.0153525,0.0535278,0.0541548,0.498295,0.308484,0.45907,0.354525,0.461767,0.650898,0.480781,0.620502,0.0399383,0.0406173,0.0601493,0.0249727
-3036.41,0.937664,0.247977,4,15,0,3105.86,1.17384,6.03776,5.21359,2.70674,8.07795,2.36688,3.65972,3.79286,1.20788,1.26463,2.38574,3.19026,20.6348,5.66119,11.4048,2.96224,1.55761,2.39213,1.74113,0.80849,14.979,1.82746,3.04312,2.25644,4.63318,1.64694,10.8711,1.24598,6.09653,1.25004,5.01109,1.17882,2.6227,4.78067,9.32584,3.79684,22.2829,14.0223,8.74542,8.6179,2.42848,2.39514,3.71133,5.51722,9.67187,5.59645,11.9337,14.1534,3.54709,4.98457,9.99726,2.21362,7.93758,3.32159,2.01512,1.37539,4.58824,3.87373,4.76579,3.36913,4.89886,7.04257,3.81918,6.76991,0.450174,0.681649,0.821303,0.480571,3.21531,1.98792,0.87998,1.34371,1.94227,1.01769,1.14259,0.739607,2.20701,0.753602,3.95139,0.242262,1.16682,1.00189,0.827778,0.486107,1.11711,0.601894,0.933405,0.785154,1.40044,1.79093,0.67445,0.54212,0.654473,0.135209,0.510809,0.619684,0.497109,0.306162,0.608373,0.335159,0.308416,0.230519,0.246254,0.210503,0.561736,0.347163,0.534115,0.34025,0.495773,0.260956,0.446315,0.34682,0.455343,0.29814,0.342955,0.21372,0.590192,0.452114,0.542768,0.490125,0.418541,0.270667,0.34742,0.353036,0.574578,0.311204,0.402431,0.30838,0.463611,0.672669,0.315649,0.663282,0.607217,0.736357,0.738966,0.744106,0.360633,0.631121,0.412846,0.651559,0.465363,0.715231,0.450226,0.651963,0.536035,0.662532,0.592572,0.755292,0.331874,0.51842,0.393516,0.505596,0.557466,0.704932,0.548732,0.638774,0.374369,0.661452,0.545452,0.626183,0.0392801,0.0211693,0.075978,0.00155893,0.0843668,0.0331245,0.0147802,0.0453913,0.0776308,0.0217159,0.0530387,0.00819141,0.0388646,0.0238136,0.103459,0.00121669,0.00862165,0.039328,0.0644736,0.0309886,0.0779347,0.0294655,0.0637158,0.00427852,0.0239928,0.0244009,0.103848,0.00818983,0.0510536,0.0273437,0.0521168,0.0654367,0.487711,0.309616,0.433829,0.324749,0.462071,0.662839,0.499745,0.654594,0.0502181,0.0275452,0.0664263,0.0206565
