# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:45:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b676e7125.json
# init = 2 (Default)
# random
#   seed = 1777704058
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221945-1-78565f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221945-1-bafd99.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.245677
# Diagonal elements of inverse mass matrix:
# 0.612429, 0.593194, 0.377393, 0.56565, 0.570491, 0.368251, 0.459837, 0.561737, 0.429631, 0.563757, 0.465032, 0.353475, 0.599393, 0.570048, 0.34455, 0.596248, 0.580246, 0.356009, 0.57668, 0.538909, 0.359476, 0.608602, 0.55589, 0.412575, 0.541442, 0.418192, 0.362963, 0.487986, 0.519092, 0.368536, 0.464963, 0.574477, 0.370842, 0.601347, 0.521008, 0.355562, 0.530005, 0.512523, 0.326062, 0.500859, 0.534318, 0.422579, 0.518772, 0.467529, 0.398664, 0.560912, 0.557873, 0.376433, 0.599243, 0.617606, 0.423874, 0.495535, 0.684052, 0.360301, 0.537028, 0.646261, 0.353997, 0.571565, 0.646383, 0.41958, 0.521125, 0.712587, 0.3308, 0.593285, 0.719216, 0.360709, 0.492794, 0.676281, 0.395006, 0.496749, 0.558545, 0.361397, 0.559217, 0.71078, 0.425254, 0.518995, 0.616133, 0.37519, 0.476337, 0.64096, 0.398394, 0.554057, 0.56535, 0.399558, 0.522503, 0.541975, 0.377594, 0.519901, 0.582643, 0.392834, 0.560146, 0.738754, 0.420978, 0.52856, 0.608927, 0.409771, 0.0364939, 0.276051, 0.0347278, 0.457465, 0.0530941, 0.181677, 0.0491495, 0.187297, 0.0284922, 0.17228, 0.0401362, 0.19009, 0.0375774, 0.224901, 0.0325998, 0.324963, 0.0427031, 0.194126, 0.0412601, 0.145319, 0.0417065, 0.370339, 0.0363704, 0.203227, 0.0350402, 0.190485, 0.0374676, 0.121266, 0.0286976, 0.09193, 0.0373443, 0.146634, 0.0391036, 0.453588, 0.0476935, 0.428532, 0.0475931, 0.372981, 0.0326851, 0.259024, 0.0405457, 0.218665, 0.0494011, 0.215458, 0.0517217, 0.292147, 0.0350455, 0.355681, 0.0501334, 0.827781, 0.0510855, 0.719397, 0.0532752, 0.309392, 0.0243099, 0.894975, 0.0405509, 0.319996, 0.0372456, 0.937419, 0.039786, 0.444789, 0.0455764, 0.181145
-3034.37,0.877359,0.245677,4,15,0,3099.41,7.90682,3.7584,2.80293,2.74104,2.57838,1.80954,2.43645,1.56268,2.96538,4.36333,10.7115,4.31382,3.01664,11.2368,8.78394,0.95225,4.15754,4.63609,1.41848,1.48734,11.3379,7.249,4.05619,3.71165,2.79902,0.689834,17.4965,3.86201,2.11072,3.96962,3.5675,6.24672,2.7276,2.18725,0.805616,11.5649,2.4879,8.48505,2.58578,6.34646,0.416529,8.12188,6.70381,1.88586,2.48008,15.267,3.21467,8.8275,1.95406,4.11201,3.59025,1.28648,4.00631,15.6159,1.30663,5.85939,3.41341,1.64098,19.7333,6.66602,3.28846,22.1964,3.86983,16.1001,1.52157,2.11746,0.515299,1.1375,0.346073,2.54139,1.10597,0.822712,0.378869,1.17793,6.04896,1.38881,1.54262,2.46725,3.1933,2.2291,0.768844,1.33588,0.880286,0.391957,0.825409,2.85768,1.62691,0.65687,1.07828,1.1484,1.58441,0.993507,0.414374,0.79035,1.14048,1.0107,0.493418,0.362489,0.584214,0.302667,0.268809,0.204133,0.237254,0.236874,0.53724,0.337415,0.573616,0.439869,0.554231,0.25758,0.499817,0.36532,0.370988,0.315553,0.361418,0.29511,0.613853,0.396845,0.548685,0.519134,0.388084,0.228688,0.420298,0.331354,0.508019,0.238038,0.399101,0.26862,0.439667,0.618259,0.331247,0.680145,0.689861,0.730747,0.713964,0.734521,0.411027,0.639938,0.353853,0.542078,0.419657,0.697169,0.393485,0.588591,0.619001,0.6518,0.593702,0.697745,0.343723,0.580425,0.346578,0.453485,0.570515,0.713615,0.529418,0.653943,0.464695,0.748574,0.515696,0.679916,0.0669148,0.019252,0.0845392,0.0171883,0.0413299,0.0651203,0.048782,0.0286055,0.0517327,0.0226476,0.072531,0.0180533,0.0261121,0.0452502,0.106698,0.0460897,0.0100106,0.0326478,0.0448801,0.00714481,0.0424238,0.0227302,0.104738,0.0273809,0.0414016,0.0576975,0.0502843,0.0147023,0.0272866,0.013388,0.085203,0.0514645,0.46683,0.292593,0.45305,0.344868,0.494768,0.672566,0.472243,0.628803,0.0384015,0.0348417,0.0747069,0.0263286
-3027.69,0.978843,0.245677,4,15,0,3102.29,3.70449,6.47236,5.28257,2.37822,6.55598,5.94746,4.33179,3.47264,8.89596,3.34224,4.58641,4.38952,7.13827,1.33433,5.75865,2.3762,4.93778,5.71904,1.39263,4.30016,2.23506,2.37126,22.257,6.24524,14.0996,11.6256,2.79781,7.37118,16.7913,4.84343,15.3595,1.31314,0.71246,6.94654,7.99767,8.27466,11.0272,10.737,10.9985,12.5916,3.48242,2.89733,2.66279,6.96321,11.3326,1.02545,2.95856,5.18005,4.07507,8.00338,5.20718,24.7704,1.08058,2.44681,7.71928,9.6866,15.8875,26.3469,5.29264,7.88451,9.5993,4.48695,14.6364,1.15322,0.645223,0.691287,1.7733,0.67724,5.53656,0.839116,0.80783,1.47032,3.36818,1.71141,0.563689,1.17669,0.620106,0.540324,2.03336,0.145204,1.96877,0.905657,1.13436,1.63349,0.722475,0.675971,1.03395,0.966764,1.42653,1.44547,0.968606,1.04567,4.07841,1.28489,1.8979,1.29684,0.514228,0.319538,0.643107,0.334074,0.267112,0.213908,0.267286,0.178767,0.539834,0.347779,0.498431,0.30808,0.411788,0.2066,0.433406,0.271221,0.426594,0.238836,0.328689,0.222357,0.687345,0.46727,0.629635,0.409952,0.422202,0.294224,0.388065,0.338147,0.600175,0.447368,0.472408,0.392177,0.460582,0.661493,0.310568,0.653022,0.676689,0.776068,0.705561,0.779477,0.416622,0.568166,0.477936,0.662579,0.522996,0.771307,0.473417,0.715473,0.559518,0.742857,0.612267,0.747491,0.274795,0.474955,0.333947,0.574773,0.515867,0.679916,0.475572,0.641641,0.366479,0.480738,0.459531,0.562833,0.0251903,0.0189684,0.0463252,0.0129039,0.0561995,0.0100238,0.027153,0.041756,0.0435444,0.084055,0.023633,0.0293407,0.0652163,0.0220924,0.0931778,0.0133065,0.0138881,0.0183067,0.0590442,0.030152,0.0378603,0.0577751,0.0364183,0.0152751,0.0619308,0.0258598,0.136363,0.0202122,0.0333459,0.0718938,0.0680616,0.0449906,0.48366,0.316941,0.457628,0.306847,0.474193,0.644438,0.4811,0.667161,0.0421469,0.0386219,0.061272,0.0259921
-3032.32,0.784939,0.245677,4,15,0,3114.05,3.59121,5.42547,8.30801,2.5151,5.98142,6.81299,2.51509,5.08466,10.3292,4.43476,6.19881,1.58505,6.81558,1.60374,2.85823,2.43245,1.12995,4.70911,1.15323,9.28677,3.05167,1.56203,12.0723,5.11019,17.1581,13.6008,1.38352,4.20363,11.1583,3.01882,10.5891,3.94417,0.602041,19.4536,4.23877,1.87751,17.4307,33.1288,4.1676,11.8568,5.26986,8.81887,1.65736,6.08801,8.81897,1.31832,2.05205,5.04168,3.74657,12.5757,5.62455,13.6772,2.1154,1.6339,3.83607,9.88025,18.7075,25.5168,5.70721,10.4018,7.7208,2.56052,14.6389,1.04066,0.400994,1.05461,2.74434,0.693245,2.10581,0.519146,0.803412,1.85389,2.88004,1.39869,0.809872,1.45627,0.922842,0.531437,3.40091,0.2697,0.741372,0.823543,1.35508,1.36193,0.321451,0.573265,0.633546,0.928572,2.94717,0.772454,0.875751,1.37683,1.33654,1.62482,2.16698,1.45353,0.526571,0.369824,0.618925,0.396767,0.234834,0.183941,0.276188,0.204733,0.553793,0.291366,0.495702,0.34938,0.523167,0.235662,0.448433,0.358458,0.383372,0.278471,0.272009,0.225346,0.631264,0.47223,0.646504,0.422227,0.439189,0.350878,0.372369,0.370645,0.564251,0.39159,0.450869,0.385695,0.458274,0.619913,0.341902,0.598284,0.689969,0.806965,0.689539,0.746967,0.399659,0.601061,0.477682,0.63827,0.444866,0.748228,0.464228,0.633093,0.599308,0.706051,0.648653,0.738519,0.330375,0.47673,0.314169,0.551648,0.501115,0.626889,0.508355,0.619585,0.403941,0.55877,0.48345,0.567739,0.0151553,0.010263,0.0391731,0.00494868,0.0751973,0.00909487,0.0342735,0.0482998,0.0465482,0.107573,0.0266158,0.0123493,0.0319665,0.0161107,0.0873392,0.00844888,0.0173193,0.015478,0.079338,0.036135,0.0383607,0.0510395,0.0393269,0.0261248,0.0596957,0.0222324,0.119276,0.00977012,0.0318077,0.0496397,0.0656806,0.0465658,0.482055,0.321745,0.447625,0.339157,0.478439,0.643076,0.490997,0.636763,0.0395063,0.0351789,0.0613779,0.0240803
-3041.24,0.712106,0.245677,4,15,0,3119.66,2.41501,4.1949,7.24672,1.33163,3.7293,1.5784,6.30442,3.64792,10.3249,3.6232,1.21472,2.03922,2.03524,3.33211,3.90779,1.52383,6.12904,4.39803,5.40259,8.80572,27.4566,8.99281,3.10152,5.03123,23.7245,5.20111,3.68606,4.60333,5.579,5.41426,9.45732,0.984386,7.56804,4.13848,4.55251,5.12132,8.72385,1.80314,14.2724,27.9034,8.61258,5.4592,1.66906,1.36006,1.09755,13.6001,7.27378,1.62318,3.63852,8.91824,4.09507,7.45076,7.56854,10.8888,3.14383,1.01622,47.7341,19.2668,1.42931,2.91766,5.28023,19.1428,8.59599,1.37616,0.688253,0.668177,1.38619,0.711332,2.30042,0.682727,3.43453,4.37986,2.26837,2.08366,0.869262,0.416531,1.55327,1.22961,0.694355,0.705861,0.40884,1.27557,0.933685,1.40748,2.89156,1.69893,0.989985,1.52713,2.62993,6.9033,0.624931,0.348513,0.48946,0.688527,1.9712,0.496377,0.531,0.408755,0.579254,0.244174,0.297751,0.248855,0.273032,0.184725,0.534515,0.404938,0.577741,0.353942,0.455719,0.280058,0.430139,0.326565,0.440164,0.290876,0.356132,0.270296,0.720212,0.414624,0.587003,0.482459,0.338712,0.222871,0.446352,0.353994,0.545201,0.336458,0.464883,0.339671,0.418195,0.570233,0.295775,0.716634,0.618713,0.741825,0.678545,0.780598,0.365599,0.563874,0.382173,0.584127,0.478963,0.686424,0.429323,0.66726,0.554381,0.698179,0.60038,0.723459,0.216863,0.558955,0.335711,0.506587,0.645904,0.696491,0.492574,0.637452,0.434079,0.656283,0.483523,0.629152,0.0508055,0.0210115,0.124971,0.0391924,0.0835363,0.00932061,0.0484234,0.034677,0.0998866,0.031188,0.0400862,0.0619311,0.0653179,0.0335179,0.140538,0.00617501,0.00545511,0.0109453,0.0434885,0.00624466,0.0629254,0.0264203,0.0772861,0.0109538,0.0153842,0.080638,0.0610743,0.00855396,0.0207199,0.00725924,0.0515938,0.0311774,0.482909,0.325929,0.464317,0.319478,0.466587,0.646533,0.46225,0.655659,0.0505039,0.0275376,0.0734327,0.0248632
-3035.02,0.916523,0.245677,4,15,0,3133.78,16.2256,2.35693,2.87819,3.61272,11.8103,4.58024,2.49192,2.18864,16.8437,3.35943,4.73485,3.65381,3.80431,2.63607,10.4548,18.9005,7.35908,1.08317,3.87084,2.41226,4.56498,5.9384,10.9525,2.51941,7.50457,10.175,2.06204,1.40887,16.0333,4.02289,8.03109,2.45665,4.62763,5.7595,1.77503,2.97356,9.53998,28.6917,4.63404,2.49156,11.8178,10.214,1.97411,9.69885,7.1272,4.25616,3.01199,37.6898,11.5785,1.93053,7.97415,7.72558,2.13575,2.20254,4.44604,8.35846,8.66845,18.5275,3.80993,5.25037,16.025,4.07179,7.58948,3.58081,3.08692,1.37865,1.54389,0.616959,2.0938,1.53519,0.400768,0.525452,4.06046,1.37397,1.3714,1.7474,0.519044,0.914948,3.51402,0.446875,1.24239,0.266698,0.457798,0.326045,1.10332,1.04149,0.899707,0.405074,1.07263,1.12324,0.899953,0.507402,2.88929,0.691597,2.40195,0.461868,0.52342,0.31029,0.640828,0.396769,0.258187,0.185797,0.283366,0.186646,0.559719,0.338057,0.586493,0.412634,0.459593,0.234817,0.576797,0.345365,0.3979,0.289712,0.429075,0.327749,0.639261,0.478658,0.677917,0.504688,0.447582,0.289085,0.41459,0.359431,0.523668,0.347629,0.445699,0.290213,0.433221,0.668083,0.325882,0.599038,0.689999,0.77754,0.693271,0.774262,0.400355,0.568827,0.35718,0.570179,0.520306,0.739811,0.376251,0.634124,0.600417,0.687036,0.524278,0.670355,0.3115,0.479961,0.293195,0.480033,0.514885,0.682815,0.503762,0.632776,0.446964,0.62376,0.46342,0.652476,0.0433594,0.021627,0.0332902,0.0041938,0.0518146,0.0366632,0.0233627,0.0390928,0.0399258,0.0931169,0.0563268,0.0171866,0.0201007,0.0253717,0.0469519,0.0205106,0.00168323,0.0232518,0.0466469,0.00189604,0.0492399,0.0413812,0.0288887,0.0152788,0.0375323,0.0281003,0.0816477,0.00779308,0.0293675,0.0286113,0.0908808,0.0573115,0.476166,0.309255,0.506846,0.352937,0.489706,0.653479,0.442155,0.626655,0.0341279,0.0372654,0.0509995,0.0204079
-3042.87,0.893788,0.245677,4,15,0,3123.52,9.1543,2.61914,6.21102,3.42696,2.34497,5.22568,3.43918,1.21963,12.0368,8.79429,4.11136,3.14885,13.5303,2.19091,5.91179,2.33913,5.22552,2.54345,2.51991,13.2251,11.3861,1.09928,2.05752,2.80104,8.30325,5.06145,2.69892,3.37927,10.9216,1.21557,13.2236,8.18169,14.2881,1.23136,1.59954,11.8938,44.2082,29.5468,7.05796,2.20477,12.5035,5.59671,1.19407,4.04046,7.82786,7.22588,4.27617,2.73008,11.9994,1.88308,2.57381,19.1671,2.78617,7.04586,1.31836,0.490122,25.8249,8.09725,3.32428,6.2629,7.49657,11.0876,13.649,18.7106,0.803808,1.10902,0.725551,0.790905,3.3293,2.32105,0.623624,0.609744,1.59947,1.36416,1.22282,1.00283,1.66868,0.802149,0.908466,1.06175,0.303127,0.19672,2.4988,1.79876,1.23384,1.45684,0.743262,0.440245,2.37719,1.42727,0.288252,0.604952,2.16841,1.15476,4.04766,1.66932,0.509391,0.326019,0.604024,0.235861,0.175722,0.19821,0.256378,0.220666,0.542913,0.375813,0.550242,0.389944,0.56216,0.26141,0.574275,0.313018,0.337858,0.32147,0.381283,0.260135,0.688184,0.435329,0.582676,0.542031,0.359037,0.248621,0.383853,0.276329,0.544753,0.24412,0.399695,0.358297,0.469067,0.608205,0.334807,0.753286,0.785791,0.767651,0.713578,0.765449,0.398289,0.595101,0.400499,0.591172,0.412707,0.711817,0.369661,0.679736,0.641897,0.658604,0.577617,0.720655,0.278364,0.510606,0.338492,0.450973,0.610914,0.71868,0.564632,0.721536,0.389125,0.711621,0.529762,0.613909,0.0215421,0.0657766,0.0611698,0.0108524,0.0384868,0.0341388,0.0300437,0.0138844,0.0587982,0.0290858,0.0492586,0.0188847,0.0251329,0.0267729,0.0560638,0.00724626,0.0202456,0.0199261,0.0411004,0.01921,0.0334518,0.0540654,0.0788328,0.00699555,0.0300497,0.0326993,0.0515151,0.00213532,0.0661226,0.044259,0.0705427,0.0277939,0.465002,0.301374,0.466553,0.324535,0.498269,0.660285,0.478631,0.66209,0.0367287,0.0383405,0.0548159,0.0133753
