# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:45:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b5b963718.json
# init = 2 (Default)
# random
#   seed = 839289538
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221945-1-8e3738.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221945-1-78c64f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.236423
# Diagonal elements of inverse mass matrix:
# 0.567248, 0.518022, 0.341839, 0.611438, 0.54428, 0.398895, 0.522545, 0.641747, 0.384718, 0.692975, 0.50147, 0.443826, 0.551641, 0.536906, 0.393362, 0.585726, 0.593571, 0.382732, 0.555076, 0.492801, 0.404284, 0.633537, 0.539014, 0.384617, 0.656372, 0.510628, 0.414404, 0.62855, 0.724675, 0.417024, 0.508635, 0.558956, 0.365123, 0.572072, 0.475626, 0.385959, 0.599936, 0.626862, 0.36909, 0.572802, 0.527142, 0.41062, 0.504676, 0.483, 0.402053, 0.593239, 0.476452, 0.360216, 0.535453, 0.668076, 0.376867, 0.568506, 0.687994, 0.396577, 0.445137, 0.642185, 0.35455, 0.66101, 0.617526, 0.333237, 0.595073, 0.586471, 0.390012, 0.471962, 0.620482, 0.372229, 0.515186, 0.687905, 0.390805, 0.620551, 0.625376, 0.364987, 0.500411, 0.534499, 0.355957, 0.468646, 0.618291, 0.364967, 0.500313, 0.792666, 0.429101, 0.621763, 0.676634, 0.318821, 0.539579, 0.641725, 0.393066, 0.538264, 0.718453, 0.436764, 0.566783, 0.683554, 0.358996, 0.63315, 0.6882, 0.358253, 0.0345732, 0.268017, 0.0475282, 0.588646, 0.0439892, 0.19524, 0.039201, 0.310423, 0.0414007, 0.199431, 0.0308849, 0.196068, 0.0310402, 0.232648, 0.0358275, 0.336929, 0.0369735, 0.158157, 0.0388067, 0.179408, 0.0402463, 0.323487, 0.0424467, 0.183215, 0.0340661, 0.264547, 0.0369991, 0.112857, 0.0423586, 0.0944558, 0.0405243, 0.189173, 0.0453018, 0.441418, 0.0361665, 0.414757, 0.0546266, 0.309035, 0.0320104, 0.234128, 0.031992, 0.235635, 0.0469375, 0.245466, 0.0356648, 0.299916, 0.0383122, 0.366976, 0.0421959, 0.838242, 0.0410794, 0.848548, 0.0485344, 0.333225, 0.0303541, 0.83682, 0.0394208, 0.335056, 0.0353235, 1.04655, 0.0394133, 0.492726, 0.034217, 0.211113
-3024.45,0.830672,0.236423,4,15,0,3124.79,1.38328,1.03325,3.78495,9.42022,3.62502,5.5834,2.99917,3.06593,2.06433,7.46004,4.01728,5.10699,7.71779,3.67486,6.05997,2.93787,1.16028,1.44473,3.76973,1.2447,5.92325,2.87464,1.81685,6.51309,3.54714,3.10897,3.23507,7.61449,3.47573,3.44465,7.4382,2.49501,0.523267,1.05051,4.83324,9.21089,6.37223,11.3031,3.2986,6.42216,1.14667,8.40707,1.53288,3.02251,8.9356,2.35583,8.66361,3.16412,2.45995,3.51697,7.45974,8.32292,3.95063,5.2576,2.89757,9.79909,6.66168,4.68572,2.40615,18.2214,2.28925,8.33331,6.53165,4.38079,0.887547,1.50837,1.04974,0.718545,1.54974,1.17332,0.724259,1.59178,1.90079,1.00609,1.81895,1.79692,1.11464,1.11273,3.6575,1.27501,0.573387,0.77941,2.35712,0.561322,1.725,0.358311,1.0923,0.839676,0.909389,0.484568,0.368701,0.50412,0.601339,0.859813,0.599439,3.26477,0.535634,0.313212,0.644068,0.300154,0.314564,0.280531,0.339716,0.169443,0.484837,0.276218,0.470459,0.464484,0.442732,0.292947,0.520862,0.318662,0.458122,0.317418,0.354758,0.216644,0.69339,0.427506,0.517915,0.499667,0.406915,0.236325,0.422587,0.329174,0.563385,0.361686,0.408189,0.301831,0.427349,0.656605,0.311607,0.685204,0.606166,0.686189,0.641267,0.801949,0.444052,0.655103,0.494729,0.501682,0.487252,0.666988,0.358025,0.635435,0.522995,0.676818,0.585235,0.750709,0.275032,0.543641,0.398803,0.479328,0.578674,0.731657,0.522423,0.657645,0.409066,0.587212,0.554375,0.62903,0.0370176,0.030183,0.0443254,0.0146421,0.0792703,0.0332794,0.0190167,0.0286087,0.0711107,0.0686795,0.0348122,0.0338346,0.070016,0.0400654,0.121113,0.0459024,0.0188827,0.00576413,0.0600069,0.0326471,0.0315786,0.0288527,0.0832816,0.0210051,0.0144112,0.0320182,0.0549901,0.0131815,0.0275498,0.0511025,0.0374353,0.0691396,0.487447,0.31323,0.459819,0.325007,0.468823,0.650527,0.483308,0.642623,0.0437296,0.0362431,0.0568727,0.0323701
-3024.57,0.711518,0.236423,4,15,0,3101.5,3.68318,2.73353,24.5306,1.68519,2.7322,5.34283,2.68997,1.8717,3.8333,0.634194,7.53422,3.1981,5.68076,3.00249,15.5924,2.37677,2.42085,5.68778,4.34801,4.39826,7.1921,7.40833,14.5722,6.82573,2.44218,4.23447,3.89011,2.79595,3.39994,4.67619,1.1483,12.7497,5.71724,4.92236,4.74593,9.38859,3.78921,24.3727,9.07621,12.205,2.4742,3.19584,10.4936,9.38734,7.51701,19.577,6.48935,2.44625,1.45438,14.1756,10.9558,6.39621,2.29024,6.36939,5.22518,4.03146,3.93218,25.3496,7.26271,6.52861,5.06762,3.89347,1.47707,23.5177,0.719505,0.651201,2.16212,0.824128,1.12003,2.79065,1.58636,0.713968,0.621808,1.83205,1.73324,0.367245,3.44948,1.08536,2.68009,0.674643,1.39904,0.347585,0.728863,1.17276,1.42542,0.275231,0.994914,1.00903,1.64378,2.41305,0.957975,0.939837,2.45561,1.48604,0.567775,0.403074,0.559739,0.349157,0.667805,0.336035,0.378698,0.212526,0.201479,0.160847,0.557382,0.340859,0.562085,0.347937,0.460204,0.253537,0.497628,0.361072,0.395419,0.208812,0.273071,0.226146,0.629117,0.446512,0.635732,0.455393,0.403582,0.240513,0.39685,0.350584,0.489178,0.363687,0.437751,0.331019,0.390579,0.636723,0.290335,0.651785,0.580511,0.740656,0.759577,0.813517,0.361312,0.635791,0.359391,0.641855,0.466023,0.707949,0.405991,0.624008,0.577463,0.781551,0.641386,0.764214,0.287917,0.536448,0.313525,0.538151,0.555241,0.727015,0.543269,0.635889,0.446966,0.61082,0.471008,0.638495,0.0496825,0.01412,0.04186,0.0121806,0.0407908,0.0468176,0.0389443,0.0256353,0.0813061,0.0233506,0.0785238,0.0102078,0.0737731,0.0385143,0.0963812,0.0149197,0.0271181,0.00963724,0.0855433,0.00964019,0.0829662,0.0170403,0.0507424,0.0064555,0.0411767,0.0324723,0.0598805,0.0135267,0.063856,0.0254929,0.0912413,0.0304866,0.484165,0.30195,0.45905,0.321129,0.458251,0.672119,0.47306,0.663489,0.0575837,0.0259307,0.0678896,0.0153816
-3029.46,0.9445,0.236423,4,15,0,3100.21,3.2009,2.4415,6.39541,2.40525,2.84282,3.9714,1.34812,2.74227,3.12816,1.07853,5.60955,7.72188,3.66755,5.24528,1.59323,4.14665,2.85971,3.21849,4.84429,1.8989,2.99877,4.584,4.94394,2.44652,8.04891,7.30619,3.84839,9.11073,7.55893,3.66063,0.778472,5.78908,1.8288,3.64891,5.02164,4.79918,10.6041,8.91278,4.27363,12.1858,1.07199,8.30624,1.23003,4.32048,6.51936,6.47745,2.07592,14.367,1.89914,8.10065,6.36131,12.1893,1.99611,6.77376,5.43267,2.89646,1.8584,10.0633,4.36027,9.45862,5.52385,6.2878,1.70367,9.49006,0.5992,0.39384,2.07015,0.225898,1.40932,1.23309,1.31903,0.884287,0.479976,0.681692,2.57037,0.479024,1.69753,1.61938,2.31107,0.889905,1.15741,0.549734,4.26294,2.09791,0.7125,0.736707,0.779866,1.00711,1.70257,2.25823,1.9183,1.2559,1.67444,1.7845,0.859609,0.749193,0.458574,0.326593,0.672299,0.286706,0.322464,0.212167,0.316788,0.18386,0.559849,0.305362,0.530718,0.337231,0.473878,0.238313,0.452723,0.303227,0.489158,0.238255,0.310643,0.231072,0.69396,0.495655,0.612042,0.418897,0.415569,0.238401,0.435136,0.40329,0.551115,0.374825,0.457612,0.343122,0.466566,0.666143,0.272433,0.703262,0.649299,0.765772,0.642843,0.766629,0.402013,0.664031,0.421998,0.655747,0.46438,0.738676,0.369854,0.674186,0.478588,0.756042,0.587598,0.700053,0.253527,0.492071,0.351783,0.578148,0.52654,0.724095,0.494478,0.570116,0.415543,0.589556,0.459072,0.571771,0.07486,0.00726422,0.0552685,0.0100323,0.0282377,0.0220616,0.040369,0.049511,0.038138,0.0306065,0.0472837,0.00702184,0.0617421,0.0230106,0.177423,0.0225869,0.0322542,0.00570335,0.101759,0.0688749,0.0525134,0.0122744,0.0361752,0.00295548,0.0578914,0.0375039,0.0703868,0.0265939,0.0333421,0.0356193,0.0833169,0.0851073,0.495571,0.303696,0.473495,0.313426,0.457057,0.674548,0.450007,0.652489,0.0473724,0.0217555,0.0764977,0.0340855
-3025.34,0.83591,0.236423,4,15,0,3105.75,1.28896,1.67705,7.85441,2.23927,1.12656,0.83078,2.80447,3.1895,3.63888,8.62099,5.06684,0.620096,2.12747,3.17847,8.57887,2.66426,11.0391,2.76844,3.34105,5.3181,14.0108,2.03009,4.67029,1.71346,0.264274,1.13538,2.14207,5.05389,2.36904,9.63201,6.34002,1.54311,2.27745,2.57617,4.34887,3.1277,0.565705,2.46409,4.12459,9.44421,5.15431,14.3453,7.44476,4.30587,1.86677,14.1526,4.90157,10.2143,25.9011,6.78251,3.73612,4.86282,6.36552,1.11862,1.26754,2.4734,2.71597,7.68849,3.09288,8.2679,3.14026,18.9557,3.66782,2.89222,1.87312,0.235515,2.17789,0.591618,0.358016,0.723628,0.621051,1.64919,0.909331,2.61252,0.603653,1.34202,0.812407,1.0787,0.450312,1.71038,1.062,0.752064,0.705476,0.313382,2.65998,0.802557,1.06854,0.180553,0.556218,0.831846,1.05499,0.810826,1.52049,1.70073,2.09727,1.01832,0.483664,0.364248,0.565755,0.354127,0.250203,0.245978,0.220545,0.201691,0.559254,0.276785,0.540566,0.38654,0.438842,0.217277,0.49776,0.289713,0.341435,0.288304,0.339255,0.300788,0.677908,0.417754,0.620608,0.466203,0.410385,0.212216,0.380785,0.287569,0.619454,0.313239,0.415322,0.378847,0.479386,0.59165,0.316257,0.631642,0.6643,0.724993,0.760516,0.774871,0.370866,0.647204,0.401678,0.581001,0.499547,0.744964,0.430555,0.679396,0.642827,0.70114,0.611681,0.696437,0.276936,0.537655,0.313471,0.517794,0.54905,0.730001,0.524649,0.706194,0.337084,0.627205,0.529089,0.593514,0.0369502,0.0441024,0.117988,0.0142318,0.0854967,0.0290292,0.0189392,0.023438,0.0698798,0.0760112,0.057756,0.0324594,0.0616112,0.0377591,0.0716847,0.0308907,0.0157374,0.0105552,0.0490645,0.00277454,0.0451565,0.044591,0.0659205,0.0160035,0.0405644,0.057783,0.0945659,0.00623719,0.0434612,0.0595552,0.0555883,0.0276386,0.472643,0.291975,0.447574,0.333185,0.4775,0.663102,0.485987,0.647606,0.0498572,0.0449233,0.0664383,0.0192092
-3035.95,0.800385,0.236423,4,15,0,3115.01,16.8359,3.47551,4.48646,7.22001,2.61728,4.76999,5.3468,7.34432,20.3096,4.56248,19.4358,4.00741,3.12333,3.9091,1.96199,4.23228,3.74864,3.30066,2.20611,6.15707,4.16063,5.49057,4.56131,2.18689,1.15057,0.497188,10.4381,1.67544,6.39935,3.35227,2.28873,1.32169,5.36731,2.48728,3.85445,12.2357,8.23282,10.5109,29.4954,14.0462,11.4203,9.99309,4.55663,3.99271,2.10869,6.67712,3.32236,5.03954,4.06747,9.58189,5.58052,43.9486,3.42527,2.01327,2.41193,2.57905,1.29454,1.55251,10.6795,4.50673,2.16828,6.31923,3.83233,0.868467,1.00111,1.62199,1.17861,0.874596,1.67806,0.358665,3.02385,1.38056,2.45662,1.27404,1.05777,0.827557,2.61663,0.811216,0.897449,0.777138,1.26824,0.376563,0.958181,0.55186,0.489354,1.23368,1.80097,0.585,0.327723,1.63602,5.94092,0.595439,1.21904,1.53425,1.93929,0.710475,0.57775,0.314727,0.64355,0.292877,0.381011,0.233225,0.221949,0.275425,0.494138,0.375855,0.664554,0.338367,0.434505,0.237322,0.479903,0.269675,0.406441,0.248005,0.356958,0.209756,0.585738,0.463723,0.553044,0.457865,0.389284,0.212188,0.421555,0.30986,0.626386,0.298076,0.386456,0.339221,0.357377,0.663393,0.31815,0.690337,0.575418,0.724369,0.744203,0.664947,0.420776,0.605539,0.287196,0.628287,0.505922,0.748477,0.423776,0.712003,0.589835,0.72933,0.611914,0.785549,0.365319,0.488513,0.350992,0.520062,0.550076,0.725833,0.456517,0.665524,0.33428,0.689633,0.504811,0.602729,0.0648723,0.0218797,0.0383003,0.0167854,0.0435704,0.0424058,0.0338478,0.0596282,0.0850858,0.0186062,0.0482496,0.0333454,0.0595734,0.0142012,0.0963205,0.0183228,0.00372384,0.0226655,0.0311283,0.00469421,0.0489426,0.0477641,0.0959637,0.0220733,0.0606399,0.0619789,0.121928,0.0246169,0.0393343,0.0122911,0.108733,0.0580497,0.486907,0.29789,0.465996,0.311631,0.462375,0.671886,0.462195,0.65868,0.0507178,0.0302241,0.0718089,0.0296895
-3036.86,0.610609,0.236423,4,15,0,3126.93,1.02297,1.19798,4.51848,1.29584,3.30498,4.18144,4.98862,5.74541,29.9172,13.4689,2.07701,5.04305,4.96973,2.45635,15.064,2.72155,3.39084,3.3905,4.24888,3.42919,4.43698,1.09189,10.9436,6.1021,0.926014,0.845273,7.02498,6.8119,4.56277,4.52059,8.1905,2.23187,3.36773,18.2945,3.18189,2.68436,3.29431,12.296,5.93094,16.7808,9.97637,21.4312,4.26117,15.1555,9.84444,4.83144,3.96318,10.2184,5.23165,4.2167,3.23424,3.53125,1.19766,2.05745,4.86719,3.5456,2.92975,4.11119,12.9843,6.96828,6.62726,10.6126,8.09706,8.94574,1.21408,1.19741,0.920148,0.624236,1.88488,1.40593,0.739552,2.15197,10.563,0.82344,2.01898,0.457041,0.563389,0.657217,0.402706,1.15973,0.669758,0.921114,0.533458,0.87285,1.03607,0.930464,2.75081,1.04477,1.29782,0.663722,1.48116,1.16732,1.83998,1.49879,0.87391,2.19572,0.540272,0.272457,0.515171,0.239139,0.314913,0.240355,0.220769,0.246993,0.602536,0.313949,0.539373,0.330455,0.437941,0.326403,0.568843,0.365338,0.39008,0.288418,0.33184,0.244384,0.659438,0.439926,0.590547,0.443409,0.350908,0.254877,0.355965,0.395573,0.513944,0.277696,0.44875,0.345488,0.411726,0.681425,0.43322,0.754038,0.625874,0.751637,0.760234,0.727728,0.297681,0.619138,0.425992,0.641123,0.516783,0.653033,0.343903,0.627133,0.593959,0.681973,0.586108,0.740704,0.274858,0.502613,0.354945,0.544837,0.565898,0.680512,0.59385,0.597271,0.454505,0.65837,0.50231,0.598952,0.0480023,0.0461172,0.0516096,0.00682298,0.0592137,0.00800857,0.0189973,0.0252786,0.0997827,0.0669129,0.0346354,0.0284222,0.0452765,0.0205643,0.0872537,0.00752929,0.0159613,0.0296092,0.0820518,0.0149116,0.0657039,0.0574611,0.0545087,0.0117542,0.0831943,0.0646104,0.0501844,0.00715595,0.0315516,0.0639341,0.0489401,0.0555603,0.476254,0.30176,0.446407,0.326348,0.46766,0.653588,0.50007,0.653973,0.0560858,0.0446522,0.0535226,0.0196794
