# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:45:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b676e7125.json
# init = 2 (Default)
# random
#   seed = 1777704058
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221945-4-78565f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221945-4-bafd99.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.24979
# Diagonal elements of inverse mass matrix:
# 0.530557, 0.553858, 0.356234, 0.527862, 0.506113, 0.395207, 0.475127, 0.626032, 0.432782, 0.693119, 0.467647, 0.409395, 0.553706, 0.530707, 0.364446, 0.545572, 0.556435, 0.429561, 0.518382, 0.542335, 0.394649, 0.59765, 0.571531, 0.309244, 0.562523, 0.461332, 0.362367, 0.508343, 0.711628, 0.384353, 0.476702, 0.705506, 0.325517, 0.60414, 0.561618, 0.447485, 0.500296, 0.506642, 0.324301, 0.506332, 0.562387, 0.475745, 0.471588, 0.448787, 0.375109, 0.551736, 0.604905, 0.432278, 0.517933, 0.591299, 0.420421, 0.527323, 0.650392, 0.323501, 0.487228, 0.612691, 0.337894, 0.568736, 0.612892, 0.374631, 0.489643, 0.556214, 0.358049, 0.570426, 0.622041, 0.402276, 0.537343, 0.663073, 0.316465, 0.598269, 0.682921, 0.357861, 0.547459, 0.595923, 0.401766, 0.553877, 0.710476, 0.358404, 0.518791, 0.638429, 0.39083, 0.626725, 0.707908, 0.350434, 0.538918, 0.54153, 0.339079, 0.50985, 0.613094, 0.349416, 0.494106, 0.546243, 0.383359, 0.47812, 0.553706, 0.365553, 0.0315911, 0.251681, 0.0376679, 0.492665, 0.048047, 0.165748, 0.0353094, 0.282788, 0.033754, 0.179196, 0.0372038, 0.197865, 0.033343, 0.200799, 0.0337548, 0.326105, 0.0391597, 0.182184, 0.0358443, 0.155362, 0.0509453, 0.330112, 0.0371825, 0.205056, 0.0335856, 0.196051, 0.0320115, 0.121823, 0.0393759, 0.121019, 0.0397724, 0.176987, 0.0408242, 0.50329, 0.0389759, 0.455165, 0.0519317, 0.260239, 0.0323784, 0.22409, 0.0368253, 0.184238, 0.0505362, 0.269273, 0.0479398, 0.29646, 0.0410145, 0.320313, 0.036348, 0.714872, 0.039477, 0.829174, 0.0602268, 0.337515, 0.028133, 0.984376, 0.0361661, 0.34737, 0.0397504, 0.937011, 0.0381259, 0.517777, 0.0400353, 0.200514
-3021.11,0.976348,0.24979,4,15,0,3121.79,2.00915,2.83888,5.0881,4.14637,2.91682,1.65253,4.41203,1.5957,2.01183,8.14588,3.23826,4.95724,2.75751,3.21109,14.9137,5.72614,6.33141,3.85622,9.31439,4.84534,6.79532,4.34496,7.83277,7.03575,4.14898,1.87587,5.93534,0.759043,2.53776,0.790905,2.84232,4.09337,3.35118,1.47968,4.69203,11.7352,6.02084,6.7224,16.0679,4.33808,2.68765,3.97195,4.82902,2.78509,4.04629,8.61533,5.52521,1.62669,6.85715,6.52698,15.7786,18.6696,2.61468,11.6046,1.48245,6.02334,1.54899,4.53086,10.0095,5.79245,2.85504,3.96701,2.66351,7.85863,0.706788,1.01467,0.943585,0.650265,1.5014,0.728023,2.289,0.616425,1.77731,1.18547,3.30337,0.494959,0.869834,0.890911,2.66972,1.1754,0.789731,0.988031,1.57506,0.553699,0.512762,0.823164,1.99306,2.00706,0.541634,1.1109,0.809017,0.406178,0.671576,0.859059,1.08566,1.37076,0.50636,0.327526,0.615685,0.341004,0.349108,0.171551,0.191162,0.195295,0.532277,0.35275,0.474625,0.415526,0.456715,0.273284,0.514431,0.339771,0.447948,0.212575,0.371905,0.270257,0.665651,0.439084,0.549357,0.463114,0.39197,0.217676,0.438269,0.372253,0.502109,0.317272,0.43617,0.381391,0.446531,0.638715,0.351995,0.637028,0.567997,0.795534,0.768105,0.775314,0.383198,0.609125,0.438874,0.561995,0.512847,0.679604,0.377145,0.641819,0.520397,0.780312,0.579595,0.725508,0.21905,0.508821,0.389867,0.51882,0.593071,0.726066,0.485179,0.622306,0.474376,0.631675,0.492376,0.587454,0.0471092,0.0337589,0.0323199,0.021968,0.0828953,0.0329154,0.0407324,0.0293908,0.0845242,0.038125,0.0865009,0.0224794,0.0304373,0.0471122,0.108424,0.0184107,0.0316546,0.00711284,0.0484999,0.0042349,0.115299,0.0520944,0.0607768,0.0180655,0.0149593,0.0562577,0.076552,0.00544184,0.0235146,0.0510537,0.0714536,0.0311545,0.481517,0.288965,0.448951,0.347326,0.464683,0.671232,0.485392,0.63378,0.0537992,0.0398038,0.0656574,0.0188932
-3029.11,0.972295,0.24979,4,15,0,3086.95,2.7411,1.83143,3.62413,4.893,2.29251,3.63397,3.2676,1.51506,6.36082,0.905154,9.73133,2.53445,7.38345,2.49143,5.1843,0.830978,4.73487,1.88786,7.0816,1.0211,1.70101,4.39814,8.83905,3.01475,1.89601,3.93898,1.89851,1.39162,8.18586,3.7892,3.18513,0.964711,0.932804,6.79513,2.65075,14.677,4.8649,10.9839,5.49823,7.20944,2.7671,4.34951,10.3328,6.55556,6.68508,14.9339,8.12867,5.70135,9.03476,9.44601,11.2356,2.1523,1.48133,1.85018,6.14984,3.11816,8.35361,4.37753,1.05314,0.57855,5.01614,1.84631,3.53129,1.3004,0.881568,0.793099,1.26539,1.82702,0.7998,1.38616,1.01064,1.34507,0.71288,1.12847,0.887615,1.52451,3.03017,2.20113,1.32463,0.874955,1.57035,0.788357,1.54259,1.29707,0.870839,2.28694,2.48394,0.442802,1.23188,0.470536,1.12748,0.973836,1.19032,0.593189,0.955851,0.775429,0.592267,0.39156,0.542949,0.282114,0.23373,0.20043,0.320098,0.167277,0.580123,0.40429,0.524733,0.360642,0.502781,0.21025,0.414468,0.330682,0.354314,0.333973,0.363591,0.215026,0.6614,0.372299,0.587809,0.426115,0.437251,0.292441,0.34781,0.329823,0.601551,0.354438,0.474408,0.274792,0.377629,0.590649,0.377922,0.706938,0.710507,0.781455,0.6445,0.809945,0.38595,0.535254,0.434943,0.59725,0.385832,0.760258,0.468818,0.623963,0.627278,0.629384,0.600739,0.72804,0.331578,0.588142,0.328961,0.553596,0.534069,0.682204,0.581506,0.644238,0.370078,0.626572,0.48422,0.628843,0.0301032,0.0177906,0.0791287,0.0109483,0.0557627,0.018115,0.0354027,0.0227774,0.0339263,0.0604568,0.0403234,0.0421074,0.111387,0.0294924,0.116714,0.0453545,0.0184078,0.0366427,0.0356704,0.0569344,0.00702178,0.0395584,0.0832298,0.0202889,0.0286797,0.025355,0.0706843,0.0259394,0.0283707,0.0189902,0.0413725,0.096365,0.495427,0.31996,0.446983,0.298309,0.465365,0.64924,0.490201,0.661602,0.0392073,0.0308001,0.0628157,0.0400894
-3022.91,0.875825,0.24979,4,15,0,3099.54,4.05211,3.93305,12.9207,1.96533,6.58015,5.07274,2.60437,5.09479,1.90633,2.84064,3.10774,9.20057,0.653017,0.818108,9.34732,3.69389,5.22713,3.3461,2.45216,11.6735,10.838,1.66301,5.3019,4.50452,2.07448,4.18661,7.76561,7.00434,5.88246,2.61172,4.29352,15.8591,3.74741,12.4621,6.079,1.20063,9.72491,18.5982,4.30356,10.2982,4.55874,7.62433,1.09924,7.32827,2.92421,4.13575,7.85285,7.1894,2.23328,21.7051,4.16509,19.7318,4.17013,4.12992,2.91125,7.67356,6.25963,8.31827,6.84738,15.1091,4.3503,5.44362,4.0335,18.5009,0.85481,1.061,0.837582,0.230171,2.15902,2.36938,0.6841,1.16336,1.9609,1.38516,1.55537,1.15551,0.414845,0.524565,1.82066,0.285395,1.24245,0.843075,2.08597,0.357293,1.77775,0.349796,1.23367,0.901106,1.04978,3.13855,1.72784,0.788826,1.66223,2.09432,1.67699,2.45642,0.445358,0.311614,0.682472,0.34855,0.330005,0.211548,0.189358,0.253976,0.511514,0.302297,0.542767,0.394587,0.480612,0.286477,0.502304,0.316932,0.455782,0.237483,0.307706,0.296792,0.676423,0.491717,0.612818,0.506715,0.387283,0.222073,0.457052,0.336149,0.511318,0.312502,0.39451,0.403818,0.528863,0.66046,0.266545,0.642494,0.605504,0.733405,0.772511,0.704477,0.392787,0.66357,0.388166,0.576486,0.504132,0.683364,0.39283,0.666866,0.527295,0.729307,0.603804,0.699369,0.223011,0.470192,0.348163,0.480394,0.536216,0.709728,0.465007,0.661663,0.47113,0.637662,0.500799,0.580227,0.0257798,0.0279259,0.0509832,0.00895603,0.064491,0.0550473,0.0381306,0.0415462,0.0956995,0.0341333,0.069067,0.0289263,0.015256,0.0301596,0.104866,0.0162012,0.0169235,0.0332092,0.0884899,0.00383838,0.100566,0.0380909,0.0390199,0.0128907,0.0765003,0.0681999,0.0779413,0.00218786,0.0175524,0.0498356,0.104691,0.0159557,0.474787,0.296964,0.461123,0.35719,0.473617,0.660961,0.467228,0.626497,0.051596,0.0420752,0.0716486,0.0163128
-3029.64,0.738972,0.24979,4,15,0,3104.14,2.01198,2.22405,12.1573,3.11154,2.98054,4.69643,1.4952,4.84578,14.5978,2.22715,1.80251,2.26237,2.4839,1.54007,8.46413,4.65398,2.54505,2.85092,3.85758,0.655405,5.13017,3.96309,2.82667,4.50242,4.60577,1.18016,5.00738,3.40192,21.1296,3.42517,11.7134,2.40973,2.06093,2.50283,4.92217,9.41329,5.8453,11.1885,4.41906,18.7928,2.32464,3.01633,3.03245,8.0128,1.86322,3.22185,3.612,4.67105,9.10115,6.59734,7.84328,1.94849,2.34106,2.40684,1.36954,4.1297,9.04292,3.64198,8.14531,3.73617,11.3616,8.75213,3.67375,3.61074,0.334566,1.19889,3.66345,1.86964,1.73388,1.36763,0.855293,2.92592,1.23738,0.805219,0.719964,1.47724,0.872169,0.687942,4.66752,0.587238,1.14465,0.358442,0.637267,1.22487,1.33986,2.06277,0.653686,2.15252,4.16797,0.405391,1.69524,1.36025,1.35362,1.633,2.01035,1.10468,0.558186,0.344751,0.562829,0.339853,0.254417,0.192367,0.337733,0.186508,0.657825,0.319718,0.532797,0.364348,0.426594,0.196714,0.435118,0.335298,0.366463,0.347975,0.345016,0.250066,0.644625,0.377184,0.659852,0.439707,0.434849,0.268277,0.3991,0.331292,0.606269,0.256338,0.505414,0.260007,0.424148,0.612854,0.380478,0.645065,0.670976,0.783953,0.644431,0.776825,0.30476,0.655461,0.432513,0.595058,0.547093,0.762118,0.429243,0.640163,0.584997,0.637387,0.62459,0.7105,0.326903,0.594201,0.266942,0.51318,0.4975,0.702463,0.526416,0.60531,0.350125,0.693611,0.443119,0.606592,0.0176655,0.042395,0.0566936,0.015081,0.074607,0.0236803,0.017836,0.036667,0.0374144,0.0248218,0.0346906,0.0405938,0.0263133,0.0411682,0.135639,0.0245398,0.0485394,0.0146374,0.0303933,0.0394343,0.0284722,0.0286146,0.0732054,0.0471133,0.0676504,0.0292598,0.0744838,0.0633989,0.0436063,0.0500511,0.0514672,0.133401,0.493654,0.287916,0.472232,0.313385,0.463313,0.680256,0.468466,0.636586,0.0430336,0.0318285,0.0593011,0.0500287
-3034.8,0.933413,0.24979,4,15,0,3105.3,8.84336,6.92406,4.88643,2.4086,4.25613,3.67266,2.57292,1.46351,2.06197,6.46406,10.0236,2.30688,9.20762,5.16571,6.60039,2.49712,1.1181,2.98195,6.2225,6.64958,12.1709,6.44087,18.7889,5.61683,1.81908,5.97348,1.78657,3.25214,5.03224,5.45305,3.25744,3.87957,7.8965,7.60532,1.57236,1.73318,5.98534,14.2069,11.6939,6.17061,1.20178,6.88865,7.76884,2.94222,2.28427,7.69365,1.74368,4.10515,1.13774,17.9544,9.60214,23.0712,3.91788,1.82485,14.5084,5.21819,5.26079,23.384,3.33479,6.0396,5.64929,6.19078,1.71089,6.85643,3.6226,1.20311,0.351672,0.492663,0.954473,1.73226,0.899648,0.546571,1.5176,3.18909,1.36025,0.406477,1.96334,1.84199,0.496777,1.32974,0.328472,1.53094,3.70713,0.513028,1.11367,0.835258,1.13655,0.296805,0.27199,1.74281,0.362459,0.296399,0.464643,1.0434,0.809039,0.516458,0.488521,0.325395,0.633893,0.297132,0.310463,0.21941,0.189144,0.232048,0.422551,0.355998,0.542771,0.406027,0.524722,0.269897,0.524811,0.29292,0.431104,0.227679,0.319263,0.257464,0.691629,0.475056,0.524864,0.491786,0.372839,0.264334,0.41888,0.327104,0.505696,0.399796,0.379343,0.425788,0.427388,0.665678,0.300352,0.697254,0.639459,0.726923,0.769937,0.732019,0.508116,0.598489,0.373634,0.56559,0.405075,0.714479,0.3914,0.694186,0.554655,0.760398,0.585714,0.73903,0.223963,0.4876,0.421966,0.505176,0.59284,0.685767,0.477291,0.669917,0.457407,0.589145,0.517463,0.558727,0.0840908,0.00892691,0.0657546,0.0056144,0.0500777,0.0536676,0.0409184,0.0359334,0.0693329,0.0455133,0.0835946,0.0283823,0.0702035,0.0156244,0.0837895,0.0128944,0.0142413,0.0119229,0.0950234,0.00350607,0.0844073,0.0373442,0.0531704,0.00303711,0.034321,0.0498988,0.10383,0.00297871,0.0368967,0.011059,0.103194,0.0154845,0.468441,0.317196,0.441621,0.341284,0.476113,0.65356,0.47972,0.645237,0.0554464,0.0292446,0.0786593,0.0134789
-3049.73,0.582957,0.24979,4,15,0,3127.84,6.07922,6.07194,3.9078,2.77394,5.1368,10.751,4.05821,1.96741,1.63993,3.54288,4.62112,5.44929,4.15175,5.59263,3.36392,3.18281,1.31453,2.48786,5.16184,2.06638,5.27043,3.88259,23.2116,6.62693,2.39099,6.80046,2.93406,3.0367,8.12623,4.30037,2.75171,7.25206,4.14762,11.6656,2.50941,7.40805,13.0168,27.5558,14.1651,2.22291,0.968686,12.3728,4.57931,3.31107,8.65232,12.3012,4.44482,23.9713,4.027,12.3744,2.19959,9.21723,2.53235,1.83546,11.6521,2.91053,3.59967,7.36232,3.02934,3.38014,4.1433,12.4867,1.93798,2.20425,2.47251,1.46865,0.640347,1.67316,1.7289,2.8543,1.28314,0.555718,2.4921,1.85162,2.31892,0.190615,1.45975,0.852662,0.242537,1.72975,0.38567,1.36492,1.70976,0.611354,1.11841,0.660834,1.87289,0.193514,0.220261,0.911736,0.514412,0.136617,0.311881,1.18766,1.05005,0.286607,0.508734,0.356647,0.652058,0.288422,0.346746,0.201266,0.202165,0.204907,0.454252,0.296516,0.533375,0.479688,0.467113,0.203931,0.471658,0.3418,0.387601,0.268173,0.332941,0.223482,0.617124,0.399723,0.581719,0.519752,0.399177,0.3083,0.447877,0.379507,0.455227,0.328657,0.39796,0.336814,0.432234,0.636808,0.265437,0.708002,0.608204,0.754901,0.780625,0.758583,0.479908,0.647573,0.372755,0.490293,0.4508,0.730762,0.426001,0.632401,0.604459,0.721922,0.603095,0.775157,0.273136,0.54972,0.389135,0.476399,0.537994,0.655523,0.480638,0.615516,0.500752,0.649538,0.525876,0.622209,0.0590325,0.00654475,0.0825047,0.00357584,0.0450494,0.0438326,0.0172092,0.0365107,0.0658405,0.0559113,0.09387,0.0300189,0.0820876,0.0653065,0.102341,0.0257989,0.00793934,0.00990451,0.0639635,0.00136149,0.10974,0.0505571,0.0291463,0.00384916,0.0628292,0.0361768,0.071485,0.00497668,0.0440213,0.0218051,0.0761643,0.0409771,0.454497,0.295402,0.452469,0.346796,0.485936,0.668344,0.480445,0.63482,0.0595675,0.0362548,0.0670855,0.0183836
