# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:47:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b33a4df92.json
# init = 2 (Default)
# random
#   seed = 1920491089
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221947-1-bc869a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221947-1-c56c5d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.261631
# Diagonal elements of inverse mass matrix:
# 0.570791, 0.563247, 0.362625, 0.5476, 0.557959, 0.392151, 0.59558, 0.634372, 0.384491, 0.584957, 0.488766, 0.413527, 0.546357, 0.533692, 0.373996, 0.50495, 0.640869, 0.341514, 0.595885, 0.543005, 0.345284, 0.605433, 0.517877, 0.345598, 0.546243, 0.468056, 0.370228, 0.513026, 0.544879, 0.366016, 0.552736, 0.64193, 0.407733, 0.566875, 0.520361, 0.368128, 0.59641, 0.504866, 0.377482, 0.565856, 0.558453, 0.403816, 0.529272, 0.615014, 0.42614, 0.491423, 0.504408, 0.381196, 0.470116, 0.561162, 0.421832, 0.482223, 0.642687, 0.392508, 0.535713, 0.669981, 0.312358, 0.529069, 0.494406, 0.407553, 0.476368, 0.568376, 0.341951, 0.528079, 0.629284, 0.349835, 0.513741, 0.587823, 0.414082, 0.557859, 0.645189, 0.397751, 0.476192, 0.625855, 0.384353, 0.563471, 0.664612, 0.351984, 0.479511, 0.731578, 0.37978, 0.583427, 0.624339, 0.335633, 0.553307, 0.646717, 0.366097, 0.545298, 0.655767, 0.33898, 0.585178, 0.683635, 0.370752, 0.603852, 0.702409, 0.376364, 0.0329514, 0.229776, 0.0362035, 0.525464, 0.0349871, 0.147579, 0.0317343, 0.265681, 0.0302682, 0.192192, 0.0314165, 0.196453, 0.0400333, 0.201932, 0.0280285, 0.306172, 0.03646, 0.159264, 0.0334102, 0.16191, 0.0400971, 0.286968, 0.0340728, 0.190729, 0.0354681, 0.171775, 0.0340046, 0.13994, 0.0349498, 0.0976228, 0.0380248, 0.14979, 0.0365382, 0.543882, 0.0338726, 0.463847, 0.0491428, 0.281446, 0.0389806, 0.250565, 0.0436563, 0.200485, 0.0449838, 0.207876, 0.0450271, 0.314864, 0.0404518, 0.350988, 0.0381493, 1.10783, 0.0401967, 0.769399, 0.0642593, 0.348674, 0.0312748, 0.868854, 0.0370904, 0.302629, 0.0307719, 0.781171, 0.0463593, 0.483948, 0.0315048, 0.179097
-3057.33,0.837108,0.261631,4,15,0,3133.22,2.21175,1.00015,3.26361,6.67627,1.4079,0.777218,2.29448,4.17174,1.75531,5.43872,1.92544,9.16774,7.54344,2.73004,4.02188,6.4827,8.71467,1.57279,15.6418,1.36213,2.2382,12.3271,15.0351,2.73646,7.67059,1.17705,2.14989,3.64855,2.60094,1.27407,3.79312,2.09515,6.55812,1.54768,3.9522,8.51523,5.50858,2.48293,8.42803,7.24091,1.18936,11.2429,3.28187,9.18082,1.60822,8.99851,18.3783,7.89567,16.1658,3.29383,30.3777,4.70519,3.14818,6.29063,7.13507,4.92602,5.93739,9.42926,0.618781,2.4446,2.35803,1.46913,4.01244,2.87608,0.831656,0.996471,0.44106,0.428685,1.16124,0.792475,0.879487,1.49418,0.873186,1.22686,1.47196,1.01532,2.42645,1.89344,0.875613,1.54832,0.465407,0.188101,5.48306,0.191381,1.57912,2.03028,0.994756,1.15995,1.74379,0.525774,1.50836,0.815743,0.500767,2.22227,4.50146,0.469779,0.525904,0.357523,0.715519,0.262084,0.21057,0.248475,0.253198,0.218393,0.542943,0.291433,0.566368,0.345422,0.528411,0.222096,0.436415,0.426223,0.397808,0.263144,0.348494,0.303138,0.664792,0.556283,0.591002,0.488929,0.385941,0.311,0.357967,0.285222,0.537891,0.269837,0.449949,0.372279,0.454623,0.620552,0.250223,0.71244,0.723203,0.694659,0.720418,0.744377,0.404766,0.664027,0.392431,0.565418,0.421824,0.724482,0.475489,0.556185,0.595664,0.729521,0.578387,0.69422,0.27871,0.355846,0.358438,0.478399,0.566932,0.665758,0.556667,0.688072,0.442274,0.616886,0.504145,0.531629,0.0194723,0.0219252,0.0342573,0.0254761,0.0662267,0.0568659,0.0263839,0.0372297,0.052291,0.0445396,0.0412005,0.0891596,0.0497641,0.0534221,0.088096,0.0175923,0.00652841,0.00733574,0.0731194,0.00264223,0.0564976,0.0878702,0.0505601,0.0326719,0.0471267,0.0232424,0.0853659,0.026706,0.0198352,0.113277,0.0459059,0.0960922,0.474283,0.314974,0.464864,0.337711,0.486,0.633966,0.479525,0.621343,0.0397177,0.0510598,0.0556111,0.0409463
-3047.17,0.985952,0.261631,4,15,0,3148.55,1.85884,3.25897,3.77471,7.98441,1.46047,0.833691,1.3058,2.93575,3.32886,6.15795,1.19193,5.16898,3.3188,2.39867,2.93327,3.28703,9.13424,0.987831,27.0569,2.48103,1.36145,7.21862,11.0016,3.35888,10.2086,2.1177,1.72067,3.69245,2.35453,1.10552,2.65931,1.77951,3.17815,2.19704,4.91286,26.3425,16.4583,2.82939,8.73309,15.8509,5.0167,7.14463,1.99323,15.1985,5.96571,5.64508,2.40743,3.66399,10.9891,3.15173,34.7188,3.18704,5.64649,9.60957,7.86658,4.62259,4.93696,3.87468,0.492999,14.1027,3.07137,2.68265,4.66841,1.04406,1.14712,1.58602,0.37209,0.318115,0.70347,1.04915,1.19136,1.40076,0.625908,1.5103,0.863998,0.923073,1.77994,0.929193,0.768635,0.899556,0.386805,0.36626,3.5332,0.331796,3.25333,1.59493,1.17178,1.65164,1.18602,0.5008,0.981268,0.360711,0.340815,2.27918,1.93713,0.448245,0.473134,0.388056,0.638698,0.281219,0.205434,0.239268,0.276078,0.228334,0.546052,0.334434,0.467363,0.368555,0.499036,0.19927,0.425963,0.338532,0.428167,0.259996,0.363957,0.30041,0.672306,0.553933,0.611789,0.447724,0.3443,0.29148,0.354177,0.296243,0.537938,0.275691,0.493891,0.41225,0.483941,0.599612,0.309265,0.704306,0.747161,0.688446,0.644564,0.733295,0.399777,0.613364,0.483378,0.59671,0.464157,0.77173,0.460931,0.642329,0.560451,0.724849,0.555189,0.697514,0.238417,0.401551,0.299725,0.543072,0.596789,0.665259,0.549851,0.694132,0.43804,0.682761,0.449145,0.503501,0.042925,0.0123321,0.0520369,0.0144746,0.0474041,0.0722865,0.079358,0.0383703,0.054171,0.0522025,0.049259,0.0347348,0.0368068,0.0289995,0.113106,0.0191396,0.0113813,0.0151553,0.0808539,0.00207602,0.0892768,0.0445159,0.0884857,0.00920378,0.0589115,0.0432601,0.0959722,0.00962509,0.0240225,0.0415478,0.0569643,0.0842482,0.463296,0.317766,0.453989,0.334158,0.491092,0.643446,0.469006,0.639357,0.0456124,0.0387875,0.0770045,0.026484
-3052.73,0.94306,0.261631,4,15,0,3144.24,6.67722,7.82688,5.6731,6.68757,2.1469,3.19803,6.37447,2.05025,10.4987,2.06785,14.6197,1.41083,2.3652,1.00693,13.3098,7.62291,5.26331,9.96032,1.56921,1.93411,6.24298,1.89651,1.67236,4.10969,2.05785,2.67028,3.17289,0.74135,7.33329,4.55143,2.37495,10.1617,8.73793,14.1364,2.79008,9.07462,2.35672,11.442,18.2563,8.23561,12.2449,1.70755,5.21899,4.41577,3.24816,11.1914,7.65361,10.855,7.68576,14.4121,5.35467,6.44992,0.888882,7.12804,0.760282,0.74697,0.822262,10.8192,14.4686,0.29245,2.08572,4.41559,1.11169,11.6766,0.750531,0.880523,1.9105,1.07023,2.8657,0.566004,0.357141,0.994165,2.6965,0.69254,1.30223,2.01537,0.618513,1.74093,5.34571,2.06283,1.24273,2.18046,0.539682,0.77213,0.383012,0.536571,0.506485,0.29248,0.724246,1.58759,1.31445,0.529175,1.51464,0.254908,0.412139,1.89975,0.567324,0.310212,0.592754,0.360413,0.376472,0.180857,0.206373,0.191193,0.554109,0.346685,0.61873,0.393622,0.479972,0.264013,0.502252,0.279938,0.391648,0.318687,0.316571,0.243607,0.664103,0.333442,0.589244,0.433649,0.455659,0.235785,0.443961,0.405044,0.535962,0.397333,0.390482,0.293311,0.415412,0.665766,0.356765,0.575718,0.54897,0.808895,0.770759,0.77438,0.360359,0.611398,0.330601,0.576656,0.460856,0.696696,0.39876,0.693788,0.593496,0.646482,0.64869,0.698424,0.312209,0.646841,0.37551,0.540754,0.518271,0.727331,0.469243,0.585926,0.447174,0.586419,0.536309,0.690916,0.0172643,0.0240221,0.0504808,0.0638689,0.0745578,0.0102473,0.0228687,0.0344267,0.0855315,0.0419171,0.0506684,0.0297221,0.0591719,0.0392911,0.0989875,0.0262736,0.0148562,0.0348309,0.0347396,0.0579684,0.023688,0.0197169,0.0352467,0.0255969,0.0260707,0.0368837,0.0867962,0.00903036,0.0168635,0.0162484,0.0732093,0.015773,0.503156,0.298377,0.457546,0.325097,0.457093,0.673728,0.485829,0.64207,0.0397505,0.0278947,0.0566246,0.0328325
-3050.82,0.889804,0.261631,4,15,0,3145.96,4.5088,2.19204,3.34286,3.67279,0.894332,0.947726,5.73463,1.71076,1.37834,3.44519,3.00759,4.49009,7.38541,1.40812,1.44853,3.74812,3.43706,1.5737,5.40549,8.74433,9.98361,11.8297,11.9028,7.22225,3.09601,2.56633,0.353041,17.208,2.61521,2.79277,6.4176,2.64409,4.29112,2.35893,2.48658,16.2105,5.7699,7.92524,13.4827,9.40322,0.692468,15.7969,2.81477,13.2776,7.76996,10.6912,2.42356,8.58921,3.48214,1.83703,4.4431,11.8159,3.30429,13.361,10.7968,1.77821,8.64234,7.11924,1.31982,12.2129,1.31374,6.04666,2.55267,0.951099,2.30935,1.29282,0.617545,0.171914,0.666386,3.32734,1.63917,1.28665,0.302011,1.90499,1.52982,0.796838,2.43226,1.38394,2.28894,0.521002,0.588856,0.531657,1.74463,0.679209,3.6668,1.74354,2.09678,1.40796,1.31949,0.808217,1.0773,1.34339,0.442852,3.57113,2.87062,0.644798,0.480155,0.383642,0.633799,0.280086,0.219231,0.217471,0.302418,0.207289,0.543537,0.327787,0.441308,0.379022,0.495054,0.223373,0.465245,0.362175,0.415585,0.261784,0.321282,0.267121,0.672234,0.54346,0.605159,0.483154,0.351011,0.28207,0.400686,0.27617,0.567857,0.277134,0.457341,0.333744,0.460668,0.595505,0.297284,0.702282,0.749901,0.720913,0.621522,0.766545,0.413063,0.603608,0.50953,0.599133,0.463034,0.759566,0.453592,0.623481,0.543707,0.728061,0.62757,0.73261,0.258949,0.418735,0.302335,0.514563,0.568441,0.672783,0.51538,0.705192,0.385069,0.670243,0.480383,0.548313,0.0591771,0.0208526,0.0689175,0.017632,0.0308687,0.0616158,0.0760602,0.0261655,0.0433998,0.0686047,0.0491618,0.0218442,0.0419128,0.0170602,0.0811629,0.0143444,0.0407084,0.0101549,0.0511477,0.000268199,0.0688165,0.0378051,0.0925061,0.00228368,0.0805483,0.0451471,0.0839337,0.0186374,0.0470742,0.0526225,0.0622765,0.117943,0.468083,0.31459,0.453405,0.323595,0.480354,0.646177,0.47595,0.649015,0.0515632,0.0392329,0.0706458,0.0273897
-3064.74,0.91739,0.261631,4,15,0,3158.86,3.3479,1.99042,17.42,2.1166,2.95807,5.41552,0.585949,6.95947,6.69769,2.74438,6.25805,1.50496,6.32709,1.8501,6.65393,1.74529,3.8558,3.0888,10.5996,1.56317,4.18125,0.872684,1.32311,9.37684,14.0866,5.81855,12.0309,4.10605,3.01151,4.12357,1.93152,9.52193,5.85815,2.69699,3.72965,8.85032,1.80203,10.4263,2.36729,14.6242,4.41688,8.91178,4.37062,1.59815,4.04404,6.46219,4.58128,2.09352,4.73269,5.21608,10.4894,2.36446,1.6509,4.37338,0.816715,3.68196,7.21628,31.5723,20.9631,0.94357,3.23579,6.14692,5.31288,5.04871,0.55393,0.18694,1.9566,2.33939,0.829864,0.174204,0.542173,1.02778,1.62078,1.28038,1.08196,0.853723,0.807276,0.556262,0.462143,1.37712,0.330187,0.728134,2.87559,0.171467,0.447776,1.0604,0.830595,0.322541,1.866,2.35721,2.16934,0.439144,1.62034,0.0749936,0.51209,1.00589,0.594659,0.339123,0.605698,0.333886,0.343973,0.207885,0.226562,0.206151,0.554855,0.371283,0.616156,0.422385,0.494186,0.239612,0.476117,0.268703,0.436347,0.278442,0.275973,0.25142,0.666198,0.329707,0.611436,0.416992,0.451714,0.207266,0.440385,0.341304,0.549021,0.37728,0.428044,0.37145,0.376347,0.63191,0.338187,0.644949,0.635363,0.785454,0.764781,0.737068,0.37954,0.595929,0.326882,0.544666,0.433563,0.72291,0.409302,0.714347,0.560836,0.691811,0.619796,0.74714,0.30708,0.625077,0.351483,0.55259,0.528761,0.748091,0.476374,0.614376,0.430283,0.609804,0.497538,0.620206,0.0289943,0.0289665,0.0561148,0.021165,0.020664,0.00666136,0.00865664,0.0567806,0.0656045,0.0327882,0.0569618,0.0329495,0.0722505,0.0374779,0.114581,0.0169505,0.00281621,0.0297466,0.104231,0.00143992,0.0267216,0.0452159,0.0370808,0.0304178,0.0195256,0.0446427,0.0832413,0.0443198,0.0206964,0.0129161,0.0744179,0.00834408,0.511369,0.293825,0.460046,0.326536,0.456472,0.676373,0.473043,0.646918,0.0321591,0.0298019,0.0669107,0.0265459
-3056.08,0.952932,0.261631,4,15,0,3145.72,10.1437,1.60264,4.13511,24.0781,3.00456,2.30998,1.07701,4.80111,6.65647,8.60149,10.4335,1.15086,5.17034,0.576889,1.50447,4.38862,3.68207,7.67954,4.78672,1.93436,3.80345,5.70256,3.20064,2.55486,2.12014,4.4739,8.84475,1.8091,14.2136,1.2888,1.15369,3.19294,2.05614,3.86903,7.90899,26.9859,10.5189,8.37976,0.908896,15.3198,3.98334,8.23722,7.12096,2.76106,7.46058,4.64533,0.800904,18.7249,4.08763,18.3033,17.0106,7.34482,3.05956,8.17174,0.591419,9.36043,7.85774,9.92377,5.59348,9.64936,11.6754,2.61069,0.796038,22.9462,0.951515,0.177906,1.96702,1.61791,2.04738,0.276225,0.825452,0.374264,2.4782,1.36783,1.65926,1.38421,0.778704,0.345628,2.71038,0.849613,0.520299,1.03269,2.1806,0.276427,0.50234,1.36608,0.906422,0.435356,1.48972,4.80693,1.74331,1.63777,1.70459,0.312699,1.14841,1.12329,0.56151,0.254317,0.587562,0.307723,0.336334,0.213507,0.21636,0.27026,0.556946,0.337538,0.53821,0.324075,0.482867,0.243588,0.468767,0.295323,0.447218,0.317275,0.338957,0.272299,0.625601,0.390656,0.616358,0.441698,0.442238,0.201078,0.416252,0.357665,0.438328,0.316294,0.398053,0.305416,0.430057,0.726169,0.3461,0.664843,0.60999,0.768117,0.766723,0.706113,0.354846,0.615013,0.394161,0.65713,0.462981,0.71491,0.461827,0.654553,0.551008,0.665386,0.592752,0.719507,0.326384,0.551818,0.331331,0.556483,0.526331,0.733579,0.510641,0.630743,0.541772,0.655255,0.493217,0.675493,0.00843386,0.0195147,0.0663374,0.0274344,0.0536763,0.0183763,0.0169162,0.0236278,0.0882074,0.0474496,0.0676291,0.0187943,0.0541518,0.0415015,0.0694064,0.0501232,0.00177394,0.0173388,0.0682915,0.00819384,0.0480151,0.0575266,0.0523111,0.0018188,0.0314311,0.0653428,0.073106,0.011592,0.0198997,0.0284513,0.10873,0.0190916,0.48638,0.284282,0.447565,0.321807,0.475421,0.678781,0.487094,0.658108,0.0381986,0.0369377,0.065341,0.0200845
