# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-05-22 19:47:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpADBkJ7/standata-3d678b33a4df92.json
# init = 2 (Default)
# random
#   seed = 1920491089
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202505221947-2-bc869a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202505221947-2-c56c5d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.24158
# Diagonal elements of inverse mass matrix:
# 0.500221, 0.517718, 0.391733, 0.58406, 0.513053, 0.360316, 0.501684, 0.622106, 0.437769, 0.631396, 0.479845, 0.363436, 0.513007, 0.522292, 0.381557, 0.502913, 0.567013, 0.367679, 0.577357, 0.619073, 0.35271, 0.600926, 0.518001, 0.415903, 0.506044, 0.48986, 0.436203, 0.618672, 0.588433, 0.369584, 0.474517, 0.573042, 0.370742, 0.610616, 0.569989, 0.478608, 0.483494, 0.454338, 0.364455, 0.5261, 0.558414, 0.396569, 0.51133, 0.46402, 0.392625, 0.48563, 0.494685, 0.378639, 0.60428, 0.767797, 0.370898, 0.570336, 0.712745, 0.343007, 0.402847, 0.581257, 0.354082, 0.557354, 0.561431, 0.35217, 0.525823, 0.636232, 0.416465, 0.560273, 0.577124, 0.447319, 0.577676, 0.622444, 0.404938, 0.464963, 0.608999, 0.359167, 0.627922, 0.764031, 0.369687, 0.553618, 0.744342, 0.386279, 0.506496, 0.669851, 0.407113, 0.580867, 0.635636, 0.381633, 0.496355, 0.567162, 0.353938, 0.55968, 0.56456, 0.331723, 0.605279, 0.672948, 0.408492, 0.564544, 0.616102, 0.370284, 0.0279792, 0.262723, 0.0369578, 0.534324, 0.0378307, 0.177481, 0.0376939, 0.226174, 0.0405623, 0.177506, 0.0330331, 0.221424, 0.0332852, 0.21635, 0.0327344, 0.366035, 0.042287, 0.154531, 0.0466894, 0.190472, 0.0395483, 0.375218, 0.0435228, 0.165019, 0.0317112, 0.231761, 0.0309309, 0.111049, 0.0295705, 0.10026, 0.032408, 0.147606, 0.0308444, 0.537939, 0.0465986, 0.417347, 0.0477462, 0.395078, 0.0355362, 0.20413, 0.0381402, 0.197908, 0.044809, 0.223762, 0.0423861, 0.266786, 0.0339317, 0.297138, 0.0395657, 0.912735, 0.0472633, 0.721497, 0.0530622, 0.307344, 0.0371956, 0.695154, 0.0361531, 0.300709, 0.0389333, 0.821299, 0.0419862, 0.425001, 0.037827, 0.169717
-3012.94,0.971996,0.24158,4,15,0,3096.24,4.36711,1.71602,11.2399,5.52578,11.0606,4.76061,1.79274,1.12614,2.92607,8.1838,7.59258,3.15884,4.50724,2.26085,4.41055,2.63014,1.46118,6.93169,7.39042,3.03009,12.0204,8.35433,1.58489,2.67873,4.7227,1.91424,4.74875,0.533113,9.57966,1.14195,5.13364,13.596,4.24451,3.40516,2.51693,8.64034,36.3622,13.4677,4.98918,4.46365,3.25646,6.23079,5.79803,4.49952,4.98558,7.47705,5.12629,9.07727,6.03923,6.17287,9.33277,8.9859,3.75855,3.51484,3.41623,5.30454,8.22191,1.84646,15.1867,1.06487,6.6708,3.04694,3.5517,13.7263,1.38545,0.58318,2.01449,0.839579,2.76131,1.66722,0.695671,0.300676,0.918967,0.591862,1.87248,1.20785,1.62461,1.46621,1.18373,1.39173,0.746213,2.2085,2.64399,1.49686,1.9855,0.532398,0.464444,1.0116,1.3204,0.820265,2.63005,0.626643,2.22246,0.350375,1.11412,1.88297,0.534549,0.312629,0.576577,0.324464,0.248294,0.213321,0.218365,0.238931,0.552497,0.343835,0.462963,0.322576,0.488275,0.264401,0.524341,0.276564,0.448473,0.284466,0.285121,0.212973,0.640925,0.492366,0.537476,0.461723,0.374329,0.177037,0.432967,0.357243,0.558359,0.321424,0.402405,0.441508,0.434483,0.660192,0.367021,0.665443,0.696948,0.750323,0.760998,0.726485,0.403612,0.601627,0.49672,0.636848,0.485277,0.704385,0.370922,0.684024,0.529577,0.675688,0.670917,0.77735,0.2907,0.479951,0.395016,0.520773,0.564714,0.762477,0.504979,0.616649,0.388922,0.655654,0.50326,0.519671,0.0309678,0.0271789,0.0564022,0.0100927,0.0547578,0.036356,0.0206373,0.0345837,0.043891,0.0545386,0.0403166,0.0405756,0.0264481,0.031214,0.104737,0.0394116,0.0219502,0.0398456,0.0439617,0.00967698,0.0683757,0.0276827,0.0675079,0.0175043,0.0609577,0.0604859,0.0620542,0.0261079,0.0527189,0.0229223,0.0943356,0.0388213,0.480713,0.301185,0.430027,0.329498,0.474279,0.661287,0.508729,0.643406,0.0450084,0.037528,0.0612441,0.0270968
-3023.15,0.866043,0.24158,4,15,0,3086.28,7.25947,1.54276,7.83694,5.45477,3.86864,1.72975,6.48033,2.75492,6.98038,0.571042,3.1415,4.79961,7.75747,2.91521,8.02133,1.95728,2.7374,1.13343,6.07154,1.56421,13.9648,2.21326,1.14396,10.9164,2.46158,5.94321,2.2682,9.34714,1.99845,5.35658,3.04439,2.54775,7.47496,3.30796,5.39509,7.13932,8.08543,5.91059,7.87077,3.61654,3.48938,3.16807,2.25566,8.95883,7.70093,4.93507,4.68065,2.95501,1.07908,5.72762,3.68854,4.72357,2.85089,3.87999,0.632582,15.8435,2.74688,24.2488,3.06296,12.7175,1.72663,9.95233,5.45275,9.05658,2.1939,1.39481,1.27003,0.773766,2.07199,0.921789,1.02968,1.78294,2.48561,2.04883,0.870255,1.45352,0.517028,1.57062,2.63766,0.723541,0.470912,0.316485,0.761526,0.579449,1.55147,0.800102,1.24271,1.0284,1.11047,2.64393,0.98058,0.823714,0.376492,1.01553,0.42412,1.08961,0.505004,0.330573,0.653285,0.312001,0.34529,0.19286,0.306183,0.196011,0.549253,0.335811,0.626787,0.38618,0.480489,0.18953,0.404066,0.345335,0.338857,0.315899,0.403026,0.255538,0.705281,0.389097,0.659069,0.448651,0.394869,0.285706,0.452782,0.354424,0.537681,0.269822,0.458221,0.24887,0.411234,0.640061,0.290027,0.672364,0.597905,0.77614,0.673314,0.790191,0.352021,0.60311,0.304767,0.578647,0.46152,0.752666,0.523643,0.637329,0.658114,0.679335,0.543721,0.713986,0.253782,0.552939,0.279531,0.540191,0.561605,0.664753,0.465141,0.641509,0.438706,0.676039,0.505592,0.725049,0.0837618,0.0293657,0.0566881,0.0156356,0.0568051,0.0309995,0.0205033,0.0137981,0.0987266,0.0610792,0.0684462,0.0351739,0.0579908,0.0578037,0.0722908,0.0173366,0.00302878,0.00476538,0.0532529,0.0304765,0.0409365,0.0579639,0.0613999,0.0111581,0.0435263,0.0495414,0.0820771,0.00406696,0.0236121,0.0541396,0.0361871,0.0260807,0.482091,0.288662,0.495427,0.318376,0.466861,0.66813,0.448217,0.662408,0.0510485,0.0432073,0.0563557,0.0192158
-3031.5,0.719505,0.24158,4,15,0,3108.26,6.39645,3.45825,3.74761,6.33755,2.11619,3.76131,4.31363,6.55274,3.46411,6.13494,3.32398,5.91692,3.26654,1.04443,4.68584,5.3764,1.47706,1.15605,2.85821,1.33275,23.578,9.50545,9.286,8.02779,2.14515,10.3591,3.95768,8.35421,5.87824,7.29979,2.22804,11.3547,2.78922,2.42335,1.67099,10.4459,2.18391,7.56425,22.2929,32.4921,6.4025,8.50319,0.741859,11.7221,1.95951,5.97097,6.80491,14.5196,4.6033,2.87827,6.46657,0.777994,9.57138,15.8676,2.88061,12.1097,1.11573,18.6416,3.04353,7.42281,7.38282,18.908,0.987569,8.69442,0.946126,0.757333,0.914931,0.886122,0.654383,0.798578,0.240928,0.449251,1.22309,0.762089,1.56787,0.892936,2.35913,1.16397,1.20077,0.315083,0.330828,0.833462,0.742328,0.239961,2.5679,2.15518,0.563941,2.25461,1.8733,2.09792,2.31832,1.133,0.78859,1.3026,1.04538,2.82861,0.606897,0.320604,0.624002,0.393757,0.364933,0.258744,0.257019,0.173138,0.451381,0.312404,0.561569,0.326921,0.569258,0.224276,0.463905,0.292918,0.393035,0.235909,0.390837,0.275517,0.68758,0.43825,0.584766,0.46774,0.427045,0.319474,0.36296,0.373368,0.510899,0.334429,0.457394,0.405626,0.360045,0.649338,0.329597,0.596788,0.569446,0.71214,0.719173,0.771901,0.501932,0.655064,0.385147,0.661973,0.397381,0.744171,0.449188,0.679549,0.601038,0.745378,0.55467,0.722002,0.265998,0.537346,0.37169,0.498159,0.497008,0.64756,0.509586,0.59601,0.462688,0.646275,0.480927,0.53095,0.0330577,0.0300575,0.0464008,0.00945546,0.0656203,0.0291163,0.0238086,0.0549606,0.0466874,0.0325316,0.0532836,0.0111067,0.0333601,0.0315528,0.0869061,0.0275328,0.00592624,0.0187131,0.0544928,0.00248087,0.0464222,0.0244038,0.0435442,0.0341009,0.0759468,0.0329661,0.127454,0.0306223,0.0264132,0.0192959,0.0616783,0.0634242,0.501379,0.305511,0.462807,0.338623,0.456942,0.667159,0.474997,0.632166,0.0416793,0.0273296,0.0621961,0.0292105
-3033.71,0.833837,0.24158,4,15,0,3126.95,2.2126,11.9048,10.0881,3.37946,2.88942,8.64496,1.99382,2.11684,3.99797,0.964497,2.23396,5.49785,7.96881,6.59157,3.31289,6.87985,2.59637,11.6969,4.21199,1.00511,4.61273,2.49282,0.475021,24.5216,2.56965,3.06162,6.9099,11.4259,8.27391,2.41138,7.21455,3.91959,2.26393,8.2574,7.06196,17.7945,26.3449,30.6795,8.4399,18.2873,1.90294,5.08915,3.85954,4.16926,2.92705,8.11492,5.5038,16.6408,1.38095,15.3222,6.4943,3.66863,2.31314,2.78475,1.31527,21.7561,16.2953,6.45137,11.5862,25.2341,6.93665,6.48334,10.2431,4.23189,1.11047,1.85368,2.9387,1.52875,2.81065,2.01556,1.66172,1.07023,1.03366,1.85598,0.658894,2.02116,0.341419,0.929987,3.30607,2.21138,0.823,0.391441,3.02412,0.926976,1.5279,1.12119,1.41557,1.43358,1.22817,1.83008,1.59033,0.916087,0.59819,0.737327,3.11324,0.55179,0.477847,0.377579,0.612969,0.283842,0.248031,0.191596,0.223397,0.176527,0.600009,0.360353,0.564327,0.459772,0.461971,0.289881,0.417761,0.333781,0.39612,0.332602,0.257692,0.253338,0.691188,0.44532,0.577373,0.450017,0.417652,0.261225,0.421989,0.315912,0.603793,0.368372,0.372863,0.316203,0.451438,0.606186,0.293624,0.68182,0.70045,0.78466,0.763559,0.807159,0.334565,0.567263,0.385138,0.46059,0.4733,0.683763,0.441393,0.647001,0.566281,0.665332,0.667849,0.734609,0.251384,0.467728,0.361758,0.539894,0.552176,0.68498,0.519766,0.681678,0.380611,0.603727,0.530407,0.651225,0.0707146,0.0162349,0.0934066,0.0343381,0.0515191,0.0237434,0.0130446,0.0163137,0.0654267,0.0723847,0.0505345,0.0796376,0.0647299,0.0263561,0.140846,0.0192182,0.0375995,0.00206593,0.0744594,0.0120525,0.0574281,0.0869522,0.0608693,0.0100897,0.030172,0.0537953,0.0582446,0.00240981,0.0155967,0.0279012,0.0967297,0.0325726,0.487076,0.328366,0.431046,0.323674,0.463775,0.632955,0.495437,0.650497,0.0491483,0.0386792,0.0735169,0.025829
-3036.48,0.956366,0.24158,4,15,0,3112.37,6.97326,2.79187,4.15666,3.35822,5.08673,2.93081,1.86857,1.62223,2.52189,4.88937,1.17712,4.66954,1.00064,3.98646,12.0486,3.6293,1.13603,6.2147,5.2119,4.06161,5.49827,7.25052,7.01402,7.72176,4.51175,3.93731,3.71308,5.9645,4.04649,4.29558,3.00295,1.66573,1.17981,10.1062,2.3991,2.86772,2.8821,11.1092,8.15562,3.76778,1.26196,4.40766,1.52067,7.86342,4.25076,13.6269,8.15733,5.03759,3.93312,13.8501,11.5462,8.22942,1.24717,5.90562,0.473342,10.3962,0.74108,6.77952,3.70725,13.9369,2.11732,5.65373,4.21258,5.06363,1.83699,0.772688,1.20813,0.544381,1.57762,1.05025,0.674971,0.940077,0.893209,0.862562,1.63935,1.04244,1.41665,0.793972,3.21318,0.973303,0.29507,1.44511,2.19392,0.392438,0.747925,0.526584,0.85824,0.715734,0.16974,1.1946,1.41884,0.341579,0.916527,2.51449,1.35929,0.362946,0.529386,0.400562,0.607273,0.279032,0.315826,0.184243,0.15002,0.176581,0.590332,0.209827,0.523702,0.361389,0.559211,0.263699,0.470604,0.328359,0.382407,0.354238,0.364231,0.230949,0.668548,0.430916,0.552347,0.465424,0.405153,0.270738,0.359107,0.375181,0.612803,0.358916,0.367521,0.271221,0.430063,0.592542,0.312875,0.717158,0.619383,0.790644,0.775919,0.801549,0.370723,0.70017,0.441947,0.610302,0.405177,0.697218,0.429914,0.655397,0.595424,0.626871,0.56534,0.764216,0.297695,0.54701,0.393989,0.524635,0.55385,0.657982,0.567664,0.622032,0.369234,0.611505,0.535655,0.63553,0.040551,0.00689665,0.0798519,0.00380971,0.0647905,0.0251127,0.0740604,0.0218702,0.0389444,0.0900024,0.0343515,0.0283091,0.035613,0.0390838,0.0994818,0.0162443,0.022169,0.018891,0.070429,0.00483449,0.0337567,0.022074,0.053664,0.00994141,0.0409969,0.0712806,0.0732292,0.00278702,0.0179626,0.0295787,0.0968238,0.0932492,0.507958,0.309142,0.424351,0.311017,0.455194,0.652993,0.502913,0.666352,0.036848,0.037865,0.0727365,0.0226307
-3021.11,0.93309,0.24158,4,15,0,3100.64,1.7949,3.24894,3.74631,6.74821,3.02842,2.51325,4.64044,3.05343,6.64673,2.29465,2.16648,3.50521,2.47356,7.40649,7.19932,4.86844,3.24656,4.17783,10.0922,1.19201,1.55718,1.10454,2.78643,3.0561,1.47603,3.0853,5.0735,9.43848,2.75011,4.72172,2.63199,3.03316,1.59136,1.90275,3.21641,31.6562,10.1065,4.31977,4.82711,10.5554,6.20003,12.1758,1.77306,5.44781,1.13169,12.4468,10.8801,17.2733,1.33061,6.76553,15.8233,3.48528,3.90069,2.68735,5.73849,2.95036,3.59927,7.64081,7.63141,5.63443,1.58464,10.7072,7.66543,2.67364,1.04622,0.708191,1.07868,0.829286,2.36185,1.36904,1.18271,0.949006,0.794981,2.03918,0.545367,0.195493,0.346051,2.38095,3.3445,1.68461,0.714509,1.54073,2.87502,1.20065,1.24449,0.999337,2.29455,0.50265,1.48287,1.0771,0.933487,0.649865,0.773454,1.33571,2.19988,1.915,0.523741,0.396802,0.622087,0.295563,0.349972,0.25489,0.269947,0.20588,0.543906,0.335771,0.551876,0.401124,0.574492,0.307108,0.45996,0.270212,0.49653,0.272413,0.314694,0.259937,0.634828,0.476091,0.595413,0.451919,0.399006,0.247108,0.414644,0.343361,0.595457,0.285803,0.398427,0.315078,0.424892,0.592702,0.346485,0.697208,0.575202,0.703642,0.710076,0.77124,0.400657,0.628231,0.361145,0.58699,0.375504,0.671725,0.426142,0.717679,0.478302,0.669138,0.640657,0.708424,0.321045,0.484366,0.320663,0.524494,0.496793,0.713819,0.5258,0.63392,0.353769,0.669436,0.548294,0.629048,0.0513667,0.0104965,0.0314277,0.00722909,0.0748265,0.0414677,0.0199775,0.0228801,0.0554377,0.0359979,0.0869795,0.0118861,0.0500038,0.0211671,0.113898,0.0121083,0.0251681,0.0584481,0.0446494,0.031639,0.0441268,0.039543,0.0839242,0.0235876,0.104202,0.0390724,0.0595561,0.022719,0.0507738,0.0447604,0.0532783,0.0558739,0.514741,0.321998,0.453381,0.317884,0.42827,0.641633,0.484908,0.658625,0.0569881,0.0363691,0.0617114,0.0234904
