# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-06-05 15:19:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp9dCXpU/standata-25c3662174a4a.json
# init = 2 (Default)
# random
#   seed = 728950482
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202506051519-1-804716.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202506051519-1-1997ed.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.262684
# Diagonal elements of inverse mass matrix:
# 0.567155, 0.557195, 0.35711, 0.532126, 0.604952, 0.358725, 0.491704, 0.600511, 0.354099, 0.633803, 0.626899, 0.392186, 0.60512, 0.542735, 0.398765, 0.499648, 0.596369, 0.336755, 0.603512, 0.571924, 0.366046, 0.521941, 0.600654, 0.338, 0.58751, 0.51863, 0.439502, 0.482128, 0.548223, 0.372032, 0.536112, 0.602569, 0.319669, 0.671288, 0.516566, 0.422656, 0.543744, 0.551609, 0.331925, 0.495326, 0.491085, 0.315627, 0.474913, 0.514314, 0.361856, 0.571044, 0.561873, 0.39219, 0.541953, 0.585192, 0.385219, 0.522845, 0.601437, 0.372664, 0.455298, 0.59506, 0.39878, 0.565225, 0.581982, 0.33836, 0.485117, 0.550785, 0.37918, 0.498633, 0.501187, 0.385235, 0.57112, 0.72343, 0.418352, 0.532482, 0.682249, 0.305888, 0.57281, 0.688402, 0.39766, 0.531714, 0.607284, 0.357798, 0.472775, 0.712358, 0.39307, 0.660406, 0.570426, 0.364393, 0.560568, 0.61637, 0.365908, 0.543908, 0.665448, 0.401979, 0.583182, 0.670086, 0.345114, 0.494556, 0.613759, 0.425576, 0.0345539, 0.23161, 0.0398034, 0.583572, 0.0430615, 0.167655, 0.0371363, 0.207589, 0.03566, 0.199761, 0.0362229, 0.193541, 0.0328593, 0.233354, 0.0390898, 0.312929, 0.0298959, 0.204548, 0.041858, 0.185619, 0.0440006, 0.287174, 0.0399864, 0.170446, 0.035103, 0.190051, 0.0329278, 0.140812, 0.0400461, 0.100267, 0.0323846, 0.174348, 0.035176, 0.532223, 0.0465488, 0.419757, 0.0505516, 0.342028, 0.0401844, 0.257465, 0.0334455, 0.199048, 0.0375815, 0.287193, 0.0499576, 0.294024, 0.0436411, 0.332656, 0.0398259, 0.709824, 0.0416656, 1.14186, 0.0547387, 0.34018, 0.0305151, 0.776744, 0.0303491, 0.308559, 0.041436, 1.10119, 0.0449804, 0.41778, 0.0371197, 0.189372
-3029.64,0.887854,0.262684,4,15,0,3101.66,2.21086,3.67018,1.78463,11.7087,2.90327,4.83757,1.78592,3.4035,0.94372,5.45731,3.70073,1.28197,3.00992,2.13724,2.1296,5.17613,1.2803,6.2522,1.4772,1.93939,9.02957,2.34484,1.67968,3.84566,11.0875,2.44917,5.21784,4.59172,16.1454,4.44265,7.21014,3.06766,2.48236,7.22368,1.10891,9.75888,5.80534,10.8171,7.30661,3.39553,0.865757,25.7445,4.11677,3.52565,3.13235,3.00955,1.8846,9.806,1.84654,36.5682,3.29565,4.08443,4.05705,3.94685,2.46032,2.77737,23.7817,8.68383,3.07354,5.82786,19.8923,7.47523,3.00708,3.87181,1.37532,0.979646,0.544908,1.3089,0.94863,1.70389,2.50552,0.884592,0.729865,1.37144,1.75053,0.228778,2.20012,0.441978,0.823571,2.67704,0.417299,1.53656,0.709338,0.33105,2.96232,1.51344,1.13416,0.636817,3.96231,0.984772,1.54799,0.862215,1.04904,0.876239,0.692642,1.41685,0.587316,0.294517,0.595485,0.316794,0.261878,0.210448,0.20756,0.244747,0.550471,0.298155,0.595707,0.391802,0.388448,0.205101,0.474639,0.270618,0.394146,0.208304,0.328051,0.28356,0.615377,0.36279,0.569794,0.402541,0.412287,0.283551,0.447284,0.292479,0.603583,0.345416,0.491485,0.321247,0.365739,0.655655,0.372509,0.681114,0.684126,0.753848,0.772099,0.722168,0.37607,0.659714,0.342619,0.596119,0.558855,0.748075,0.460046,0.674411,0.561693,0.77826,0.632553,0.700498,0.309961,0.575763,0.355881,0.58849,0.538081,0.692158,0.479052,0.701762,0.378397,0.619727,0.412267,0.600643,0.0469444,0.0498282,0.0320066,0.00209213,0.0539958,0.0357045,0.0203413,0.0330854,0.0734591,0.0421311,0.0616739,0.0120795,0.0526973,0.0468239,0.0653143,0.0549712,0.0441614,0.0134362,0.0393958,0.0159418,0.0746616,0.0614469,0.0743248,0.00896918,0.0496321,0.0242913,0.0736643,0.0057586,0.0180202,0.0348577,0.0962486,0.0781101,0.476688,0.276035,0.463751,0.315474,0.471615,0.6854,0.478378,0.65815,0.0516965,0.038565,0.0578712,0.026376
-3030.96,0.872695,0.262684,4,15,0,3109.95,6.27662,4.89035,8.19372,3.19716,1.84549,1.36696,6.43306,0.418827,4.56255,0.886299,2.52589,10.0625,5.0929,2.91488,4.17156,4.59222,3.31325,1.72985,5.55411,5.43486,5.00417,3.67467,20.6527,0.878261,6.81855,10.2356,8.53095,1.62037,2.46676,1.39392,0.646207,2.54282,4.38354,9.39326,3.93744,2.19319,3.26038,5.75819,12.3804,3.65888,4.2892,0.508353,1.12066,12.5074,5.60223,11.4834,2.76478,12.1496,3.91462,6.57477,12.5723,33.8663,2.40624,5.09503,6.75766,3.17293,12.3771,12.5985,7.93732,4.57082,3.80599,1.73056,2.16532,7.55939,1.80115,1.44423,1.64786,0.300794,1.4177,0.788398,0.815668,0.66409,0.930399,1.48884,0.731101,3.66454,0.813305,1.39415,1.68596,0.976548,1.00682,1.13843,2.71829,1.65286,1.35572,0.862156,1.64959,0.579487,1.06537,1.6963,0.800371,0.85769,0.38525,1.66683,1.06564,0.95847,0.42844,0.317675,0.684669,0.319761,0.30572,0.24655,0.244541,0.167168,0.588677,0.279225,0.457048,0.391382,0.526337,0.281826,0.52134,0.341207,0.38644,0.261187,0.276252,0.178023,0.660002,0.448579,0.607194,0.480894,0.449921,0.241024,0.436506,0.371614,0.534658,0.356852,0.444039,0.290958,0.502618,0.668283,0.246167,0.67366,0.636338,0.720324,0.687856,0.807217,0.382392,0.630239,0.50093,0.553828,0.413629,0.700618,0.341283,0.644383,0.602715,0.690245,0.640504,0.818512,0.265313,0.510258,0.352895,0.51814,0.503947,0.72083,0.49977,0.591089,0.456224,0.593927,0.524391,0.683917,0.0689417,0.0140418,0.0691635,0.00657905,0.0579423,0.033126,0.0676027,0.0256153,0.0289317,0.090536,0.0420224,0.0547899,0.0600338,0.017556,0.137376,0.0144101,0.0108445,0.048568,0.0832438,0.00346486,0.0746843,0.0411623,0.0399108,0.000966431,0.0461322,0.0381463,0.063724,0.0372968,0.00911752,0.0492213,0.0315708,0.0251248,0.485024,0.304115,0.458949,0.317626,0.470397,0.654341,0.474224,0.661343,0.0445785,0.0415447,0.0668268,0.0210309
-3020.66,0.977726,0.262684,4,15,0,3102.54,10.0829,1.95534,6.47758,0.645295,2.0068,1.69752,1.79012,4.11962,4.9602,2.78407,6.92004,16.9498,2.41549,3.24493,9.55062,3.07305,1.15422,8.60663,6.02773,1.31986,9.9237,3.4659,8.2419,1.86249,5.43445,1.27518,2.45775,5.75747,3.36592,5.09215,3.91245,3.36649,10.1484,6.64211,4.78911,1.35285,2.8352,2.9657,2.83809,6.02751,2.94658,2.59687,3.7284,28.3716,2.77242,6.8692,10.4046,5.64948,1.81112,14.8329,13.0961,1.63727,4.90768,3.30565,2.94587,1.47255,7.18672,4.94174,4.52927,11.3353,1.77473,11.9085,2.87074,3.93816,2.04274,0.8985,1.56506,1.58054,0.592822,1.12233,0.474493,1.05284,1.95254,0.492071,1.41987,1.38093,2.12521,0.599698,4.00854,0.304977,0.499132,1.16422,1.17739,0.285977,1.79685,0.916343,0.866011,0.501623,1.51563,1.39025,1.38861,1.03223,1.10662,0.780292,0.674551,1.52066,0.53751,0.309886,0.572976,0.307815,0.315891,0.159405,0.311637,0.2368,0.476319,0.320182,0.528547,0.3241,0.365907,0.187551,0.406234,0.311728,0.462676,0.295138,0.39718,0.21953,0.690143,0.424731,0.635033,0.421075,0.437737,0.327033,0.452306,0.281033,0.543511,0.334331,0.399072,0.309282,0.414837,0.632349,0.379831,0.653841,0.634411,0.804735,0.675393,0.740686,0.41586,0.651351,0.409089,0.650802,0.578035,0.789519,0.488535,0.682132,0.511852,0.696005,0.573,0.743822,0.267216,0.526435,0.327144,0.560779,0.545292,0.621343,0.46413,0.711482,0.402469,0.636703,0.472055,0.63222,0.0476527,0.0577655,0.0471935,0.0383443,0.0496983,0.0358599,0.0129699,0.0225141,0.107821,0.0284664,0.0623637,0.0250984,0.0560582,0.02293,0.105231,0.00614025,0.0254712,0.00885723,0.0298195,0.0366477,0.0426407,0.0488342,0.037823,0.018146,0.0169718,0.0516245,0.0835638,0.00748487,0.0540194,0.0289661,0.128874,0.0584974,0.478712,0.294782,0.462873,0.30142,0.471247,0.669805,0.473647,0.67197,0.0500416,0.035413,0.0634798,0.0266091
-3037.6,0.593598,0.262684,4,15,0,3122.74,1.72352,2.07914,11.7004,5.72448,1.60407,3.67359,1.9066,3.89764,3.00301,1.59719,4.50857,0.914805,7.28547,1.06967,9.49516,19.7624,10.6516,2.83033,3.77013,0.639905,14.1766,5.67969,2.87737,3.7384,4.57761,3.06642,3.22729,1.5334,1.37092,4.51622,1.52147,6.17219,1.35161,1.44176,5.1838,7.7296,4.23602,10.5821,8.64172,13.3432,3.26931,4.96134,5.67566,1.53189,4.38741,7.75607,3.01786,30.4247,6.08742,5.47117,13.1153,3.77838,7.03631,8.43702,6.7159,7.59143,4.60686,5.22677,5.91218,7.14989,2.50891,9.26778,6.80409,7.95167,0.79407,0.725755,1.23362,0.235762,1.65684,0.965295,0.919057,1.55655,0.543878,1.31069,1.66705,0.539561,0.432638,1.232,1.25536,1.19089,1.63106,1.8979,1.21954,1.12946,2.27395,1.5664,2.34461,0.365076,1.28721,0.565583,2.1523,1.19139,1.16051,0.932622,2.11484,1.9106,0.453732,0.358614,0.628376,0.362827,0.22834,0.267115,0.20121,0.210824,0.592243,0.33438,0.50417,0.361012,0.557166,0.212204,0.553247,0.316069,0.356989,0.280228,0.27265,0.250983,0.666069,0.379914,0.550324,0.506636,0.356013,0.214794,0.269052,0.337469,0.521313,0.348756,0.320636,0.317071,0.481912,0.632042,0.318521,0.634511,0.706263,0.704458,0.734313,0.750937,0.378767,0.605532,0.443914,0.630908,0.404866,0.754975,0.341711,0.661318,0.623462,0.673641,0.685027,0.747202,0.263854,0.590123,0.380531,0.493216,0.514812,0.762347,0.620785,0.638651,0.456677,0.640172,0.644528,0.617526,0.0643554,0.00934331,0.0531032,0.00266268,0.0653969,0.0284264,0.0644771,0.0382387,0.0289897,0.0600874,0.0519158,0.00808008,0.0379689,0.0328201,0.105042,0.0226125,0.0195487,0.0461312,0.0423231,0.00181538,0.0700772,0.0299633,0.0691453,0.000147307,0.129176,0.0228584,0.110163,0.0238799,0.0220101,0.0110718,0.0348358,0.0654037,0.466483,0.299501,0.412458,0.332861,0.478827,0.670412,0.521166,0.646784,0.0546904,0.0300877,0.0663757,0.020355
-3042.22,0.888743,0.262684,4,15,0,3124.25,16.028,12.0925,3.05076,3.44367,2.36854,3.93662,3.55514,1.25705,21.3456,2.09983,3.62194,13.2445,7.58812,2.50538,1.89763,0.99929,3.48162,2.5555,5.24438,5.66618,5.36778,3.10325,1.82339,1.90529,4.21681,8.89498,5.71617,4.31409,14.4024,3.22415,2.95587,1.6662,10.3599,24.3011,0.681316,7.21816,10.0107,22.7479,7.36619,4.61008,11.642,7.21709,2.29164,21.5682,7.82761,11.4183,4.25648,1.85947,1.53674,6.29262,8.20307,3.77794,4.86224,3.98632,1.17882,1.1025,3.83451,19.9622,1.50889,9.65358,4.45867,6.42948,2.83334,3.38745,1.18031,2.73397,0.994256,0.640104,0.767977,1.03655,0.910642,0.758443,7.45392,0.991215,0.848782,1.10674,3.80682,0.512728,1.91814,1.08062,1.01632,0.356063,1.63098,0.318272,0.795191,0.761651,2.07261,0.242742,1.09362,2.68361,1.0216,0.503284,1.73382,0.747826,0.672383,1.23241,0.580767,0.327123,0.612541,0.268045,0.344753,0.149695,0.312224,0.205189,0.49484,0.351891,0.567373,0.385848,0.411869,0.280848,0.389232,0.324175,0.426802,0.285377,0.396073,0.255655,0.666041,0.477106,0.6676,0.440083,0.450635,0.31018,0.535157,0.339466,0.596157,0.328756,0.557166,0.337346,0.401239,0.633788,0.324368,0.665257,0.600027,0.798334,0.676219,0.767339,0.400301,0.611327,0.389214,0.588899,0.517053,0.681359,0.511631,0.648522,0.553279,0.708455,0.516637,0.741272,0.288684,0.473155,0.309045,0.552086,0.539499,0.609583,0.403499,0.647535,0.362241,0.601986,0.357763,0.625089,0.0179936,0.0390895,0.0630912,0.0666984,0.0552199,0.0519709,0.0115574,0.0274716,0.104859,0.0367812,0.0434128,0.0252529,0.0710781,0.0377929,0.0991371,0.0273032,0.0199185,0.00616876,0.0872899,0.0030733,0.0452748,0.0497389,0.0233553,0.00783104,0.00986556,0.0802373,0.0613439,0.0129987,0.041602,0.0692577,0.0850713,0.0375646,0.496483,0.313872,0.504671,0.319476,0.457791,0.639748,0.436047,0.6545,0.0457264,0.0463796,0.0592824,0.0260242
-3045.61,0.649767,0.262684,4,15,0,3121.42,1.33883,2.10032,18.7373,8.12668,1.54787,2.66939,0.839322,4.67961,1.76357,4.29478,3.32395,0.852648,4.66316,0.992286,9.57677,6.44531,0.80357,4.74867,1.28057,3.95038,13.3374,3.38338,7.70642,15.4398,3.07951,0.258354,6.53624,3.07019,4.01905,4.96493,4.56602,2.82856,0.985282,2.09548,9.62419,10.4198,6.9643,4.31874,6.56207,17.7478,1.41261,1.2632,5.60172,1.35919,3.02593,5.25107,6.24028,22.2712,4.54034,10.1441,2.4705,3.90786,3.91604,4.29495,6.41881,12.1317,5.92233,1.74009,6.06035,7.15693,6.68011,9.74691,14.9339,7.6035,1.8942,0.535138,0.79355,0.0804244,0.464394,0.85248,1.14401,0.891766,0.404875,1.10521,1.76744,0.617914,0.721332,1.95731,2.73052,1.37806,0.835599,2.3541,1.0743,1.3057,1.15698,1.61407,1.02512,0.723036,2.0187,0.350355,2.59833,0.560992,0.537932,1.00292,1.17931,0.986057,0.47498,0.357672,0.614175,0.35087,0.210015,0.269542,0.21447,0.207935,0.58735,0.334075,0.518258,0.369214,0.550388,0.235861,0.553313,0.313302,0.335799,0.27299,0.248936,0.221318,0.659062,0.392321,0.58941,0.469289,0.335223,0.221323,0.286207,0.348268,0.52643,0.331932,0.327297,0.341374,0.473595,0.617277,0.346987,0.646098,0.710353,0.697675,0.723923,0.749013,0.390687,0.610886,0.429518,0.606488,0.430717,0.740958,0.357771,0.676136,0.634167,0.654417,0.722429,0.765515,0.263284,0.569639,0.328482,0.511095,0.548257,0.763788,0.590732,0.638254,0.448648,0.652293,0.600028,0.581821,0.0514247,0.0250507,0.0388372,0.00303211,0.0796325,0.032783,0.0616071,0.0430527,0.0219631,0.0550396,0.0522236,0.0242975,0.0188952,0.0231814,0.0889162,0.0105626,0.0300337,0.0725928,0.028635,0.0131672,0.0776545,0.0380399,0.0821086,0.0196161,0.11652,0.0148888,0.123061,0.0134781,0.0249225,0.0157741,0.0726751,0.0768046,0.459906,0.301964,0.419008,0.327696,0.487463,0.663367,0.512484,0.646802,0.0526308,0.0346688,0.0685079,0.0255014
