# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_choice_dm_no_hier_1_model
# start_datetime = 2025-06-05 15:19:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp9dCXpU/standata-25c3662174a4a.json
# init = 2 (Default)
# random
#   seed = 728950482
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-202506051519-2-804716.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_choice/bayes_choice_dm_no_hier_1/bayes_choice_dm_no_hier_1-profile-202506051519-2-1997ed.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_choice_dm_no_hier_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1.1.1.1.1,alpha.2.1.1.1.1,alpha.1.2.1.1.1,alpha.2.2.1.1.1,alpha.1.1.2.1.1,alpha.2.1.2.1.1,alpha.1.2.2.1.1,alpha.2.2.2.1.1,alpha.1.1.3.1.1,alpha.2.1.3.1.1,alpha.1.2.3.1.1,alpha.2.2.3.1.1,alpha.1.1.4.1.1,alpha.2.1.4.1.1,alpha.1.2.4.1.1,alpha.2.2.4.1.1,alpha.1.1.1.2.1,alpha.2.1.1.2.1,alpha.1.2.1.2.1,alpha.2.2.1.2.1,alpha.1.1.2.2.1,alpha.2.1.2.2.1,alpha.1.2.2.2.1,alpha.2.2.2.2.1,alpha.1.1.3.2.1,alpha.2.1.3.2.1,alpha.1.2.3.2.1,alpha.2.2.3.2.1,alpha.1.1.4.2.1,alpha.2.1.4.2.1,alpha.1.2.4.2.1,alpha.2.2.4.2.1,alpha.1.1.1.1.2,alpha.2.1.1.1.2,alpha.1.2.1.1.2,alpha.2.2.1.1.2,alpha.1.1.2.1.2,alpha.2.1.2.1.2,alpha.1.2.2.1.2,alpha.2.2.2.1.2,alpha.1.1.3.1.2,alpha.2.1.3.1.2,alpha.1.2.3.1.2,alpha.2.2.3.1.2,alpha.1.1.4.1.2,alpha.2.1.4.1.2,alpha.1.2.4.1.2,alpha.2.2.4.1.2,alpha.1.1.1.2.2,alpha.2.1.1.2.2,alpha.1.2.1.2.2,alpha.2.2.1.2.2,alpha.1.1.2.2.2,alpha.2.1.2.2.2,alpha.1.2.2.2.2,alpha.2.2.2.2.2,alpha.1.1.3.2.2,alpha.2.1.3.2.2,alpha.1.2.3.2.2,alpha.2.2.3.2.2,alpha.1.1.4.2.2,alpha.2.1.4.2.2,alpha.1.2.4.2.2,alpha.2.2.4.2.2,alpha.1.1.1.1.3,alpha.2.1.1.1.3,alpha.1.2.1.1.3,alpha.2.2.1.1.3,alpha.1.1.2.1.3,alpha.2.1.2.1.3,alpha.1.2.2.1.3,alpha.2.2.2.1.3,alpha.1.1.3.1.3,alpha.2.1.3.1.3,alpha.1.2.3.1.3,alpha.2.2.3.1.3,alpha.1.1.4.1.3,alpha.2.1.4.1.3,alpha.1.2.4.1.3,alpha.2.2.4.1.3,alpha.1.1.1.2.3,alpha.2.1.1.2.3,alpha.1.2.1.2.3,alpha.2.2.1.2.3,alpha.1.1.2.2.3,alpha.2.1.2.2.3,alpha.1.2.2.2.3,alpha.2.2.2.2.3,alpha.1.1.3.2.3,alpha.2.1.3.2.3,alpha.1.2.3.2.3,alpha.2.2.3.2.3,alpha.1.1.4.2.3,alpha.2.1.4.2.3,alpha.1.2.4.2.3,alpha.2.2.4.2.3,theta.1.1.1.1.1,theta.2.1.1.1.1,theta.1.2.1.1.1,theta.2.2.1.1.1,theta.1.1.2.1.1,theta.2.1.2.1.1,theta.1.2.2.1.1,theta.2.2.2.1.1,theta.1.1.3.1.1,theta.2.1.3.1.1,theta.1.2.3.1.1,theta.2.2.3.1.1,theta.1.1.4.1.1,theta.2.1.4.1.1,theta.1.2.4.1.1,theta.2.2.4.1.1,theta.1.1.1.2.1,theta.2.1.1.2.1,theta.1.2.1.2.1,theta.2.2.1.2.1,theta.1.1.2.2.1,theta.2.1.2.2.1,theta.1.2.2.2.1,theta.2.2.2.2.1,theta.1.1.3.2.1,theta.2.1.3.2.1,theta.1.2.3.2.1,theta.2.2.3.2.1,theta.1.1.4.2.1,theta.2.1.4.2.1,theta.1.2.4.2.1,theta.2.2.4.2.1,theta.1.1.1.1.2,theta.2.1.1.1.2,theta.1.2.1.1.2,theta.2.2.1.1.2,theta.1.1.2.1.2,theta.2.1.2.1.2,theta.1.2.2.1.2,theta.2.2.2.1.2,theta.1.1.3.1.2,theta.2.1.3.1.2,theta.1.2.3.1.2,theta.2.2.3.1.2,theta.1.1.4.1.2,theta.2.1.4.1.2,theta.1.2.4.1.2,theta.2.2.4.1.2,theta.1.1.1.2.2,theta.2.1.1.2.2,theta.1.2.1.2.2,theta.2.2.1.2.2,theta.1.1.2.2.2,theta.2.1.2.2.2,theta.1.2.2.2.2,theta.2.2.2.2.2,theta.1.1.3.2.2,theta.2.1.3.2.2,theta.1.2.3.2.2,theta.2.2.3.2.2,theta.1.1.4.2.2,theta.2.1.4.2.2,theta.1.2.4.2.2,theta.2.2.4.2.2,theta.1.1.1.1.3,theta.2.1.1.1.3,theta.1.2.1.1.3,theta.2.2.1.1.3,theta.1.1.2.1.3,theta.2.1.2.1.3,theta.1.2.2.1.3,theta.2.2.2.1.3,theta.1.1.3.1.3,theta.2.1.3.1.3,theta.1.2.3.1.3,theta.2.2.3.1.3,theta.1.1.4.1.3,theta.2.1.4.1.3,theta.1.2.4.1.3,theta.2.2.4.1.3,theta.1.1.1.2.3,theta.2.1.1.2.3,theta.1.2.1.2.3,theta.2.2.1.2.3,theta.1.1.2.2.3,theta.2.1.2.2.3,theta.1.2.2.2.3,theta.2.2.2.2.3,theta.1.1.3.2.3,theta.2.1.3.2.3,theta.1.2.3.2.3,theta.2.2.3.2.3,theta.1.1.4.2.3,theta.2.1.4.2.3,theta.1.2.4.2.3,theta.2.2.4.2.3,theta_m.1.1.1,theta_m.2.1.1,theta_m.1.2.1,theta_m.2.2.1,theta_m.1.1.2,theta_m.2.1.2,theta_m.1.2.2,theta_m.2.2.2,theta_m.1.1.3,theta_m.2.1.3,theta_m.1.2.3,theta_m.2.2.3
# Adaptation terminated
# Step size = 0.265443
# Diagonal elements of inverse mass matrix:
# 0.552981, 0.577675, 0.390861, 0.484295, 0.577817, 0.310971, 0.570997, 0.646679, 0.390336, 0.608512, 0.539339, 0.412228, 0.553885, 0.542987, 0.35335, 0.456905, 0.584862, 0.363686, 0.603542, 0.533915, 0.407902, 0.557064, 0.549623, 0.337508, 0.548466, 0.57161, 0.403078, 0.545217, 0.510885, 0.460381, 0.455974, 0.598874, 0.396818, 0.585085, 0.49296, 0.335063, 0.567823, 0.524011, 0.354411, 0.471636, 0.520605, 0.380148, 0.498812, 0.523186, 0.40235, 0.489186, 0.525442, 0.414901, 0.60199, 0.677202, 0.378985, 0.534575, 0.673567, 0.413246, 0.433238, 0.677995, 0.362718, 0.61098, 0.612737, 0.354976, 0.57172, 0.640649, 0.330912, 0.558944, 0.592602, 0.327678, 0.512944, 0.621751, 0.349279, 0.541056, 0.512839, 0.449719, 0.57268, 0.656973, 0.370094, 0.510413, 0.689738, 0.38231, 0.472601, 0.608151, 0.390275, 0.640283, 0.692631, 0.354141, 0.57775, 0.611731, 0.366811, 0.576279, 0.600252, 0.318962, 0.54726, 0.65166, 0.399944, 0.485671, 0.622649, 0.347206, 0.0359666, 0.236185, 0.0340617, 0.435056, 0.0450136, 0.163147, 0.0374037, 0.212285, 0.0401045, 0.213527, 0.0382085, 0.200667, 0.0311758, 0.202035, 0.0328948, 0.316357, 0.0369376, 0.221504, 0.0390803, 0.173803, 0.0493158, 0.368553, 0.0334008, 0.164254, 0.0343241, 0.211963, 0.0293245, 0.134506, 0.0332324, 0.107278, 0.0304401, 0.13626, 0.0410876, 0.49341, 0.041054, 0.569614, 0.0595511, 0.325122, 0.0384173, 0.249782, 0.0360739, 0.198172, 0.0425242, 0.210266, 0.0430289, 0.317012, 0.0368128, 0.366155, 0.0320483, 0.77889, 0.0464557, 0.719306, 0.0544069, 0.299476, 0.0338066, 0.999707, 0.0337716, 0.287515, 0.0351064, 0.867781, 0.0519976, 0.481327, 0.0302864, 0.189965
-3032.88,0.952155,0.265443,4,15,0,3115.23,4.08997,11.9337,4.73816,2.49963,2.40221,0.599631,3.12285,9.63702,5.79847,1.93866,6.66018,2.20967,2.4764,3.00437,14.6516,3.66317,3.62892,1.8687,1.05508,0.688612,27.5703,1.53288,2.87621,5.33597,3.16028,3.94906,1.29298,4.27568,5.96462,2.12139,2.6643,2.55137,1.40876,8.67128,1.52041,1.65805,1.9415,3.33174,4.19022,36.8686,2.10903,4.09175,2.0541,4.0066,1.35266,6.09339,5.72226,3.80595,6.89034,5.04681,3.86983,4.27925,14.9192,0.786008,1.20725,6.71911,0.577322,23.5531,1.47507,5.71003,3.40225,1.80422,3.05633,3.92323,0.919995,2.31028,0.878309,1.56896,1.97155,0.337207,1.10499,0.743588,2.99916,1.7628,1.46583,1.18357,1.05186,1.20224,2.35976,0.805473,1.77385,2.19271,1.56274,0.719996,2.95787,0.598391,0.436251,0.730016,0.46288,1.89075,1.66193,0.746068,1.23991,0.554321,0.644574,0.817107,0.481753,0.399491,0.554821,0.411783,0.287359,0.218453,0.217412,0.15982,0.582727,0.301765,0.544256,0.41841,0.514644,0.310152,0.603948,0.311771,0.363459,0.32879,0.36551,0.256551,0.604294,0.447244,0.550402,0.559766,0.441869,0.236732,0.391237,0.385608,0.559132,0.346197,0.500894,0.357699,0.484378,0.588318,0.379686,0.578999,0.662035,0.766103,0.720889,0.81432,0.332697,0.59777,0.398634,0.567413,0.439959,0.646035,0.322865,0.676024,0.615871,0.648604,0.568928,0.729742,0.31699,0.509263,0.379775,0.432145,0.491099,0.716873,0.548366,0.60213,0.410186,0.598713,0.460937,0.590725,0.0338686,0.0121913,0.0654925,0.00921786,0.0506065,0.0154438,0.0616989,0.0258603,0.0845758,0.100465,0.05711,0.0141771,0.0453971,0.0438125,0.0731877,0.0122048,0.0206696,0.0226058,0.0655618,0.0137064,0.0787157,0.0434929,0.0698229,0.00808914,0.0670321,0.0463946,0.0603968,0.0122613,0.0306815,0.0550901,0.038169,0.051576,0.479405,0.323603,0.46606,0.357676,0.469152,0.63396,0.47251,0.623937,0.0514434,0.042437,0.0614299,0.0183866
-3047.55,0.803494,0.265443,4,15,0,3128.01,1.19851,13.1352,1.73724,4.18797,1.7722,4.8015,1.28831,0.580985,5.50988,1.72206,1.56659,4.69597,0.617868,3.43527,3.97841,1.13159,5.05901,3.60295,2.47944,1.0863,20.8374,0.831693,6.05007,7.06799,2.41002,4.47234,1.67731,4.94975,6.17671,1.88726,2.44877,4.73251,2.67053,23.3663,0.993623,4.21203,2.71553,19.2164,14.3304,1.57216,1.81294,3.0915,2.02865,5.23722,2.45403,6.0203,3.17367,2.45704,5.42041,10.446,2.65724,3.95137,6.51278,1.34572,1.35796,4.86783,1.00834,9.9485,10.259,9.79261,5.93582,6.78459,2.61381,5.12559,1.7651,0.38558,0.222894,0.531468,0.785346,0.926677,2.25879,0.997439,1.20309,1.26936,0.939601,0.796575,0.213877,1.52219,1.33413,0.646847,0.487751,0.244298,0.561105,0.952876,3.1908,1.10449,1.72769,2.50206,1.75115,1.52163,1.1165,1.62159,0.46941,0.645299,1.4177,1.3068,0.55481,0.262573,0.615476,0.380482,0.308423,0.146949,0.234167,0.24053,0.59961,0.276368,0.521153,0.404245,0.549727,0.220072,0.583642,0.287776,0.446366,0.204448,0.292155,0.166429,0.738039,0.387266,0.629303,0.43554,0.465091,0.276553,0.301082,0.327784,0.575757,0.377687,0.360945,0.318958,0.380232,0.726254,0.33138,0.610513,0.583899,0.822231,0.732867,0.709765,0.349103,0.707635,0.439245,0.556197,0.40258,0.733917,0.348013,0.697063,0.543242,0.785191,0.640251,0.825693,0.221777,0.551198,0.295451,0.518378,0.474311,0.6885,0.588236,0.658269,0.411477,0.609193,0.596724,0.614369,0.0649583,0.0111736,0.0531438,0.0090049,0.107678,0.0308206,0.0329664,0.049705,0.0512866,0.0159971,0.039602,0.0395579,0.0476926,0.0460111,0.0683452,0.0151601,0.0103918,0.0103609,0.0675947,0.00787745,0.0401835,0.0615358,0.0752461,0.0460812,0.0605983,0.034947,0.110682,0.0139468,0.0127657,0.0131194,0.0423308,0.0666726,0.529728,0.268989,0.44224,0.320218,0.420828,0.703015,0.496521,0.648781,0.0494443,0.0279957,0.0612389,0.0310008
-3027.93,0.85887,0.265443,4,15,0,3127.52,4.3634,1.91921,11.822,1.01764,2.09685,3.85029,3.15353,3.40494,6.18283,6.65695,8.79548,4.8843,9.03229,5.35839,3.1087,7.71074,2.33397,0.65664,1.01023,0.827951,11.7803,1.76383,3.57124,6.47266,3.81433,1.28293,2.51428,2.90994,2.23628,3.62305,1.05068,6.25029,2.16729,3.32416,8.69267,3.12812,1.60688,10.3623,5.1046,2.33851,10.4189,7.32408,4.97366,6.62997,2.54563,9.28127,3.85474,7.74686,3.57886,1.49474,3.1314,1.36611,4.13977,3.92168,4.46926,6.32739,4.15275,4.00981,0.64953,3.98646,3.02118,2.11285,2.49803,6.65298,0.54952,2.76794,1.96015,1.02259,0.96465,2.59685,0.894,0.858449,1.71291,1.15616,1.19471,1.45856,3.23952,0.644714,1.52523,1.18458,1.47962,1.73634,0.63238,0.659197,1.23054,0.777077,1.59963,0.615109,0.844881,0.933815,1.5674,0.573191,0.891491,0.43545,0.628799,0.611925,0.461694,0.358581,0.628178,0.263542,0.352503,0.2112,0.239718,0.170849,0.555707,0.43699,0.575171,0.379089,0.450558,0.229494,0.347693,0.316218,0.385243,0.33314,0.38827,0.348983,0.697522,0.460076,0.567677,0.461122,0.424474,0.219127,0.382197,0.349854,0.529413,0.330444,0.47765,0.314651,0.513047,0.598016,0.306287,0.711392,0.607895,0.752882,0.714672,0.803468,0.397823,0.460906,0.380211,0.602057,0.490369,0.757273,0.526541,0.670948,0.595638,0.654913,0.579024,0.613081,0.244557,0.510809,0.351936,0.531982,0.532591,0.728037,0.532783,0.629635,0.422044,0.648959,0.467929,0.661626,0.0252587,0.0434032,0.0655352,0.0250663,0.0396025,0.0359177,0.0456107,0.0256835,0.04647,0.102104,0.0446182,0.0188544,0.0590722,0.0132325,0.125766,0.0128335,0.0191189,0.0119469,0.0327067,0.0379351,0.0579206,0.0291145,0.0803867,0.00689608,0.042935,0.0528358,0.0850197,0.0205111,0.0485431,0.020597,0.0544203,0.0237234,0.482139,0.322382,0.450819,0.325538,0.475496,0.638974,0.482423,0.653024,0.0423651,0.0386439,0.066758,0.0214379
-3029.59,0.906267,0.265443,4,15,0,3107.48,2.6757,7.27488,2.35459,14.22,4.05588,2.13031,6.39906,0.818974,7.01029,2.03157,21.3196,6.01748,4.82191,2.13948,2.43836,10.919,10.3104,5.00783,3.95925,3.86645,7.92799,12.0205,3.50032,3.51917,0.782429,2.80406,1.27527,2.59585,4.48058,2.34208,5.834,5.74503,4.65331,7.04257,1.28934,25.2953,25.9835,4.6196,25.4353,1.87279,1.41314,2.42433,19.8186,10.9702,11.1064,11.6941,3.44057,15.4717,24.8541,11.289,6.12943,9.6196,6.11294,5.19551,1.51445,2.273,0.620946,5.82403,1.31554,4.82601,3.7336,9.51701,1.9121,5.66281,1.52616,0.723126,1.34445,0.971502,1.56185,0.505532,1.62058,0.845731,1.09135,1.3701,2.31942,1.04284,1.34975,1.90468,1.83239,0.730339,0.6423,0.354952,1.24226,0.962795,0.970676,1.74873,0.669443,1.22867,0.955805,1.71098,0.46027,2.07369,0.708231,1.68277,1.01834,1.198,0.523713,0.383102,0.521779,0.357815,0.19733,0.243776,0.236621,0.284042,0.548216,0.368257,0.514072,0.391501,0.498804,0.242218,0.481567,0.320954,0.365378,0.250052,0.311798,0.25391,0.706048,0.449541,0.623401,0.459761,0.369903,0.300066,0.419836,0.37781,0.509626,0.346874,0.439852,0.426524,0.409114,0.597283,0.406011,0.634641,0.76028,0.714817,0.741902,0.685843,0.403328,0.597257,0.45691,0.584996,0.426638,0.74052,0.400662,0.670163,0.599583,0.70458,0.649601,0.739868,0.254963,0.491155,0.322818,0.514148,0.597594,0.6423,0.492838,0.607568,0.480381,0.635164,0.534856,0.506394,0.0671728,0.0196154,0.0722101,0.00754407,0.0423907,0.0414064,0.0214772,0.0301152,0.0484562,0.0344868,0.0290177,0.0235027,0.0745577,0.0172617,0.117771,0.00888243,0.0350389,0.0453674,0.0386015,0.00622174,0.0389891,0.0593035,0.0537806,0.0260904,0.0325037,0.0576336,0.087326,0.0146217,0.00999356,0.0179621,0.0252917,0.0670819,0.464877,0.322986,0.443616,0.35904,0.491485,0.640385,0.5007,0.617953,0.0436378,0.0366296,0.0556845,0.0230075
-3035.17,0.783179,0.265443,4,15,0,3114.37,1.5779,3.23261,2.28149,5.08028,4.45849,5.70833,15.3211,2.36591,3.45038,2.55199,10.6717,2.86253,11.2642,5.37408,3.78449,3.82285,4.42234,2.72988,1.35471,8.42253,3.29547,4.3755,1.56011,4.64239,1.56616,4.27764,4.76169,7.21989,8.19493,1.99735,5.60068,3.40335,0.99085,8.91112,1.75424,14.4761,7.14755,17.147,30.1868,3.19045,0.627533,2.44745,10.8557,5.21886,4.36212,3.31126,0.798795,8.97497,2.46855,5.80476,8.16144,16.4279,1.64055,8.17837,0.384608,3.91941,2.00097,7.01261,3.97575,14.3927,5.81036,4.06905,14.4838,5.95098,0.659106,0.843153,0.676829,1.18534,2.38062,1.48765,2.4681,0.991043,1.39174,0.560869,0.661706,0.937353,1.16177,0.625645,0.566768,0.923547,1.17083,1.65367,1.657,0.232213,0.673089,1.66637,1.1195,0.659209,1.30511,1.26685,0.738258,0.760615,1.26217,1.17564,0.650964,0.68529,0.458983,0.317398,0.670606,0.307829,0.224297,0.220198,0.251728,0.246849,0.530149,0.398417,0.544382,0.279281,0.47701,0.25832,0.449277,0.344186,0.463996,0.260766,0.380268,0.264469,0.625469,0.536063,0.583631,0.453823,0.354173,0.289185,0.387035,0.342825,0.588917,0.270058,0.453924,0.362215,0.488424,0.645649,0.269929,0.689471,0.708527,0.732553,0.705867,0.738548,0.439469,0.51712,0.402736,0.704793,0.484808,0.699763,0.465671,0.643309,0.518264,0.727752,0.587269,0.694642,0.325655,0.42836,0.321104,0.522848,0.590628,0.657256,0.469784,0.64432,0.367501,0.713394,0.500477,0.602427,0.0525928,0.0369528,0.0594649,0.00269978,0.0671759,0.0472495,0.0424049,0.0146029,0.0303817,0.0844627,0.0528818,0.015926,0.0381824,0.0419169,0.0850518,0.0125044,0.0177401,0.011482,0.0324624,0.0408888,0.0488759,0.0355763,0.0952648,0.0233288,0.0551988,0.0535589,0.143182,0.0128548,0.0435827,0.0165481,0.0455992,0.0353578,0.465374,0.318801,0.465106,0.325185,0.490409,0.640231,0.465355,0.655045,0.0442163,0.0409684,0.0695389,0.0197704
-3033.18,0.908275,0.265443,4,15,0,3116.4,8.56434,4.76273,8.95896,2.12778,3.3057,1.96606,2.49411,1.24141,22.0866,5.54202,1.96002,6.52832,2.01119,0.438789,1.33226,2.2689,5.70442,2.31524,3.12231,2.75279,18.3887,1.53438,5.95651,8.00334,3.45961,2.45177,7.95403,3.70794,7.77486,7.03235,1.19842,4.4254,7.8136,11.4392,4.1315,1.46289,4.05089,10.2639,4.83912,6.58645,5.91006,9.66845,3.03009,1.91995,1.30132,4.94183,4.36331,7.33551,3.63873,2.12358,2.44503,10.217,5.49796,9.48103,14.9,3.24059,4.98932,4.40292,10.3108,8.55805,7.94102,5.84341,1.66193,10.4361,1.54038,1.11877,1.57692,0.211698,1.38337,1.10759,0.516968,0.59305,1.14681,0.89934,2.51727,1.63952,1.68494,1.26226,1.9686,2.00605,0.559724,0.37787,1.49297,0.513002,2.18656,0.919857,1.46281,1.561,0.187905,0.92169,2.26138,1.43796,0.462889,1.03364,2.67515,3.41961,0.562801,0.368815,0.563948,0.376126,0.324892,0.187343,0.256357,0.178777,0.537985,0.320359,0.531489,0.467967,0.47878,0.23563,0.492047,0.300242,0.34216,0.293409,0.292636,0.243016,0.703248,0.337407,0.606769,0.449812,0.453283,0.218741,0.411056,0.317373,0.532056,0.402319,0.428733,0.306425,0.401725,0.611075,0.376104,0.618826,0.625983,0.782698,0.703167,0.773013,0.368806,0.663279,0.424989,0.481402,0.473764,0.74618,0.402108,0.668219,0.635676,0.673234,0.614324,0.746197,0.260423,0.637862,0.35957,0.53936,0.489632,0.754402,0.540596,0.669422,0.455968,0.56171,0.464365,0.630077,0.0354735,0.0201094,0.0599481,0.00504747,0.0491243,0.0299588,0.0404763,0.0482106,0.0932093,0.0163624,0.0435216,0.0506319,0.047456,0.0181893,0.105845,0.0315391,0.0221641,0.0333579,0.0930398,0.0107865,0.0363281,0.0247317,0.0336613,0.0108284,0.0570853,0.0268566,0.0483482,0.0132046,0.0119758,0.0359707,0.106902,0.0634985,0.491901,0.295503,0.447879,0.329967,0.463997,0.678805,0.485653,0.640814,0.0441021,0.0256921,0.0664677,0.0292184
