# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_1_model
# start_datetime = 2025-04-17 16:59:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpbTN4Pd/standata-2d82ec6777dad2.json
# init = 2 (Default)
# random
#   seed = 1616955803
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-profile-1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.225221
# Diagonal elements of inverse mass matrix:
# 0.0016333, 0.00161472, 0.00163022, 0.00137422, 0.00127218, 0.00143895, 0.00160949, 0.00158407, 0.00151685, 0.00139658, 0.00137122, 0.00142042, 0.00159162, 0.00163814, 0.00162917, 0.00117307, 0.00125364, 0.00116822, 0.00135042, 0.00131825, 0.00128623, 0.00155893, 0.00144331, 0.00150905, 0.000382329, 0.000388934, 0.000565414, 0.000450171, 0.000348733, 0.000629703, 0.000109203
1809.01,0.928228,0.225221,5,31,0,-1793.77,0.492548,-0.791317,-0.00407773,0.538681,0.472913,-0.814888,0.00213783,0.557793,0.259509,-0.929854,-0.220676,0.325235,0.46318,-0.769517,0.0622188,0.623259,0.531803,-0.802254,0.062175,0.570975,0.221722,-0.911495,-0.167284,0.434503,1,0.865588,0.872409,0,0.500757,0.161408,0,0,0.461357,1,0.770208,0.866579,0,0.637793,0.0104778,0,0,0.49893,0.794512,0.794512,0.794512,0.794512,0.794512,0.68772,0.693139,0,0.397858,0.128241,0,0,0.366554,0.794512,0.611939,0.688508,0,0.506735,0.00832474,0,0,0.396406,1,0.865588,0.872409,0.865588,1,0.835973,0.872409,0.835973,1,1,0.770208,0.866579,0.770208,1,0.674128,0.866579,0.674128,1
1814.26,0.997011,0.225221,6,95,0,-1792.34,0.44232,-0.867497,-0.0296297,0.50886,0.439993,-0.857583,-0.0216359,0.55073,0.194885,-0.96922,-0.245251,0.316134,0.441212,-0.695331,0.0737773,0.556967,0.474924,-0.743487,0.0903624,0.552373,0.223899,-0.842762,-0.152937,0.345903,1,0.870367,0.864145,0,0.492403,0.11991,0,0,0.488749,1,0.767977,0.874048,0,0.640477,0.0297487,0,0,0.484928,0.774837,0.774837,0.774837,0.774837,0.774837,0.674393,0.669571,0,0.381532,0.092911,0,0,0.3787,0.774837,0.595057,0.677244,0,0.496265,0.0230504,0,0,0.37574,1,0.870367,0.864145,0.870367,1,0.811168,0.864145,0.811168,1,1,0.767977,0.874048,0.767977,1,0.690302,0.874048,0.690302,1
1819.34,0.965091,0.225221,5,31,0,-1804.35,0.441259,-0.839501,-0.0382051,0.49892,0.425223,-0.809126,-0.0386597,0.526983,0.182241,-0.964193,-0.27458,0.313722,0.397716,-0.77344,0.0205749,0.579223,0.454633,-0.785194,-0.00763582,0.568877,0.168454,-0.934596,-0.184078,0.363425,1,0.87066,0.872475,0,0.491886,0.151729,0,0,0.464506,1,0.773235,0.859016,0,0.63412,0.0507165,0,0,0.50943,0.799683,0.799683,0.799683,0.799683,0.799683,0.696252,0.697703,0,0.393353,0.121335,0,0,0.371458,0.799683,0.618343,0.686941,0,0.507095,0.0405571,0,0,0.407382,1,0.87066,0.872475,0.87066,1,0.834262,0.872475,0.834262,1,1,0.773235,0.859016,0.773235,1,0.696382,0.859016,0.696382,1
1813.84,0.948853,0.225221,4,15,0,-1800.94,0.466626,-0.808132,0.00878431,0.493881,0.444254,-0.787981,0.0336041,0.527287,0.197774,-0.944042,-0.197125,0.313217,0.419405,-0.780873,0.111198,0.569161,0.533039,-0.82317,0.112058,0.585826,0.229848,-0.964011,-0.115343,0.342576,1,0.866189,0.865112,0,0.499716,0.126327,0,0,0.48541,1,0.762675,0.87438,0,0.646781,0.0352346,0,0,0.483961,0.788308,0.788308,0.788308,0.788308,0.788308,0.682824,0.681974,0,0.39393,0.0995847,0,0,0.382653,0.788308,0.601223,0.689281,0,0.509863,0.0277757,0,0,0.38151,1,0.866189,0.865112,0.866189,1,0.812478,0.865112,0.812478,1,1,0.762675,0.87438,0.762675,1,0.689657,0.87438,0.689657,1
1812.08,0.904179,0.225221,4,15,0,-1800.25,0.473539,-0.814214,-0.0022809,0.495506,0.449151,-0.782583,0.036699,0.553329,0.186397,-0.946021,-0.199762,0.309661,0.41978,-0.784877,0.107971,0.579951,0.531512,-0.814052,0.106522,0.588513,0.234993,-0.961468,-0.114887,0.337364,1,0.865366,0.866904,0,0.50114,0.124363,0,0,0.482712,1,0.765084,0.873359,0,0.64393,0.03655,0,0,0.485704,0.78708,0.78708,0.78708,0.78708,0.78708,0.681112,0.682323,0,0.394438,0.0978839,0,0,0.379933,0.78708,0.602182,0.687403,0,0.506825,0.0287678,0,0,0.382288,1,0.865366,0.866904,0.865366,1,0.812513,0.866904,0.812513,1,1,0.765084,0.873359,0.765084,1,0.691728,0.873359,0.691728,1
1812.19,0.99505,0.225221,5,31,0,-1798.25,0.458344,-0.800899,-0.114329,0.525564,0.470063,-0.774291,-0.111883,0.530627,0.209153,-0.932504,-0.32002,0.30988,0.402853,-0.733072,-0.0185086,0.615516,0.478926,-0.768795,0.00330292,0.650253,0.150672,-0.831952,-0.242252,0.399913,1,0.870268,0.868593,0,0.492579,0.160738,0,0,0.468732,1,0.768602,0.861454,0,0.639727,0.0461233,0,0,0.505736,0.7907,0.7907,0.7907,0.7907,0.7907,0.688121,0.686796,0,0.389482,0.127096,0,0,0.370627,0.7907,0.607734,0.681152,0,0.505832,0.0364697,0,0,0.399886,1,0.870268,0.868593,0.870268,1,0.835084,0.868593,0.835084,1,1,0.768602,0.861454,0.768602,1,0.691622,0.861454,0.691622,1
