# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_1_model
# start_datetime = 2025-04-16 13:54:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmplApkU5/standata-1a9f7c52966b01.json
# init = 2 (Default)
# random
#   seed = 1303125814
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s.1,s.2,s.3,S_attraction.1.1,S_attraction.2.1,S_attraction.3.1,S_attraction.1.2,S_attraction.2.2,S_attraction.3.2,S_attraction.1.3,S_attraction.2.3,S_attraction.3.3,S_repulsion.1.1,S_repulsion.2.1,S_repulsion.3.1,S_repulsion.1.2,S_repulsion.2.2,S_repulsion.3.2,S_repulsion.1.3,S_repulsion.2.3,S_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.269186
# Diagonal elements of inverse mass matrix:
# 0.00152747, 0.00159725, 0.00174331, 0.00133035, 0.00134973, 0.00142221, 0.00161364, 0.00154317, 0.00150645, 0.00160986, 0.00166653, 0.00163235, 0.00147416, 0.00153037, 0.00152789, 0.00144704, 0.00142712, 0.00144249, 0.00152911, 0.00159963, 0.00154297, 0.00151208, 0.00158439, 0.00156275, 0.000480564, 0.000422399, 0.000480161, 0.000453072, 0.000472845, 0.000515955, 0.000133514, 0.000141428, 0.000136053
703.353,0.82235,0.269186,5,31,0,-687.614,0.430379,-0.817799,-0.0931842,0.483297,0.412392,-0.814618,-0.0865672,0.525135,0.188037,-0.954539,-0.273652,0.294684,0.431737,-0.791572,0.0476917,0.679011,0.460255,-0.79529,0.0625378,0.650043,0.259704,-0.926446,-0.21456,0.462511,1,0.86517,0.817401,0,0.501479,0.179617,0,0,0.547351,1,0.765773,0.861266,0,0.643111,0.0518023,0,0,0.505508,0.848741,0.855626,0.852411,0.848741,0.740262,0.696761,0,0.429078,0.153108,0,0,0.466568,0.848741,0.655215,0.734152,0,0.550262,0.0441568,0,0,0.4309,1,0.86517,0.817401,0.86517,1,0.797265,0.817401,0.797265,1,1,0.765773,0.861266,0.765773,1,0.692849,0.861266,0.692849,1
706.29,0.822943,0.269186,4,31,0,-689.011,0.44843,-0.869853,-0.0298015,0.539816,0.415945,-0.845727,-0.00176282,0.554202,0.201469,-0.980612,-0.197481,0.330588,0.437127,-0.785681,0.0676072,0.624287,0.466692,-0.739003,0.0774107,0.698477,0.227572,-0.89866,-0.164788,0.401947,1,0.865361,0.81807,0,0.501149,0.152515,0,0,0.554528,1,0.742408,0.85898,0,0.669949,0.0190253,0,0,0.511656,0.832527,0.840576,0.832151,0.832527,0.727401,0.680758,0,0.421254,0.126915,0,0,0.461451,0.832527,0.62405,0.714801,0,0.563142,0.0158319,0,0,0.425775,1,0.865361,0.81807,0.865361,1,0.784359,0.81807,0.784359,1,1,0.742408,0.85898,0.742408,1,0.650459,0.85898,0.650459,1
705.624,0.988239,0.269186,4,15,0,-697.615,0.441485,-0.87152,0.0100223,0.536866,0.432091,-0.828593,-0.0184101,0.543589,0.181861,-1.02351,-0.186652,0.367833,0.43332,-0.717081,0.0576406,0.694743,0.481728,-0.748409,0.101451,0.632033,0.238842,-0.901439,-0.149856,0.458233,1,0.861589,0.8121,0,0.507607,0.155646,0,0,0.562377,1,0.747943,0.85501,0,0.663762,0.0525285,0,0,0.515944,0.828874,0.84872,0.838577,0.828874,0.731248,0.681008,0,0.430816,0.130521,0,0,0.471596,0.828874,0.634795,0.716992,0,0.563348,0.0440491,0,0,0.432658,1,0.861589,0.8121,0.861589,1,0.778703,0.8121,0.778703,1,1,0.747943,0.85501,0.747943,1,0.674366,0.85501,0.674366,1
707.71,0.928846,0.269186,5,31,0,-691.725,0.498782,-0.827797,-0.0343908,0.563187,0.478252,-0.773604,-0.0426251,0.577905,0.253032,-0.93028,-0.216135,0.354121,0.410968,-0.732445,0.0738245,0.701679,0.495561,-0.74981,0.0397392,0.765307,0.216618,-0.893524,-0.160716,0.469345,1,0.866114,0.818275,0,0.499847,0.17119,0,0,0.548744,1,0.755959,0.859716,0,0.654619,0.0299109,0,0,0.509896,0.842025,0.856564,0.841366,0.842025,0.741882,0.688469,0,0.428151,0.144033,0,0,0.461694,0.842025,0.647527,0.723336,0,0.560723,0.025166,0,0,0.429009,1,0.866114,0.818275,0.866114,1,0.794288,0.818275,0.794288,1,1,0.755959,0.859716,0.755959,1,0.66949,0.859716,0.66949,1
700.409,0.684857,0.269186,4,31,0,-687.207,0.532113,-0.818528,-0.113214,0.528806,0.501274,-0.805064,-0.0963552,0.527752,0.257398,-0.991655,-0.274023,0.352745,0.415994,-0.784534,0.101105,0.727947,0.457721,-0.772217,0.137561,0.666367,0.218491,-0.88731,-0.108035,0.462053,1,0.872524,0.817283,0,0.488571,0.169314,0,0,0.550801,1,0.757798,0.865008,0,0.65249,0.0422339,0,0,0.499977,0.837013,0.861168,0.84182,0.837013,0.751389,0.688005,0,0.420742,0.142532,0,0,0.463675,0.837013,0.652591,0.728181,0,0.561903,0.0355533,0,0,0.42089,1,0.872524,0.817283,0.872524,1,0.795821,0.817283,0.795821,1,1,0.757798,0.865008,0.757798,1,0.683059,0.865008,0.683059,1
701.861,0.796093,0.269186,5,31,0,-680.366,0.386137,-0.872537,0.0224021,0.53817,0.410037,-0.819599,0.0118966,0.569777,0.174158,-1.00037,-0.183046,0.373745,0.451439,-0.684748,0.0162131,0.600554,0.470664,-0.71267,0.0528551,0.572697,0.226053,-0.83624,-0.188742,0.378731,1,0.864895,0.822473,0,0.501953,0.161254,0,0,0.545469,1,0.755122,0.855032,0,0.655584,0.0309514,0,0,0.517651,0.825499,0.85069,0.838195,0.825499,0.735758,0.689393,0,0.427006,0.135162,0,0,0.457209,0.825499,0.642375,0.716684,0,0.557699,0.0259433,0,0,0.433892,1,0.864895,0.822473,0.864895,1,0.792294,0.822473,0.792294,1,1,0.755122,0.855032,0.755122,1,0.665945,0.855032,0.665945,1
