# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_1_model
# start_datetime = 2025-04-17 16:59:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpbTN4Pd/standata-2d82ec6777dad2.json
# init = 2 (Default)
# random
#   seed = 1616955803
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-profile-3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.265043
# Diagonal elements of inverse mass matrix:
# 0.00145657, 0.00147142, 0.00141046, 0.00139404, 0.0015183, 0.00143998, 0.001388, 0.00138392, 0.00136246, 0.00116517, 0.00120024, 0.00121286, 0.00134548, 0.00127609, 0.00138306, 0.00145869, 0.00138718, 0.00151481, 0.00137084, 0.00134849, 0.00136234, 0.00125016, 0.00108584, 0.00114565, 0.000437051, 0.000469136, 0.000586569, 0.000435166, 0.000427889, 0.000562266, 0.000118457
1813.22,0.828457,0.265043,4,15,0,-1803.02,0.437545,-0.870266,-0.0936699,0.456276,0.420043,-0.886585,-0.0942319,0.486758,0.163029,-1.02242,-0.322324,0.268203,0.446478,-0.799275,0.0817352,0.64648,0.477298,-0.779721,0.0829963,0.604084,0.239366,-0.955441,-0.125724,0.437841,1,0.865397,0.863325,0,0.501087,0.166927,0,0,0.476241,1,0.770749,0.86229,0,0.637139,0.049619,0,0,0.503978,0.780439,0.780439,0.780439,0.780439,0.780439,0.67539,0.673773,0,0.391068,0.130276,0,0,0.371677,0.780439,0.601523,0.672965,0,0.497248,0.0387246,0,0,0.393324,1,0.865397,0.863325,0.865397,1,0.830764,0.863325,0.830764,1,1,0.770749,0.86229,0.770749,1,0.696223,0.86229,0.696223,1
1816.45,0.901921,0.265043,4,15,0,-1798.76,0.443337,-0.815731,-0.0924614,0.494309,0.438305,-0.763138,-0.0672531,0.529387,0.185566,-0.927681,-0.292082,0.313101,0.409422,-0.783528,0.0210987,0.590713,0.453183,-0.760839,-0.00875018,0.579227,0.207309,-0.95737,-0.194984,0.346136,1,0.873485,0.870225,0,0.486851,0.119458,0,0,0.477952,1,0.765327,0.873349,0,0.643641,0.0300827,0,0,0.486165,0.783997,0.783997,0.783997,0.783997,0.783997,0.684809,0.682253,0,0.381689,0.0936544,0,0,0.374713,0.783997,0.600014,0.684703,0,0.504613,0.0235848,0,0,0.381152,1,0.873485,0.870225,0.873485,1,0.818287,0.870225,0.818287,1,1,0.765327,0.873349,0.765327,1,0.68776,0.873349,0.68776,1
1815.65,0.900637,0.265043,5,31,0,-1804.7,0.424643,-0.841179,-0.113484,0.493718,0.41244,-0.790524,-0.102988,0.530259,0.183895,-0.957585,-0.313037,0.304123,0.423751,-0.79064,0.0771698,0.586898,0.474531,-0.852437,0.0998864,0.561553,0.186685,-0.910831,-0.163218,0.345973,1,0.87083,0.87097,0,0.491585,0.154995,0,0,0.466248,1,0.768161,0.864399,0,0.640257,0.0547321,0,0,0.499818,0.799307,0.799307,0.799307,0.799307,0.799307,0.69606,0.696173,0,0.392927,0.123888,0,0,0.372675,0.799307,0.613996,0.69092,0,0.511762,0.0437478,0,0,0.399508,1,0.87083,0.87097,0.87083,1,0.83466,0.87097,0.83466,1,1,0.768161,0.864399,0.768161,1,0.69904,0.864399,0.69904,1
1813.38,0.903542,0.265043,5,31,0,-1800.71,0.525479,-0.818009,-0.0065932,0.510902,0.514023,-0.797067,-0.0323065,0.531816,0.26768,-0.96049,-0.222929,0.328878,0.440944,-0.722507,0.0107539,0.683893,0.51123,-0.813451,0.0271678,0.673708,0.225904,-0.885522,-0.223908,0.433953,1,0.868684,0.869781,0,0.495366,0.147452,0,0,0.470891,1,0.773022,0.86573,0,0.63438,0.0567118,0,0,0.497287,0.799492,0.799492,0.799492,0.799492,0.799492,0.694506,0.695383,0,0.396041,0.117886,0,0,0.376474,0.799492,0.618025,0.692144,0,0.507181,0.0453406,0,0,0.397577,1,0.868684,0.869781,0.868684,1,0.828608,0.869781,0.828608,1,1,0.773022,0.86573,0.773022,1,0.705205,0.86573,0.705205,1
1809.7,0.798297,0.265043,4,31,0,-1796.94,0.538668,-0.839447,-0.0383954,0.513103,0.529917,-0.830168,-0.0700307,0.539928,0.273161,-0.95732,-0.247955,0.327143,0.363094,-0.781937,-0.00260415,0.683848,0.3975,-0.761172,-0.0205505,0.636337,0.165371,-0.978032,-0.226841,0.426919,1,0.871744,0.872127,0,0.489961,0.137568,0,0,0.469541,1,0.76712,0.87338,0,0.641503,0.0393245,0,0,0.485449,0.787755,0.787755,0.787755,0.787755,0.787755,0.686721,0.687022,0,0.385969,0.10837,0,0,0.369883,0.787755,0.604303,0.688009,0,0.505347,0.0309781,0,0,0.382415,1,0.871744,0.872127,0.871744,1,0.827675,0.872127,0.827675,1,1,0.76712,0.87338,0.76712,1,0.695215,0.87338,0.695215,1
1810.33,0.885938,0.265043,5,31,0,-1787.15,0.469479,-0.905365,-0.0288466,0.521078,0.450015,-0.902811,-0.0512235,0.534078,0.219695,-1.02379,-0.246341,0.332371,0.325737,-0.788221,-0.0116174,0.691945,0.409491,-0.83364,-0.00249602,0.681826,0.115265,-0.955711,-0.242871,0.429158,1,0.856495,0.86165,0,0.516155,0.147327,0,0,0.485648,1,0.768359,0.862214,0,0.640019,0.0324554,0,0,0.505504,0.78698,0.78698,0.78698,0.78698,0.78698,0.674045,0.678102,0,0.406204,0.115943,0,0,0.382196,0.78698,0.604683,0.678545,0,0.503683,0.0255417,0,0,0.397822,1,0.856495,0.86165,0.856495,1,0.814042,0.86165,0.814042,1,1,0.768359,0.862214,0.768359,1,0.683261,0.862214,0.683261,1
