# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_1_model
# start_datetime = 2025-04-17 17:19:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpbTN4Pd/standata-2d82ec3afd50fb.json
# init = 2 (Default)
# random
#   seed = 150422271
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_1/bayes_price_1-profile-4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.266997
# Diagonal elements of inverse mass matrix:
# 0.00148447, 0.00139417, 0.00147062, 0.00143694, 0.00137944, 0.00135679, 0.00130403, 0.00134666, 0.00121935, 0.00132738, 0.00135167, 0.00125625, 0.00103738, 0.00117291, 0.00106084, 0.00133062, 0.00139581, 0.00133798, 0.00151083, 0.00154654, 0.00151032, 0.00144704, 0.00138914, 0.00151907, 0.000384166, 0.000433303, 0.000597486, 0.000423566, 0.000411008, 0.000571602, 0.000110167
1817.98,0.940556,0.266997,5,31,0,-1807.82,0.419973,-0.880226,-0.0123556,0.494756,0.394793,-0.882289,-0.0300331,0.530286,0.184645,-1.01084,-0.225831,0.304396,0.385883,-0.759193,0.0409692,0.550528,0.461239,-0.771294,0.0608723,0.546135,0.200193,-0.886679,-0.197738,0.369197,1,0.863963,0.861263,0,0.503554,0.165917,0,0,0.48031,1,0.763506,0.861185,0,0.6458,0.0404184,0,0,0.506682,0.779599,0.779599,0.779599,0.779599,0.779599,0.673545,0.67144,0,0.39257,0.129349,0,0,0.374449,0.779599,0.595229,0.671379,0,0.503465,0.0315101,0,0,0.395009,1,0.863963,0.861263,0.863963,1,0.827648,0.861263,0.827648,1,1,0.763506,0.861185,0.763506,1,0.683622,0.861185,0.683622,1
1814.34,0.835844,0.266997,4,15,0,-1801.32,0.473285,-0.878611,-0.0840406,0.482977,0.443141,-0.875816,-0.0858758,0.516676,0.242425,-1.00405,-0.283739,0.290349,0.388739,-0.833569,0.00772703,0.591673,0.445531,-0.872098,0.0177067,0.627086,0.211725,-0.997474,-0.214381,0.40324,1,0.865157,0.868128,0,0.5015,0.129055,0,0,0.479269,1,0.763544,0.867901,0,0.645756,0.0374353,0,0,0.495324,0.777718,0.777718,0.777718,0.777718,0.777718,0.672849,0.675159,0,0.390026,0.100369,0,0,0.372736,0.777718,0.593822,0.674983,0,0.502216,0.0291141,0,0,0.385222,1,0.865157,0.868128,0.865157,1,0.815789,0.868128,0.815789,1,1,0.763544,0.867901,0.763544,1,0.686855,0.867901,0.686855,1
1820.21,0.992524,0.266997,5,31,0,-1803.37,0.425489,-0.804637,-0.0893202,0.536665,0.395563,-0.789915,-0.073782,0.539132,0.18309,-0.919017,-0.270957,0.326295,0.463618,-0.75043,0.0335756,0.677511,0.498204,-0.760344,0.050481,0.668512,0.265317,-0.861092,-0.18215,0.448935,1,0.874488,0.871936,0,0.485047,0.14248,0,0,0.46843,1,0.775865,0.865217,0,0.630899,0.04876,0,0,0.499021,0.790919,0.790919,0.790919,0.790919,0.790919,0.691649,0.689631,0,0.383632,0.11269,0,0,0.37049,0.790919,0.613646,0.684316,0,0.49899,0.0385652,0,0,0.394685,1,0.874488,0.871936,0.874488,1,0.831608,0.871936,0.831608,1,1,0.775865,0.865217,0.775865,1,0.702054,0.865217,0.702054,1
1822.29,0.999824,0.266997,5,31,0,-1813.85,0.401885,-0.865825,-0.011926,0.486331,0.403002,-0.834606,0.00631398,0.501169,0.130233,-0.997144,-0.194745,0.269592,0.321011,-0.783675,0.0427063,0.595995,0.395675,-0.803327,0.0539007,0.585827,0.107229,-0.921372,-0.170632,0.371573,1,0.87018,0.870304,0,0.492733,0.14164,0,0,0.471708,1,0.774059,0.865121,0,0.633114,0.0505641,0,0,0.499008,0.786656,0.786656,0.786656,0.786656,0.786656,0.684533,0.68463,0,0.387612,0.111422,0,0,0.371072,0.786656,0.608918,0.680553,0,0.498043,0.0397765,0,0,0.392548,1,0.87018,0.870304,0.87018,1,0.827112,0.870304,0.827112,1,1,0.774059,0.865121,0.774059,1,0.701667,0.865121,0.701667,1
1820.26,0.765384,0.266997,5,31,0,-1806.79,0.441636,-0.782202,-0.0950945,0.546206,0.411616,-0.770872,-0.0945696,0.558839,0.192092,-0.901551,-0.294653,0.362254,0.470671,-0.710115,0.0754681,0.675609,0.539076,-0.740489,0.0748784,0.665133,0.260178,-0.85081,-0.138605,0.451663,1,0.86381,0.863418,0,0.503818,0.150882,0,0,0.481398,1,0.772781,0.869176,0,0.634673,0.0302575,0,0,0.493577,0.786785,0.786785,0.786785,0.786785,0.786785,0.679632,0.679324,0,0.396396,0.118712,0,0,0.378757,0.786785,0.608012,0.683854,0,0.499351,0.0238061,0,0,0.388339,1,0.86381,0.863418,0.86381,1,0.821846,0.863418,0.821846,1,1,0.772781,0.869176,0.772781,1,0.690886,0.869176,0.690886,1
1817.41,0.694846,0.266997,5,31,0,-1806.05,0.482285,-0.875753,-0.0209526,0.502374,0.450334,-0.835091,-0.0320575,0.53837,0.198114,-1.00613,-0.213892,0.293442,0.337531,-0.806813,0.0177543,0.569097,0.399969,-0.843536,0.0173756,0.545268,0.121794,-0.94372,-0.19353,0.357846,1,0.875785,0.867874,0,0.482702,0.140297,0,0,0.476562,1,0.774532,0.87527,0,0.632535,0.0616039,0,0,0.479694,0.793747,0.793747,0.793747,0.793747,0.793747,0.695152,0.688873,0,0.383143,0.111361,0,0,0.37827,0.793747,0.614783,0.694743,0,0.502073,0.0488979,0,0,0.380756,1,0.875785,0.867874,0.875785,1,0.827793,0.867874,0.827793,1,1,0.774532,0.87527,0.774532,1,0.716892,0.87527,0.716892,1
