# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_2_model
# start_datetime = 2025-05-15 00:20:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpLwC2aq/standata-278a9d4bc4127f.json
# init = 2 (Default)
# random
#   seed = 1011562871
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_2/bayes_price_2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_2/bayes_price_2-profile-1.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.249315
# Diagonal elements of inverse mass matrix:
# 0.00146681, 0.00147015, 0.00145757, 0.00148591, 0.00133832, 0.00138268, 0.00148251, 0.00146392, 0.00140701, 0.00146367, 0.00137266, 0.0013613, 0.00139421, 0.00126881, 0.00134099, 0.00141678, 0.00160233, 0.00142541, 0.00131937, 0.00133532, 0.00128662, 0.00155941, 0.00140949, 0.00148835, 0.000424761, 0.000473018, 0.000562598, 0.000523068, 0.000450793, 0.000627763, 0.000121319
1816.49,0.865416,0.249315,5,31,0,-1796.87,0.426733,-0.825363,-0.0908333,0.55557,0.42844,-0.809687,-0.0686588,0.568664,0.185114,-0.98666,-0.2538,0.362209,0.336801,-0.768354,0.0532079,0.588553,0.400742,-0.793083,0.0605773,0.557585,0.140903,-0.907709,-0.146656,0.384678,1,0.875415,0.882431,0,0.483372,0.119551,0,0,0.454999,1,0.776541,0.880464,0,0.630067,0.0541788,0,0,0.471008,0.813829,0.813829,0.813829,0.813829,0.813829,0.712438,0.718148,0,0.393383,0.0972941,0,0,0.370291,0.813829,0.631972,0.716547,0,0.512767,0.0440923,0,0,0.38332,1,0.875415,0.882431,0.875415,1,0.830281,0.882431,0.830281,1,1,0.776541,0.880464,0.776541,1,0.717852,0.880464,0.717852,1
1817.1,0.760161,0.249315,4,15,0,-1797.91,0.423283,-0.844312,-0.0501473,0.553996,0.385638,-0.803633,-0.0739303,0.551605,0.161555,-0.99038,-0.272815,0.34252,0.377743,-0.709823,0.0796206,0.686468,0.420687,-0.773592,0.0641962,0.656817,0.178126,-0.859152,-0.156741,0.458987,1,0.874179,0.867968,0,0.485604,0.163398,0,0,0.46897,1,0.778817,0.868587,0,0.627252,0.023037,0,0,0.495001,0.784531,0.784531,0.784531,0.784531,0.784531,0.685821,0.680948,0,0.380971,0.128191,0,0,0.367922,0.784531,0.611006,0.681433,0,0.492098,0.0180732,0,0,0.388343,1,0.874179,0.867968,0.874179,1,0.838106,0.867968,0.838106,1,1,0.778817,0.868587,0.778817,1,0.69092,0.868587,0.69092,1
1821.24,0.970667,0.249315,5,31,0,-1807.48,0.423602,-0.84105,0.00452661,0.498587,0.40117,-0.815933,0.0238323,0.495207,0.171971,-1.00064,-0.185861,0.297282,0.387379,-0.749522,0.0102719,0.629397,0.469839,-0.761356,0.0219673,0.590286,0.174807,-0.891114,-0.214113,0.433204,1,0.866448,0.873554,0,0.499267,0.1249,0,0,0.470428,1,0.767366,0.871655,0,0.641209,0.0567763,0,0,0.48682,0.785477,0.785477,0.785477,0.785477,0.785477,0.680575,0.686157,0,0.392162,0.0981065,0,0,0.36951,0.785477,0.602748,0.684665,0,0.503655,0.0445965,0,0,0.382386,1,0.866448,0.873554,0.866448,1,0.819249,0.873554,0.819249,1,1,0.767366,0.871655,0.767366,1,0.705284,0.871655,0.705284,1
1809.35,0.558344,0.249315,4,31,0,-1796.23,0.463371,-0.809084,-0.0150137,0.480288,0.426559,-0.811964,0.00341431,0.488295,0.190498,-0.93271,-0.188946,0.231137,0.388397,-0.713638,0.0507626,0.535226,0.409119,-0.710181,0.0534674,0.612575,0.177016,-0.8147,-0.149059,0.351717,1,0.867725,0.869319,0,0.497044,0.12891,0,0,0.477145,1,0.763452,0.872788,0,0.645864,0.0427108,0,0,0.486227,0.79546,0.79546,0.79546,0.79546,0.79546,0.69024,0.691508,0,0.395379,0.102543,0,0,0.379549,0.79546,0.607296,0.694268,0,0.513759,0.0339747,0,0,0.386774,1,0.867725,0.869319,0.867725,1,0.818404,0.869319,0.818404,1,1,0.763452,0.872788,0.763452,1,0.693918,0.872788,0.693918,1
1820.56,0.991946,0.249315,5,31,0,-1795.87,0.385902,-0.853452,0.00628019,0.503899,0.385501,-0.848995,0.0155331,0.541665,0.156062,-0.979983,-0.176827,0.278361,0.387014,-0.792703,-0.00570976,0.641586,0.43644,-0.816521,0.0112916,0.619691,0.168065,-0.929492,-0.207388,0.422767,1,0.874169,0.871854,0,0.485622,0.15394,0,0,0.464945,1,0.783853,0.86872,0,0.620947,0.0346078,0,0,0.494093,0.803903,0.803903,0.803903,0.803903,0.803903,0.702747,0.700885,0,0.390393,0.123753,0,0,0.37377,0.803903,0.630141,0.698366,0,0.499181,0.0278213,0,0,0.397203,1,0.874169,0.871854,0.874169,1,0.836904,0.871854,0.836904,1,1,0.783853,0.86872,0.783853,1,0.702438,0.86872,0.702438,1
1816.25,0.751415,0.249315,5,31,0,-1800.38,0.45191,-0.818347,-0.0420455,0.559807,0.421012,-0.794129,-0.0576645,0.58827,0.170788,-0.932098,-0.262923,0.388074,0.382321,-0.837108,0.0981701,0.618789,0.417386,-0.832951,0.117943,0.583628,0.146474,-0.963662,-0.0913796,0.387749,1,0.867085,0.867054,0,0.498161,0.163553,0,0,0.470604,1,0.756648,0.865417,0,0.653823,0.0621599,0,0,0.497181,0.791867,0.791867,0.791867,0.791867,0.791867,0.686616,0.686591,0,0.394477,0.129512,0,0,0.372656,0.791867,0.599164,0.685295,0,0.517741,0.0492224,0,0,0.393702,1,0.867085,0.867054,0.867085,1,0.833285,0.867054,0.833285,1,1,0.756648,0.865417,0.756648,1,0.695457,0.865417,0.695457,1
1812.71,0.825965,0.249315,4,15,0,-1798.43,0.432791,-0.798453,-0.0908555,0.53186,0.427324,-0.797508,-0.0768903,0.58217,0.200419,-0.919133,-0.263242,0.350836,0.373761,-0.822435,0.152845,0.615698,0.404375,-0.877877,0.0972257,0.595207,0.17789,-0.972133,-0.0895376,0.368441,1,0.864637,0.869552,0,0.502397,0.143797,0,0,0.472443,1,0.75658,0.864637,0,0.653901,0.0650333,0,0,0.498171,0.789865,0.789865,0.789865,0.789865,0.789865,0.682947,0.686828,0,0.396826,0.11358,0,0,0.373166,0.789865,0.597596,0.682946,0,0.516493,0.0513676,0,0,0.393488,1,0.864637,0.869552,0.864637,1,0.82409,0.869552,0.82409,1,1,0.75658,0.864637,0.75658,1,0.696692,0.864637,0.696692,1
1809.29,0.858913,0.249315,5,31,0,-1789.02,0.346687,-0.902224,-0.000375226,0.477085,0.372766,-0.849862,-0.00548978,0.499857,0.0986233,-1.03157,-0.212333,0.303987,0.389432,-0.766458,-0.0118192,0.592651,0.468169,-0.846817,-0.0441901,0.576233,0.182717,-0.925844,-0.248448,0.346367,1,0.877088,0.873293,0,0.48033,0.140774,0,0,0.466415,1,0.774445,0.866435,0,0.632641,0.0633537,0,0,0.495253,0.804063,0.804063,0.804063,0.804063,0.804063,0.705234,0.702183,0,0.386216,0.113191,0,0,0.375027,0.804063,0.622703,0.696669,0,0.508684,0.0509404,0,0,0.398215,1,0.877088,0.873293,0.877088,1,0.833572,0.873293,0.833572,1,1,0.774445,0.866435,0.774445,1,0.711087,0.866435,0.711087,1
1814.15,0.879883,0.249315,4,15,0,-1787.82,0.420342,-0.796392,-0.0947651,0.516796,0.395894,-0.743215,-0.100223,0.548341,0.12537,-0.926577,-0.29946,0.3662,0.394725,-0.73884,0.0160913,0.668889,0.445841,-0.751002,0.0380335,0.575992,0.175028,-0.883026,-0.206534,0.433253,1,0.861874,0.866388,0,0.507122,0.141308,0,0,0.478962,1,0.766936,0.871544,0,0.641724,0.0159332,0,0,0.490058,0.78339,0.78339,0.78339,0.78339,0.78339,0.675184,0.67872,0,0.397275,0.110699,0,0,0.375214,0.78339,0.60081,0.682759,0,0.50272,0.0124819,0,0,0.383906,1,0.861874,0.866388,0.861874,1,0.818377,0.866388,0.818377,1,1,0.766936,0.871544,0.766936,1,0.678643,0.871544,0.678643,1
1821.2,0.97253,0.249315,5,31,0,-1801.25,0.459748,-0.89177,0.0122012,0.489264,0.423716,-0.874454,-0.0147519,0.540946,0.205262,-0.991945,-0.19861,0.318875,0.410798,-0.774148,0.111994,0.621292,0.44835,-0.804763,0.121656,0.58188,0.193907,-0.912237,-0.123021,0.372289,1,0.867126,0.871958,0,0.498088,0.138554,0,0,0.469565,1,0.7716,0.87067,0,0.636108,0.0384124,0,0,0.490365,0.786127,0.786127,0.786127,0.786127,0.786127,0.681671,0.68547,0,0.391561,0.108921,0,0,0.369137,0.786127,0.606575,0.684457,0,0.500061,0.030197,0,0,0.385489,1,0.867126,0.871958,0.867126,1,0.82511,0.871958,0.82511,1,1,0.7716,0.87067,0.7716,1,0.696244,0.87067,0.696244,1
1826.32,0.987685,0.249315,5,31,0,-1812.35,0.413674,-0.835067,-0.106714,0.525765,0.400781,-0.822049,-0.0962058,0.541615,0.15214,-0.95805,-0.309786,0.32374,0.410156,-0.727024,0.036797,0.594966,0.47225,-0.769229,0.0721324,0.582714,0.231516,-0.87666,-0.18233,0.383792,1,0.873561,0.870492,0,0.486714,0.148291,0,0,0.469311,1,0.772527,0.869647,0,0.634982,0.0418767,0,0,0.491896,0.787343,0.787343,0.787343,0.787343,0.787343,0.687792,0.685376,0,0.383211,0.116756,0,0,0.369509,0.787343,0.608244,0.68471,0,0.499948,0.0329713,0,0,0.38729,1,0.873561,0.870492,0.873561,1,0.832604,0.870492,0.832604,1,1,0.772527,0.869647,0.772527,1,0.698417,0.869647,0.698417,1
1827.74,0.638859,0.249315,4,23,0,-1808.46,0.417918,-0.843232,-0.0937824,0.505154,0.409086,-0.825789,-0.0960299,0.54568,0.148152,-0.956393,-0.31072,0.327844,0.42748,-0.722781,0.0509823,0.592166,0.46635,-0.759826,0.0676927,0.603047,0.220486,-0.873952,-0.157946,0.373002,1,0.872488,0.871144,0,0.488635,0.146747,0,0,0.468586,1,0.769276,0.868935,0,0.638917,0.0416277,0,0,0.493173,0.792957,0.792957,0.792957,0.792957,0.792957,0.691846,0.69078,0,0.387466,0.116364,0,0,0.371568,0.792957,0.610003,0.689028,0,0.506633,0.033009,0,0,0.391065,1,0.872488,0.871144,0.872488,1,0.831769,0.871144,0.831769,1,1,0.769276,0.868935,0.769276,1,0.695047,0.868935,0.695047,1
1823.24,0.851272,0.249315,4,15,0,-1813.67,0.501813,-0.898261,-0.0473933,0.499532,0.471433,-0.873774,-0.0646908,0.55396,0.246546,-1.04511,-0.244929,0.297758,0.388877,-0.765254,0.0166351,0.646986,0.467551,-0.774304,0.0322774,0.624372,0.184034,-0.912215,-0.172422,0.414525,1,0.869371,0.868116,0,0.49416,0.150172,0,0,0.473099,1,0.772997,0.863892,0,0.63441,0.0491071,0,0,0.501277,0.790272,0.790272,0.790272,0.790272,0.790272,0.68704,0.686048,0,0.390521,0.118677,0,0,0.373877,0.790272,0.610878,0.68271,0,0.501356,0.038808,0,0,0.396145,1,0.869371,0.868116,0.869371,1,0.828924,0.868116,0.828924,1,1,0.772997,0.863892,0.772997,1,0.69894,0.863892,0.69894,1
1821.82,0.892506,0.249315,5,31,0,-1811.48,0.380896,-0.757868,-0.0239554,0.49079,0.364694,-0.750298,-0.0184339,0.50733,0.108882,-0.872002,-0.255128,0.298491,0.399763,-0.735062,0.0734675,0.590848,0.434088,-0.770343,0.075432,0.58321,0.199271,-0.904067,-0.148311,0.364074,1,0.874061,0.870398,0,0.485816,0.146546,0,0,0.470033,1,0.768387,0.862153,0,0.639986,0.0534743,0,0,0.503817,0.788928,0.788928,0.788928,0.788928,0.788928,0.689572,0.686682,0,0.383274,0.115614,0,0,0.370822,0.788928,0.606202,0.680177,0,0.504903,0.0421874,0,0,0.397476,1,0.874061,0.870398,0.874061,1,0.831976,0.870398,0.831976,1,1,0.768387,0.862153,0.768387,1,0.69669,0.862153,0.69669,1
