# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bayes_price_2_model
# start_datetime = 2025-05-15 00:20:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpLwC2aq/standata-278a9d4bc4127f.json
# init = 2 (Default)
# random
#   seed = 1011562871
# output
#   file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_2/bayes_price_2-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /work/pi_alc_umass_edu/spconway/scratch/ce_rating/analysis/bayes_price/bayes_price_2/bayes_price_2-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=bayes_price_2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_attraction.1.1,mu_attraction.2.1,mu_attraction.3.1,mu_attraction.4.1,mu_attraction.1.2,mu_attraction.2.2,mu_attraction.3.2,mu_attraction.4.2,mu_attraction.1.3,mu_attraction.2.3,mu_attraction.3.3,mu_attraction.4.3,mu_repulsion.1.1,mu_repulsion.2.1,mu_repulsion.3.1,mu_repulsion.4.1,mu_repulsion.1.2,mu_repulsion.2.2,mu_repulsion.3.2,mu_repulsion.4.2,mu_repulsion.1.3,mu_repulsion.2.3,mu_repulsion.3.3,mu_repulsion.4.3,omega_attraction.1.1,omega_attraction.2.1,omega_attraction.3.1,omega_attraction.1.2,omega_attraction.2.2,omega_attraction.3.2,omega_attraction.1.3,omega_attraction.2.3,omega_attraction.3.3,omega_repulsion.1.1,omega_repulsion.2.1,omega_repulsion.3.1,omega_repulsion.1.2,omega_repulsion.2.2,omega_repulsion.3.2,omega_repulsion.1.3,omega_repulsion.2.3,omega_repulsion.3.3,s,sigma.1,sigma.2,sigma.3,L_attraction.1.1,L_attraction.2.1,L_attraction.3.1,L_attraction.1.2,L_attraction.2.2,L_attraction.3.2,L_attraction.1.3,L_attraction.2.3,L_attraction.3.3,L_repulsion.1.1,L_repulsion.2.1,L_repulsion.3.1,L_repulsion.1.2,L_repulsion.2.2,L_repulsion.3.2,L_repulsion.1.3,L_repulsion.2.3,L_repulsion.3.3,cor_attraction.1.1,cor_attraction.2.1,cor_attraction.3.1,cor_attraction.1.2,cor_attraction.2.2,cor_attraction.3.2,cor_attraction.1.3,cor_attraction.2.3,cor_attraction.3.3,cor_repulsion.1.1,cor_repulsion.2.1,cor_repulsion.3.1,cor_repulsion.1.2,cor_repulsion.2.2,cor_repulsion.3.2,cor_repulsion.1.3,cor_repulsion.2.3,cor_repulsion.3.3
# Adaptation terminated
# Step size = 0.250985
# Diagonal elements of inverse mass matrix:
# 0.00138585, 0.00135802, 0.0013068, 0.00153942, 0.00139652, 0.00143952, 0.00126012, 0.0012496, 0.00120335, 0.00139033, 0.0012984, 0.00135977, 0.00137095, 0.00135737, 0.0013284, 0.00151611, 0.00149453, 0.00143314, 0.00150831, 0.00143628, 0.00153679, 0.00127051, 0.00129925, 0.00130553, 0.000406721, 0.000374388, 0.000594077, 0.000423999, 0.000412357, 0.000619587, 0.000109386
1816.02,0.920443,0.250985,5,31,0,-1800.24,0.418905,-0.83997,-0.0375141,0.509508,0.402779,-0.843789,-0.0468398,0.532894,0.144357,-0.962863,-0.224467,0.357363,0.369391,-0.761988,-0.0628418,0.650016,0.401073,-0.730669,-0.0630918,0.657523,0.176955,-0.903655,-0.277245,0.417859,1,0.8729,0.873774,0,0.487899,0.14508,0,0,0.464188,1,0.779331,0.872854,0,0.626613,0.0591595,0,0,0.484383,0.802502,0.802502,0.802502,0.802502,0.802502,0.700504,0.701206,0,0.39154,0.116427,0,0,0.372512,0.802502,0.625415,0.700467,0,0.502858,0.0474756,0,0,0.388718,1,0.8729,0.873774,0.8729,1,0.833502,0.873774,0.833502,1,1,0.779331,0.872854,0.779331,1,0.717312,0.872854,0.717312,1
1808.99,0.839729,0.250985,5,31,0,-1791.08,0.406367,-0.824145,-0.0163774,0.57586,0.369661,-0.777906,0.00104185,0.589147,0.168901,-0.95122,-0.214117,0.350489,0.369916,-0.768156,-0.0467971,0.642809,0.484189,-0.775116,0.00257936,0.657984,0.148513,-0.934634,-0.267746,0.408295,1,0.880626,0.884286,0,0.473813,0.141927,0,0,0.444853,1,0.7739,0.86536,0,0.633307,0.0448765,0,0,0.499137,0.800045,0.800045,0.800045,0.800045,0.800045,0.70454,0.707469,0,0.379071,0.113548,0,0,0.355903,0.800045,0.619155,0.692327,0,0.506674,0.0359032,0,0,0.399332,1,0.880626,0.884286,0.880626,1,0.845972,0.884286,0.845972,1,1,0.7739,0.86536,0.7739,1,0.698123,0.86536,0.698123,1
1820.57,1,0.250985,4,15,0,-1802.49,0.403402,-0.791527,-0.00414142,0.551656,0.393538,-0.78252,-0.0111667,0.579882,0.12906,-0.927119,-0.192312,0.394634,0.401386,-0.795049,-0.0241928,0.643831,0.434598,-0.805503,-0.0346677,0.644529,0.198922,-0.91913,-0.23913,0.421051,1,0.871557,0.875181,0,0.490294,0.13723,0,0,0.463924,1,0.772676,0.869093,0,0.634801,0.0246307,0,0,0.494035,0.801102,0.801102,0.801102,0.801102,0.801102,0.698206,0.701109,0,0.392775,0.109936,0,0,0.371651,0.801102,0.618992,0.696232,0,0.50854,0.0197317,0,0,0.395773,1,0.871557,0.875181,0.871557,1,0.830054,0.875181,0.830054,1,1,0.772676,0.869093,0.772676,1,0.687162,0.869093,0.687162,1
1816.21,0.652418,0.250985,4,31,0,-1803.05,0.395724,-0.793378,-0.072352,0.520214,0.385226,-0.776507,-0.0659897,0.578788,0.167298,-0.915854,-0.275168,0.353599,0.354618,-0.774126,-0.0323963,0.647239,0.44003,-0.772905,-0.0352733,0.649829,0.14084,-0.911148,-0.294714,0.45128,1,0.870726,0.873777,0,0.491769,0.128661,0,0,0.469,1,0.774991,0.872808,0,0.631972,0.0416946,0,0,0.48628,0.791158,0.791158,0.791158,0.791158,0.791158,0.688882,0.691295,0,0.389067,0.101791,0,0,0.371053,0.791158,0.61314,0.690529,0,0.49999,0.032987,0,0,0.384724,1,0.870726,0.873777,0.870726,1,0.824091,0.873777,0.824091,1,1,0.774991,0.872808,0.774991,1,0.702768,0.872808,0.702768,1
1816.51,0.998162,0.250985,5,31,0,-1801.49,0.348223,-0.84979,-0.114904,0.531271,0.33883,-0.821809,-0.102642,0.563247,0.128177,-0.960743,-0.311266,0.339368,0.361326,-0.675655,0.0707696,0.672887,0.43056,-0.67944,0.0574172,0.714112,0.146974,-0.817721,-0.150765,0.453601,1,0.86608,0.863292,0,0.499905,0.160698,0,0,0.478439,1,0.766717,0.862995,0,0.641985,0.0375617,0,0,0.503814,0.786516,0.786516,0.786516,0.786516,0.786516,0.681186,0.678992,0,0.393183,0.126391,0,0,0.3763,0.786516,0.603035,0.678759,0,0.504931,0.0295429,0,0,0.396258,1,0.86608,0.863292,0.86608,1,0.828013,0.863292,0.828013,1,1,0.766717,0.862995,0.766717,1,0.685787,0.862995,0.685787,1
1819.52,0.922488,0.250985,4,15,0,-1802.81,0.390289,-0.828897,-0.105733,0.544233,0.352828,-0.796374,-0.101826,0.564491,0.109913,-0.960158,-0.300186,0.353047,0.356339,-0.682427,0.0083146,0.65592,0.425809,-0.690815,0.0296271,0.662563,0.15551,-0.833219,-0.187698,0.456962,1,0.867603,0.861249,0,0.497257,0.146194,0,0,0.486701,1,0.776006,0.869914,0,0.630726,0.040574,0,0,0.491531,0.776796,0.776796,0.776796,0.776796,0.776796,0.67395,0.669014,0,0.386267,0.113563,0,0,0.378067,0.776796,0.602798,0.675746,0,0.489945,0.0315177,0,0,0.381819,1,0.867603,0.861249,0.867603,1,0.819918,0.861249,0.819918,1,1,0.776006,0.869914,0.776006,1,0.700649,0.869914,0.700649,1
