Experiment,Participant,HighValueColumn,NumAlt,LowDim,HighDim,Product,Order,Choice
1,R_2PBDyNmiSLV1BOx,1,2,50-60,100-90,Grills,TC,C
1,R_C7AjHgjTODMtUdP,1,2,60-70,100-90,Mp 3 players,TC,T
1,R_3O7TiF6DvKc5Hhf,1,2,60-70,100-90,Grills,TC,T
1,R_22mGI7lzhS0XrDk,1,3,40-50,100-90,Grills,TCD,C
1,R_2WU36lYeMwf30wv,1,2,60-70,100-90,Backpack,TC,T
1,R_10q4dFvvFDrSC4C,1,2,70-80,100-90,Grills,TC,C
1,R_3sb0OjydZ9HewY1,1,2,60-70,100-90,Backpack,TC,C
1,R_3lXqb0KF8W1uabO,1,3,40-50,100-90,Backpack,TCD,C
1,R_Xw88yyXFpg6PR8B,1,2,40-50,100-90,Grills,TC,T
1,R_2dAWIrx7FCZD0Zf,1,2,30-40,100-90,Grills,TC,T
1,R_ctJuz17jrES0QJr,1,3,60-70,100-90,Grills,TCD,C
1,R_CadoD8C8cQGDhhD,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_2QhvdNwsjX8DOus,1,3,50-60,100-90,Backpack,TCD,C
1,R_SUJ0zfQMWcZyeHf,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_ZfqRFd8NHz2EBWh,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_YYzCd5k0PGVGrCh,1,2,70-80,100-90,Grills,TC,C
1,R_2YG6vQOr3levzE4,1,2,60-70,100-90,Grills,TC,T
1,R_305YvKG7HRQ0ks1,1,2,30-40,100-90,Backpack,TC,C
1,R_1cSqeHeFGSLnn6k,1,3,30-40,100-90,Grills,TCD,C
1,R_1eF4DDrS5mzteCw,1,2,60-70,100-90,Grills,TC,C
1,R_12LuUTikDpcCMJa,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_8xlEw7mqng0mDIt,1,3,60-70,100-90,Grills,TCD,T
1,R_3RwQ2SbLMVCRxA0,1,3,30-40,100-90,Backpack,TCD,T
1,R_R2050283KNGg0XD,1,3,60-70,100-90,Grills,TCD,C
1,R_3sgG6NVeTyjaYm2,1,3,60-70,100-90,Mp 3 players,TCD,C
1,R_5nkNydjmGbcHEyd,1,3,50-60,100-90,Grills,TCD,C
1,R_vjKs31tTduIHBeh,1,2,30-40,100-90,Mp 3 players,TC,T
1,R_2WvY5I3yhVTYq5D,1,3,30-40,100-90,Backpack,TCD,C
1,R_Og8MM8DOot6nXmF,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_vBLJGgnAXVG2GiZ,1,3,60-70,100-90,Backpack,TCD,T
1,R_1PbnzuhPSIA1JIn,1,3,30-40,100-90,Grills,TCD,C
1,R_ULSBy3FoOlyquUV,1,3,60-70,100-90,Backpack,TCD,C
1,R_D8Ku8I49aUS6dBn,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_1r3mBVfbeLjYPtX,1,3,30-40,100-90,Mp 3 players,TCD,T
1,R_2pJoPJp3OZNIoF6,1,2,40-50,100-90,Grills,TC,T
1,R_DuCNUEq0B6QWWLT,1,2,70-80,100-90,Backpack,TC,T
1,R_3gMFzbldmxJdHjN,1,2,70-80,100-90,Backpack,TC,C
1,R_yRdw8wwuMu4EEeJ,1,2,30-40,100-90,Grills,TC,C
1,R_3EA0xFWxqGEu7NP,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_1dMhMpcKWKj3vcE,1,2,50-60,100-90,Grills,TC,C
1,R_3freNHBY886cXiJ,1,2,60-70,100-90,Mp 3 players,TC,T
1,R_2AFR2MRw69DGvrg,1,2,30-40,100-90,Mp 3 players,TC,T
1,R_pA7JEJc59WtDyV3,1,3,70-80,100-90,Mp 3 players,TCD,T
1,R_2zJ5WLCNcsdUfCm,1,3,30-40,100-90,Grills,TCD,C
1,R_qCRcwekccSDBACB,1,2,40-50,100-90,Backpack,TC,T
1,R_bK4nlNjfY3gnDmp,1,3,50-60,100-90,Grills,TCD,C
1,R_vOewjhYdQP8m2ad,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_3e3KL1a0iNEif9C,1,3,70-80,100-90,Mp 3 players,TCD,T
1,R_2fy2jmlZuwQNYM4,1,2,30-40,100-90,Backpack,TC,T
1,R_2taOjjT3jbGtKmb,1,2,50-60,100-90,Backpack,TC,C
1,R_2EGeE1LsucB5PFv,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_2WOPbcPKfdCMA91,1,3,50-60,100-90,Backpack,TCD,C
1,R_2VOVYL2B9AOaRlw,1,3,30-40,100-90,Mp 3 players,TCD,D
1,R_6Am93fy4OwqIM3T,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_1QFUx6bRlsVxZne,1,3,70-80,100-90,Backpack,TCD,C
1,R_2QRj7IFHbfBpW3c,1,2,60-70,100-90,Backpack,TC,C
1,R_1ir2waqrKQfpcsf,1,2,50-60,100-90,Backpack,TC,C
1,R_3j9wnxSBf50IcdO,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_1jcArrhww7ta6ZE,1,2,30-40,100-90,Grills,TC,C
1,R_3Dheeoli0HDiC1D,1,3,70-80,100-90,Grills,TCD,C
1,R_yDy2oioBrbqQ1r3,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_2R9bgIkqUUVATIC,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_1ONxpUufc52xxHj,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_3RryaMpr4QcAWgd,1,2,50-60,100-90,Grills,TC,C
1,R_2ypSwqnO2ERVWts,1,3,50-60,100-90,Grills,TCD,C
1,R_2rw4y0u7Wb0ePEb,1,2,50-60,100-90,Grills,TC,T
1,R_0BuwjAFYQxs203D,1,3,50-60,100-90,Grills,TCD,T
1,R_2eWIrwbjPozNQNp,1,3,50-60,100-90,Grills,TCD,C
1,R_3KoNfSIwkNPCGY2,1,2,50-60,100-90,Grills,TC,C
1,R_1oC0oAhGrDZDWYy,1,2,70-80,100-90,Grills,TC,C
1,R_10NKf9oa5qADq1y,1,3,70-80,100-90,Backpack,TCD,C
1,R_3R3D9KxoRVXjDtn,1,3,30-40,100-90,Backpack,TCD,C
1,R_dmdLIVu05N5I2yt,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_1NwtzsN8scasdNa,1,2,60-70,100-90,Grills,TC,T
1,R_3m96a1PxufnUbzo,1,3,40-50,100-90,Grills,TCD,T
1,R_Tcjk3OjOLr0wUpz,1,2,30-40,100-90,Backpack,TC,C
1,R_BxL0VUXIOMMJVip,1,2,60-70,100-90,Mp 3 players,TC,T
1,R_2trjJ4Np5Dg6OVe,1,3,30-40,100-90,Grills,TCD,C
1,R_2ZQXzsZAulx93m2,1,3,70-80,100-90,Grills,TCD,C
1,R_2bIb8StHQJAKY4U,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_1C9YJG2o0b8CMom,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_2PCrujvXGLBVXVb,1,3,40-50,100-90,Backpack,TCD,C
1,R_2f24taxdG8fot1M,1,2,50-60,100-90,Grills,TC,C
1,R_2bUfc3cdrtJ4RhX,1,3,60-70,100-90,Backpack,TCD,C
1,R_10T3KXjyzO6w7Oj,1,2,60-70,100-90,Grills,TC,C
1,R_1BShPeylSpfveVb,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_3EzG8WlnXChygSl,1,3,40-50,100-90,Grills,TCD,C
1,R_3HLUVmui8gEeWgp,1,3,40-50,100-90,Grills,TCD,D
1,R_1nMXOvyyxZjWosb,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_1f6KtPCxGcoE5Vt,1,2,30-40,100-90,Backpack,TC,C
1,R_Y5OG0HwpGCHJCX7,1,3,30-40,100-90,Backpack,TCD,C
1,R_10uX0FcOdluOq9N,1,3,30-40,100-90,Backpack,TCD,C
1,R_1eJN1QWrUlxvFdm,1,3,70-80,100-90,Grills,TCD,D
1,R_w0FIoBhWm6HMfdv,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_3hyaywA4uDNpLm1,1,3,60-70,100-90,Backpack,TCD,C
1,R_szAFZaRjldhpETn,1,3,40-50,100-90,Grills,TCD,C
1,R_uaIAXYrsjdpsBgJ,1,2,70-80,100-90,Backpack,TC,C
1,R_2cw3XtGCbf6ncv9,1,2,70-80,100-90,Backpack,TC,C
1,R_2U0mkIArKDL1rpA,1,3,30-40,100-90,Grills,TCD,T
1,R_OOH4ZhCWz09UBq1,1,2,70-80,100-90,Grills,TC,T
1,R_2ZVWq4rfhx3irA9,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_2BzeEAt1fjjNRHz,1,3,60-70,100-90,Mp 3 players,TCD,C
1,R_2QQUueXEXQrWw7r,1,3,30-40,100-90,Backpack,TCD,T
1,R_2VOdSKP50HY0eQf,1,2,60-70,100-90,Grills,TC,C
1,R_1MR76txuvslSZij,1,2,60-70,100-90,Backpack,TC,T
1,R_1JVD6tAdwwgKKbj,1,2,60-70,100-90,Backpack,TC,C
1,R_2drPUsYOyssu2Tp,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_2tm6iaYs0GsHcHT,1,3,30-40,100-90,Backpack,TCD,C
1,R_3M373kDgYjgUToq,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_1QMd1pIFsHxhptg,1,2,40-50,100-90,Grills,TC,T
1,R_RlEsbc7VsLujQ77,1,2,70-80,100-90,Backpack,TC,T
1,R_R4BmeGF69VF9Z8B,1,2,60-70,100-90,Grills,TC,T
1,R_3JDWeanrXhqdtMh,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_20Nz15FqkaO8s6y,1,3,60-70,100-90,Grills,TCD,C
1,R_3D7P5LNbziua1Tb,1,2,50-60,100-90,Backpack,TC,C
1,R_1kYrh1gE4hGBsaw,1,2,70-80,100-90,Grills,TC,T
1,R_2zbCzA9m1JIx5kV,1,3,40-50,100-90,Grills,TCD,C
1,R_56H5KuadVal022t,1,3,60-70,100-90,Grills,TCD,T
1,R_e8vKAY95FSz0YKJ,1,3,60-70,100-90,Grills,TCD,T
1,R_2uBNdWfbnfbSgji,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_2SdgLHmuOYnifg5,1,3,50-60,100-90,Backpack,TCD,T
1,R_2Bt9pgx3j375JwI,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_3MFF7RLwV4PS38w,1,2,70-80,100-90,Backpack,TC,T
1,R_2EubcCUaQq0GM0j,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_2PhSOy79Qu1n98f,1,2,30-40,100-90,Backpack,TC,C
1,R_b8ATVdhqckKmBWx,1,3,70-80,100-90,Mp 3 players,TCD,T
1,R_3CRnxDreFxUcTuh,1,2,40-50,100-90,Grills,TC,C
1,R_wWTl56Ecp7sD9i9,1,3,30-40,100-90,Mp 3 players,TCD,C
1,R_3QR9054TSHwJ9Uu,1,3,70-80,100-90,Backpack,TCD,C
1,R_AvuF8hZ1DZSoRm9,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_XAJFohWY0iIWTg5,1,2,30-40,100-90,Backpack,TC,T
1,R_vADxVBKLe7p31MR,1,2,50-60,100-90,Grills,TC,T
1,R_CfSOMWTuC3cCV7H,1,2,30-40,100-90,Grills,TC,T
1,R_1HdIr275YzOBY8P,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_2Bg1EvHam9U7MKH,1,3,70-80,100-90,Grills,TCD,C
1,R_2WYCCFC3GVwJljU,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_2VKOz1qyqGV54PW,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_rfeUMyQThZy1YlP,1,2,60-70,100-90,Mp 3 players,TC,T
1,R_1lAJ3bZMP1UCzTr,1,2,50-60,100-90,Backpack,TC,C
1,R_20NhztAQYTvApq6,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_3pgwfcyoPBCRTNt,1,3,60-70,100-90,Grills,TCD,C
