participant,screen_id,trial_index,gender,exp_duration,rt,response,phase,order,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d2_t,d1_c,d2_c,d1_d,d2_d,d1_name,d2_name,choice
1,choice_trial,85,Male,1977162.2999999821,6.536,A,choice,ctd,attraction_1,2,laptops,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Processing speed,Memory (RAM),c
1,choice_trial,87,Male,1977162.2999999821,4.468,B,choice,wbw,catch,NA,televisions,85,75,35,15,10,40,2,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
1,choice_trial,89,Male,1977162.2999999821,4.96,B,choice,tcd,repulsion_1,1,televisions,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,25,Screen size,Average lifespan,c
1,choice_trial,91,Male,1977162.2999999821,4.193,B,choice,wbw,catch,NA,laptops,70,65,5,30,5,50,2,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
1,choice_trial,93,Male,1977162.2999999821,5.075,B,choice,ctd,attraction_1,2,televisions,NA,NA,NA,NA,NA,NA,2,50,60,60,50,45,60,Screen size,Average lifespan,t
1,choice_trial,95,Male,1977162.2999999821,5.977,C,choice,tdc,repulsion_2,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,30,100,40,90,20,100,Warranty,Cooking power,c
1,choice_trial,97,Male,1977162.2999999821,4.727,C,choice,dtc,repulsion_2,2,televisions,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Screen size,Average lifespan,c
1,choice_trial,99,Male,1977162.2999999821,4.259,A,choice,bww,catch,NA,microwave ovens,85,65,40,25,10,50,1,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
1,choice_trial,101,Male,1977162.2999999821,5.813,A,choice,ctd,repulsion_2,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Warranty,Cooking power,c
1,choice_trial,103,Male,1977162.2999999821,6.665,B,choice,dtc,attraction_1,1,laptops,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,45,Processing speed,Memory (RAM),t
1,choice_trial,105,Male,1977162.2999999821,4.896,A,choice,ctd,repulsion_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,30,100,40,90,25,100,Warranty,Cooking power,c
1,choice_trial,107,Male,1977162.2999999821,5.066,C,choice,dtc,attraction_1,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Average lifespan,Energy savings,c
