"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","475","0.0-0.0","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","2854","0.0-1.0","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","1375","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","81125","0.0-2.0","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","78269","[{""page_index"":0,""viewing_time"":1206},{""page_index"":1,""viewing_time"":2932},{""page_index"":2,""viewing_time"":3729},{""page_index"":3,""viewing_time"":4861},{""page_index"":4,""viewing_time"":5592},{""page_index"":5,""viewing_time"":7107},{""page_index"":6,""viewing_time"":4544},{""page_index"":7,""viewing_time"":27794},{""page_index"":8,""viewing_time"":17366},{""page_index"":9,""viewing_time"":3138}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","81430","0.0-3.0-0.0","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","null","","<p></p>","null","rating","cdt","repulsion_2","2","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","101722","0.0-3.0-1.0","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","20281","","","{""price_1"":""350"",""price_2"":""300"",""price_3"":""330""}","rating","cdt","repulsion_2","2","televisions","null","null","null","null","null","null","1","30","40","20","100","90","100","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","102026","0.0-3.0-0.1","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","null","","<p></p>","null","rating","tdc","repulsion_1","2","washing machines","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","120542","0.0-3.0-1.1","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","18506","","","{""price_1"":""400"",""price_2"":""375"",""price_3"":""450""}","rating","tdc","repulsion_1","2","washing machines","null","null","null","null","null","null","2","30","40","25","100","90","100","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","120845","0.0-3.0-0.2","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","null","","<p></p>","null","rating","ctd","repulsion_1","1","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","149151","0.0-3.0-1.2","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","28297","","","{""price_1"":""150"",""price_2"":""130"",""price_3"":""135""}","rating","ctd","repulsion_1","1","microwave ovens","null","null","null","null","null","null","1","100","90","100","30","40","25","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","149454","0.0-3.0-0.3","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","null","","<p></p>","null","rating","cdt","repulsion_2","1","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","10","176442","0.0-3.0-1.3","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","26983","","","{""price_1"":""350"",""price_2"":""330"",""price_3"":""340""}","rating","cdt","repulsion_2","1","televisions","null","null","null","null","null","null","1","100","90","100","30","40","20","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","11","176745","0.0-3.0-0.4","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","null","","<p></p>","null","rating","dct","repulsion_2","1","laptops","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","12","200043","0.0-3.0-1.4","166","1","2025-04-14 14:23:26","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15","Macintosh","Safari","18.3.1","OS X","10_15_7","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","7vun7gswvna313j","21","[""Asian"",""Black or African-American"",""White""]","Yes","Male","1098895","23288","","","{""price_1"":""220"",""price_2"":""250"",""price_3"":""240""}","rating","dct","repulsion_2","1","laptops","null","null","null","null","null","null","1","100","90","100","30","40","20","Processing speed","Memory (RAM)","",""
