"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","164","0.0-0.0","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","2501","0.0-1.0","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","1333","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","21328","0.0-2.0","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","18826","[{""page_index"":0,""viewing_time"":882},{""page_index"":1,""viewing_time"":1195},{""page_index"":2,""viewing_time"":1639},{""page_index"":3,""viewing_time"":1902},{""page_index"":4,""viewing_time"":3497},{""page_index"":5,""viewing_time"":1883},{""page_index"":6,""viewing_time"":1783},{""page_index"":7,""viewing_time"":2449},{""page_index"":8,""viewing_time"":1788},{""page_index"":9,""viewing_time"":1808}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","21630","0.0-3.0-0.0","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","null","","<p></p>","null","rating","dct","repulsion_1","1","televisions","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","55842","0.0-3.0-1.0","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","34211","","","{""price_1"":""165"",""price_2"":""225"",""price_3"":""195""}","rating","dct","repulsion_1","1","televisions","null","null","null","null","null","null","2","100","90","100","30","40","25","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","56144","0.0-3.0-0.1","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","null","","<p></p>","null","rating","dtc","attraction_1","2","washing machines","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","71459","0.0-3.0-1.1","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","15314","","","{""price_1"":""200"",""price_2"":""250"",""price_3"":""300""}","rating","dtc","attraction_1","2","washing machines","null","null","null","null","null","null","1","50","60","45","60","50","60","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","71760","0.0-3.0-0.2","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","null","","<p></p>","null","rating","tdc","repulsion_2","1","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","93532","0.0-3.0-1.2","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","21770","","","{""price_1"":""100"",""price_2"":""80"",""price_3"":""150""}","rating","tdc","repulsion_2","1","microwave ovens","null","null","null","null","null","null","1","100","90","100","30","40","20","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","93833","0.0-3.0-0.3","39","1","2025-04-11 14:11:53","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","WebKit","Chrome","135.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","2tnz3m9qzcx4zbb","28","[""Black or African-American""]","No","Male","1564207.5999999642","null","","<p></p>","null","rating","wwb","catch","null","washing machines","90","65","20","30","40","30","1","","","","","","","","","",""
