"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","4507","0.0-0.0","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","15337","0.0-1.0","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","9808","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","427614","0.0-2.0","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","412274","[{""page_index"":0,""viewing_time"":1762},{""page_index"":1,""viewing_time"":2098},{""page_index"":2,""viewing_time"":8380},{""page_index"":3,""viewing_time"":46425},{""page_index"":4,""viewing_time"":18935},{""page_index"":5,""viewing_time"":13062},{""page_index"":6,""viewing_time"":269233},{""page_index"":7,""viewing_time"":32136},{""page_index"":8,""viewing_time"":12245},{""page_index"":9,""viewing_time"":7997}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","427941","0.0-3.0-0.0","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","wbw","catch","null","laptops","55","80","25","50","30","20","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","504684","0.0-3.0-1.0","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","76736","","","{""price_1"":""500"",""price_2"":""740"",""price_3"":""400""}","rating","wbw","catch","null","laptops","55","80","25","50","30","20","1","null","null","null","null","null","null","Processing speed","Memory (RAM)","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","504990","0.0-3.0-0.1","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","cdt","repulsion_1","1","microwave ovens","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","546650","0.0-3.0-1.1","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","41655","","","{""price_1"":""680"",""price_2"":""620"",""price_3"":""640""}","rating","cdt","repulsion_1","1","microwave ovens","null","null","null","null","null","null","2","100","90","100","30","40","25","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","546968","0.0-3.0-0.2","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","dct","attraction_2","2","microwave ovens","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","609517","0.0-3.0-1.2","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","62542","","","{""price_1"":""600"",""price_2"":""640"",""price_3"":""650""}","rating","dct","attraction_2","2","microwave ovens","null","null","null","null","null","null","2","50","60","40","60","50","60","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","609828","0.0-3.0-0.3","53","1","2025-04-11 14:19:37","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","WebKit","Chrome","127.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en,en-US","3fve1ydw4mezqu8","62","[""Black or African-American""]","No","Male","3304820.899999976","null","","<p></p>","null","rating","cdt","repulsion_2","1","televisions","null","null","null","null","null","null","1","","","","","","","","","",""
