"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","age","race","ethnicity","gender","exp_duration","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name","strategy_response","question_order"
"true","false","[]","[]","[]","img preload","preload","0","11815","0.0-0.0","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","39629","0.0-1.0","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","26810","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","97776","0.0-2.0","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","58147","[{""page_index"":0,""viewing_time"":20845},{""page_index"":1,""viewing_time"":3671},{""page_index"":2,""viewing_time"":24680},{""page_index"":3,""viewing_time"":1236},{""page_index"":4,""viewing_time"":1037},{""page_index"":5,""viewing_time"":1138},{""page_index"":6,""viewing_time"":1024},{""page_index"":7,""viewing_time"":1780},{""page_index"":8,""viewing_time"":1460},{""page_index"":9,""viewing_time"":1275}]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","98078","0.0-3.0-0.0","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","null","","<p></p>","null","rating","tdc","repulsion_2","2","microwave ovens","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","142448","0.0-3.0-1.0","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","44367","","","{""price_1"":""170"",""price_2"":""200"",""price_3"":""190""}","rating","tdc","repulsion_2","2","microwave ovens","null","null","null","null","null","null","1","30","40","20","100","90","100","Warranty","Cooking power","",""
"","","","","","rating_trial_setup","html-keyboard-response","5","142749","0.0-3.0-0.1","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","null","","<p></p>","null","rating","tcd","attraction_2","1","washing machines","null","null","null","null","null","null","1","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","167709","0.0-3.0-1.1","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","24958","","","{""price_1"":""180"",""price_2"":""200"",""price_3"":""250""}","rating","tcd","attraction_2","1","washing machines","null","null","null","null","null","null","1","60","50","60","50","60","40","Average lifespan","Energy savings","",""
"","","","","","rating_trial_setup","html-keyboard-response","7","168011","0.0-3.0-0.2","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","null","","<p></p>","null","rating","tdc","repulsion_1","2","televisions","null","null","null","null","null","null","2","","","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","192834","0.0-3.0-1.2","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","24821","","","{""price_1"":""10"",""price_2"":""11"",""price_3"":""13""}","rating","tdc","repulsion_1","2","televisions","null","null","null","null","null","null","2","30","40","25","100","90","100","Screen size","Average lifespan","",""
"","","","","","rating_trial_setup","html-keyboard-response","9","193137","0.0-3.0-0.3","57","1","2025-04-11 14:22:31","bb671e3ae32f654b8954ea4c4635f915","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","WebKit","Chrome","134.0.0.0","Windows","10.0","https://hz8g1ckzuq.cognition.run/","en-US,en;q=0.9","xolr70sq7nn9bgu","32","[""White""]","No","Male","2211537.299999237","null","","<p></p>","null","rating","cdt","attraction_2","2","televisions","null","null","null","null","null","null","2","","","","","","","","","",""
