"success","timeout","failed_images","failed_audio","failed_video","screen_id","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","ppt_id","rt","view_history","stimulus","response","phase","order","effect","t_high","category","d1_best","d2_best","d1_worst1","d2_worst1","d1_worst2","d2_worst2","first_dim","d1_t","d1_c","d1_d","d2_t","d2_c","d2_d","d1_name","d2_name"
"true","false","[]","[]","[]","img preload","preload","0","110666","0.0-0.0","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","","fullscreen","1","124441","0.0-1.0","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","12765","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","instructions","2","146688","0.0-2.0","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","22246","[{""page_index"":0,""viewing_time"":1748},{""page_index"":1,""viewing_time"":5176},{""page_index"":2,""viewing_time"":2760},{""page_index"":3,""viewing_time"":1688},{""page_index"":4,""viewing_time"":1776},{""page_index"":5,""viewing_time"":1440},{""page_index"":6,""viewing_time"":928},{""page_index"":7,""viewing_time"":1744},{""page_index"":8,""viewing_time"":4048},{""page_index"":9,""viewing_time"":936}]","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","rating_trial_setup","html-keyboard-response","3","146993","0.0-3.0-0.0","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","null","","<p></p>","null","rating","tcd","repulsion_2","2","laptops","null","null","null","null","null","null","1","","","","","","","",""
"","","","","","rating_trial","survey-html-form","4","158279","0.0-3.0-1.0","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","11262","","","{""price_1"":""6"",""price_2"":""3"",""price_3"":""4""}","rating","tcd","repulsion_2","2","laptops","null","null","null","null","null","null","1","30","40","20","100","90","100","Processing speed","Memory (RAM)"
"","","","","","rating_trial_setup","html-keyboard-response","5","158582","0.0-3.0-0.1","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","null","","<p></p>","null","rating","tcd","repulsion_1","2","televisions","null","null","null","null","null","null","2","","","","","","","",""
"","","","","","rating_trial","survey-html-form","6","164438","0.0-3.0-1.1","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","5855","","","{""price_1"":""4"",""price_2"":""5"",""price_3"":""3""}","rating","tcd","repulsion_1","2","televisions","null","null","null","null","null","null","2","30","40","25","100","90","100","Screen size","Average lifespan"
"","","","","","rating_trial_setup","html-keyboard-response","7","164741","0.0-3.0-0.2","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","null","","<p></p>","null","rating","tcd","repulsion_1","2","laptops","null","null","null","null","null","null","1","","","","","","","",""
"","","","","","rating_trial","survey-html-form","8","172807","0.0-3.0-1.2","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","8063","","","{""price_1"":""22"",""price_2"":""34"",""price_3"":""34""}","rating","tcd","repulsion_1","2","laptops","null","null","null","null","null","null","1","30","40","25","100","90","100","Processing speed","Memory (RAM)"
"","","","","","rating_trial_setup","html-keyboard-response","9","173111","0.0-3.0-0.3","10","1","2025-04-10 18:29:17","7bd189e8e4882776c700e1dae255cdf5","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.35 Safari/537.36","WebKit","Chrome","99.0.4844.35","Windows","6.3","https://hz8g1ckzuq.cognition.run/","en,en-US","4vzdjvr021tbmzk","null","","<p></p>","null","rating","bww","catch","null","televisions","90","70","40","10","30","10","1","","","","","","","",""
