participant,screen_id,trial_index,time_elapsed,internal_node_id,condition,user_agent,device,browser,ppt_id,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,choice
47,choice_trial,5,140630,0.0-4.0-1.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,9.823,NA,B,choice,dct,trinary,repulsion_A,1,laptops,NA,NA,NA,NA,NA,NA,2,100,90,100,30,40,20,Processing speed,Memory (RAM),c
47,choice_trial,7,147327,0.0-4.0-1.1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,6.39,NA,C,choice,tdc,trinary,attraction,2,laptops,NA,NA,NA,NA,NA,NA,2,50,60,40,60,50,60,Processing speed,Memory (RAM),c
47,choice_trial,9,154068,0.0-4.0-1.2,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,6.432,NA,B,choice,tdc,trinary,repulsion_A,2,washing machines,NA,NA,NA,NA,NA,NA,2,30,40,20,100,90,100,Average lifespan,Energy savings,d
47,choice_trial,11,159883,0.0-4.0-1.3,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,5.508,NA,B,choice,ctd,trinary,repulsion_A,2,laptops,NA,NA,NA,NA,NA,NA,2,30,40,20,100,90,100,Processing speed,Memory (RAM),t
47,choice_trial,13,163894,0.0-4.0-1.4,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.703,NA,B,choice,wb,binary,catch,NA,televisions,65,75,25,40,NA,NA,2,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
47,choice_trial,15,171107,0.0-4.0-1.5,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,6.905,NA,C,choice,dct,trinary,attraction,1,washing machines,NA,NA,NA,NA,NA,NA,1,60,50,60,50,60,40,Average lifespan,Energy savings,t
47,choice_trial,17,175375,0.0-4.0-1.6,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.959,NA,A,choice,tcd,trinary,repulsion_B,2,washing machines,NA,NA,NA,NA,NA,NA,1,40,30,40,90,100,80,Average lifespan,Energy savings,t
47,choice_trial,19,184878,0.0-4.0-1.7,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,9.194,NA,C,choice,dct,trinary,repulsion_B,1,laptops,NA,NA,NA,NA,NA,NA,1,90,100,80,40,30,40,Processing speed,Memory (RAM),t
47,choice_trial,21,190198,0.0-4.0-1.8,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,5.011,NA,B,choice,tdc,trinary,repulsion_B,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,90,100,80,40,30,40,Warranty,Cooking power,d
47,choice_trial,23,193553,0.0-4.0-1.9,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.046,NA,B,choice,wb,binary,catch,NA,laptops,90,65,40,15,NA,NA,2,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
47,choice_trial,25,201131,0.0-4.0-1.10,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,7.269,NA,B,choice,dtc,trinary,repulsion_B,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,40,30,40,90,100,80,Warranty,Cooking power,t
