participant,age,race,ethnicity,gender,strategy_response,exp_duration,prev_study
47,20,Asian,No,Female,I chose to have a balance between both,434730,I'm not sure
48,24,Asian,No,Male,I chose daily appliances for their reliability and the devices in terms of fairly spread out performance,427331.599999964,No
49,19,Asian,No,Male,"Whenever I was asked to pick between the higher vs lower warranty, I normally pick the lower one because the performance is better, I don't normally anticipate using the warranty at all.",474680.300000191,I'm not sure
50,21,White,No,Male,"For the ones that were very close together like 50 and 60, I chose the option that more aligned with what I would personally want in that product. For the ones that were 90 and 40 versus 100 and 30, I went more with the 90 and 40 option because 40 is better than 30 and 90 is still great and not too far off from 100. It's more balanced.",704081.5,No
51,19,Asian,No,Male,"Which provided the total score the best, and provided the most immediate benifts",311003.800000012,No
52,21,White,No,Male,I was looking for online studies,198180.799999952,No
54,20,White,No,Female,I chose the ones that seemed the most evenly distributed. Or I chose the one that had a longer warranty or would just last longer over size / fanciness.,421935.600000143,I'm not sure
55,19,White,No,Female,SONA,650354.300000012,No
56,20,White,No,Male,"I went for more specifically for the performance factor, things like processing speeding and cooking power were more important than things like warranty.",872348.099999905,No
57,19,White,No,Female,"If there was an option with both being the highest I chose that, then if not I chose it based off of what option seemed the best overall.",585425.5,I'm not sure
58,21,White,No,Female,I chose the product that had the highest rate of function and longest life span.,229031.200000003,I'm not sure
59,19,"Asian,White",No,Male,The way I thought about it was instead of getting the absolute best in one category it is better to have second best in one category if it means another category will be slightly better.,460668.600000024,No
60,20,White,No,Male,"I went for not all in one, but more spread out between the two options",306627,No
61,21,White,No,Male,"I like to average things out so there is as little polarity as possible, I don't want something that has two of the extremes especially one in the positive and one in the negative.",442730,No
63,19,White,Yes,Female,I felt that with things like cooking power or lifespan I leaned twoarss the highest number becuause that determins the preformance of the product.,822659.200000003,I'm not sure
64,19,Asian,No,Female,i looked at the opportunity cost of each product choice,395525.899999976,No
65,18,Asian,No,Female,"I prioritized quality over lifespan because the earlier a product dies, the more a customer will have to buy (similar to the light bulb industry). Otherwise I tried to find a good balance between the other qualities. I also prioritized warranty less because I personally don't look at a product's warranty that much while buying",2205236,No
66,20,"Asian,White",No,Female,"I felt like lifespan was more important. I also tried to get ones with higher numbers for the most part, but wasn't willing to get a product with a super high number on one side and a super low number on the other, so I just took like highest and highest I could get if that makes sense.",441598.5,I'm not sure
67,19,White,No,Female,I chose which number combinations seemed to the highest result,466303.300000001,No
68,19,White,No,Female,I wanted to make sure I could get a decent amount of everything. Didnt want to have one thing to much and another not enough,428639.700000048,No
69,19,Other,Yes,Male,"well for sum of them your looking at the long term use of these products and sometimes a warranty is nice but if you truly have the best product it shouldn't need replacing until its paid for its self and more. also for some of the other stuff its more about how consumers would look at it, sometimes people want the best and they'll take a step down in sum other variable.",1367796.5,I'm not sure
70,21,White,No,Female,"Honestly, I️ choose it based on what had the highest numbers across the categories, even if it was not the highest overall",378776.5,Yes
