success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,510,0.0-0.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,4645,0.0-1.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,"[{""page_index"":0,""viewing_time"":4133}]",4134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,8286,0.0-2.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,2632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,49941,0.0-3.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,"[{""page_index"":0,""viewing_time"":1749},{""page_index"":1,""viewing_time"":3546},{""page_index"":2,""viewing_time"":11800},{""page_index"":3,""viewing_time"":4855},{""page_index"":4,""viewing_time"":4778},{""page_index"":5,""viewing_time"":6051},{""page_index"":6,""viewing_time"":8874}]",41653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,50263,0.0-4.0-0.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,tdc,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,69344,0.0-4.0-1.0,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,19077,NA,"{""product_choice"":""C""}",choice,tdc,trinary,repulsion_B,2,washing machines,null,null,null,null,null,null,1,40,30,40,90,100,80,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,69649,0.0-4.0-0.1,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,bw,binary,catch,null,televisions,50,95,40,35,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,85431,0.0-4.0-1.1,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,15779,NA,"{""product_choice"":""A""}",choice,bw,binary,catch,null,televisions,50,95,40,35,null,null,2,null,null,null,null,null,null,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,85738,0.0-4.0-0.2,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,cdt,trinary,repulsion_B,1,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,97975,0.0-4.0-1.2,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,12234,NA,"{""product_choice"":""C""}",choice,cdt,trinary,repulsion_B,1,washing machines,null,null,null,null,null,null,1,90,100,80,40,30,40,Average lifespan,Energy savings,NA,NA
