success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
TRUE,FALSE,[],[],[],img preload,preload,0,270,0.0-0.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,computer_message,instructions,1,2622,0.0-1.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,"[{""page_index"":0,""viewing_time"":2350}]",2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,NA,fullscreen,2,4783,0.0-2.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_instructions,instructions,3,30994,0.0-3.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,"[{""page_index"":0,""viewing_time"":1095},{""page_index"":1,""viewing_time"":3609},{""page_index"":2,""viewing_time"":1894},{""page_index"":3,""viewing_time"":2859},{""page_index"":4,""viewing_time"":2356},{""page_index"":5,""viewing_time"":9178},{""page_index"":6,""viewing_time"":5219}]",26210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,4,31298,0.0-4.0-0.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,null,<p></p>,null,choice,wbw,trinary,catch,null,microwave ovens,95,85,40,15,10,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,5,41598,0.0-4.0-1.0,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,10294,NA,"{""product_choice"":""B""}",choice,wbw,trinary,catch,null,microwave ovens,95,85,40,15,10,20,2,null,null,null,null,null,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,6,41899,0.0-4.0-0.1,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,null,<p></p>,null,choice,tcd,trinary,repulsion_A,1,televisions,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,7,48749,0.0-4.0-1.1,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,6847,NA,"{""product_choice"":""A""}",choice,tcd,trinary,repulsion_A,1,televisions,null,null,null,null,null,null,2,100,90,100,30,40,20,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,8,49052,0.0-4.0-0.2,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,null,<p></p>,null,choice,wbw,trinary,catch,null,washing machines,60,75,5,30,15,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,9,55394,0.0-4.0-1.2,59,1,2025-04-28T19:06:20Z,b60275e29fe2361ab97ac0ac217840d7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Safari/605.1.15",Macintosh,Safari,18.3.1,OS X,10_15_7,https://5puzkbbxv1.cognition.run/?sona_id=49332,"en-US,en;q=0.9",1n5wcezk7uhx9ev,21,"[""White""]",No,Female,"na
",No,307879,NA,6339,NA,"{""product_choice"":""B""}",choice,wbw,trinary,catch,null,washing machines,60,75,5,30,15,30,2,null,null,null,null,null,null,Average lifespan,Energy savings,NA,NA
